Romania,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
84,1884,-0.43999999999999995,-0.13,0.37,0.38,0.46,0.39
85,1885,0.31000000000000005,-0.14,0.36,0.37,0.45,0.38
86,1886,0.51,-0.14,0.35,0.37,0.45,0.37
87,1887,0.15000000000000002,-0.14,0.35,0.36,0.44,0.37
88,1888,-0.9400000000000001,-0.12,0.34,0.35,0.43,0.36
89,1889,-0.31999999999999995,-0.11,0.34,0.35,0.43,0.36
90,1890,-0.009999999999999953,-0.1,0.34,0.35,0.43,0.36
91,1891,-0.26,-0.08,0.34,0.35,0.43,0.36
92,1892,0.48000000000000004,-0.06,0.35,0.35,0.44,0.36
93,1893,-0.9500000000000001,-0.03,0.36,0.36,0.44,0.37
94,1894,-0.02999999999999997,0.0,0.37,0.37,0.45,0.38
95,1895,0.030000000000000027,0.03,0.37,0.37,0.45,0.38
96,1896,0.020000000000000018,0.07,0.37,0.37,0.45,0.38
97,1897,0.16000000000000003,0.09,0.37,0.37,0.44,0.37
98,1898,0.6000000000000001,0.11,0.36,0.36,0.43,0.36
99,1899,0.15000000000000002,0.12,0.36,0.35,0.43,0.36
100,1900,0.8300000000000001,0.13,0.35,0.35,0.42,0.35
101,1901,0.08000000000000002,0.13,0.34,0.34,0.41,0.34
102,1902,-0.67,0.13,0.33,0.33,0.4,0.33
103,1903,0.56,0.12,0.32,0.32,0.39,0.31
104,1904,-0.12,0.11,0.3,0.3,0.37,0.3
105,1905,0.11000000000000004,0.09,0.29,0.29,0.36,0.28
106,1906,0.38,0.06,0.27,0.28,0.34,0.27
107,1907,-0.5499999999999999,0.05,0.27,0.27,0.33,0.26
108,1908,-0.24,0.04,0.26,0.27,0.33,0.26
109,1909,0.050000000000000044,0.05,0.26,0.27,0.33,0.26
110,1910,0.8200000000000001,0.07,0.27,0.28,0.33,0.27
111,1911,0.21000000000000002,0.1,0.28,0.29,0.34,0.28
112,1912,-0.47,0.13,0.3,0.3,0.36,0.3
113,1913,0.010000000000000009,0.15,0.31,0.32,0.38,0.31
114,1914,-0.4099999999999999,0.17,0.33,0.34,0.4,0.33
115,1915,0.34,0.19,0.34,0.35,0.41,0.35
116,1916,1.12,0.21,0.36,0.37,0.43,0.36
117,1917,0.17000000000000004,0.23,0.38,0.39,0.45,0.38
118,1918,0.9500000000000001,0.25,0.4,0.41,0.48,0.4
119,1919,-0.019999999999999962,0.29,0.41,0.42,0.5,0.42
120,1920,5.551115123125783e-17,0.33,0.43,0.44,0.51,0.43
121,1921,0.26,0.36,0.44,0.45,0.52,0.44
122,1922,-0.19999999999999996,0.37,0.44,0.45,0.53,0.45
123,1923,1.23,0.36,0.44,0.45,0.53,0.45
124,1924,-0.18999999999999995,0.35,0.43,0.45,0.52,0.44
125,1925,0.73,0.33,0.43,0.45,0.52,0.44
126,1926,0.8700000000000001,0.32,0.42,0.44,0.52,0.43
127,1927,0.89,0.32,0.42,0.44,0.51,0.43
128,1928,-0.009999999999999953,0.32,0.42,0.44,0.51,0.43
129,1929,-0.7000000000000001,0.34,0.42,0.44,0.51,0.42
130,1930,1.01,0.36,0.41,0.44,0.5,0.42
131,1931,-0.09999999999999998,0.39,0.41,0.44,0.5,0.42
132,1932,-0.08999999999999997,0.41,0.41,0.44,0.49,0.42
133,1933,-1.27,0.42,0.41,0.44,0.49,0.42
134,1934,1.12,0.41,0.41,0.44,0.49,0.42
135,1935,0.15000000000000002,0.39,0.42,0.44,0.49,0.42
136,1936,1.2200000000000002,0.38,0.42,0.44,0.5,0.42
137,1937,1.09,0.36,0.43,0.45,0.5,0.43
138,1938,0.72,0.36,0.43,0.46,0.51,0.44
139,1939,0.8500000000000001,0.37,0.44,0.47,0.52,0.44
140,1940,-1.4100000000000001,0.37,0.45,0.47,0.53,0.45
141,1941,-0.6900000000000001,0.37,0.46,0.48,0.53,0.46
142,1942,-0.9500000000000001,0.36,0.46,0.48,0.53,0.46
143,1943,0.41000000000000003,0.34,0.46,0.48,0.53,0.46
144,1944,0.21000000000000002,0.34,0.46,0.47,0.53,0.45
145,1945,0.16000000000000003,0.36,0.45,0.46,0.52,0.45
146,1946,0.98,0.39,0.44,0.45,0.51,0.44
147,1947,0.44000000000000006,0.44,0.43,0.44,0.5,0.43
148,1948,0.4,0.48,0.42,0.43,0.48,0.41
149,1949,0.47000000000000003,0.5,0.4,0.41,0.47,0.4
150,1950,1.21,0.51,0.39,0.4,0.46,0.39
151,1951,1.44,0.51,0.38,0.38,0.45,0.38
152,1952,0.88,0.51,0.37,0.38,0.44,0.37
153,1953,0.20000000000000004,0.51,0.37,0.37,0.44,0.36
154,1954,-0.44999999999999996,0.52,0.36,0.36,0.43,0.36
155,1955,0.27,0.51,0.35,0.36,0.43,0.35
156,1956,-0.92,0.49,0.34,0.35,0.42,0.34
157,1957,0.72,0.46,0.33,0.34,0.41,0.33
158,1958,0.92,0.43,0.32,0.32,0.4,0.32
159,1959,0.16000000000000003,0.41,0.3,0.31,0.39,0.31
160,1960,0.9600000000000001,0.42,0.29,0.3,0.37,0.3
161,1961,0.99,0.44,0.28,0.29,0.36,0.29
162,1962,0.42000000000000004,0.47,0.27,0.28,0.36,0.28
163,1963,0.13,0.48,0.26,0.28,0.35,0.27
164,1964,-0.03999999999999998,0.48,0.25,0.27,0.34,0.26
165,1965,-0.22999999999999998,0.47,0.23,0.26,0.32,0.25
166,1966,1.33,0.46,0.22,0.24,0.31,0.24
167,1967,0.66,0.45,0.2,0.22,0.29,0.22
168,1968,0.8200000000000001,0.45,0.18,0.2,0.27,0.2
169,1969,-0.14,0.45,0.16,0.18,0.25,0.18
170,1970,0.5,0.46,0.14,0.17,0.24,0.17
171,1971,0.47000000000000003,0.46,0.13,0.16,0.23,0.16
172,1972,0.71,0.46,0.13,0.16,0.22,0.15
173,1973,0.11000000000000004,0.44,0.13,0.15,0.22,0.15
174,1974,0.5700000000000001,0.42,0.13,0.16,0.23,0.15
175,1975,1.12,0.41,0.14,0.16,0.23,0.16
176,1976,-0.36,0.41,0.15,0.17,0.24,0.17
177,1977,0.78,0.41,0.15,0.17,0.25,0.17
178,1978,-0.16999999999999993,0.4,0.17,0.18,0.26,0.18
179,1979,0.8500000000000001,0.39,0.18,0.2,0.27,0.2
180,1980,-0.45999999999999996,0.37,0.2,0.22,0.3,0.22
181,1981,0.46,0.36,0.23,0.25,0.33,0.25
182,1982,0.56,0.37,0.26,0.28,0.36,0.28
183,1983,0.99,0.39,0.3,0.32,0.39,0.32
184,1984,0.41000000000000003,0.43,0.34,0.36,0.43,0.35
185,1985,-0.58,0.47,0.38,0.4,0.47,0.4
186,1986,0.43000000000000005,0.51,0.42,0.44,0.5,0.44
187,1987,-0.019999999999999962,0.55,0.46,0.49,0.54,0.48
188,1988,0.55,0.58,0.5,0.53,0.59,0.52
189,1989,1.2000000000000002,0.6,0.55,0.58,0.63,0.57
190,1990,1.67,0.62,0.6,0.63,0.69,0.62
191,1991,0.22000000000000003,0.64,0.66,0.69,0.74,0.68
192,1992,0.9700000000000001,0.68,0.72,0.75,0.8,0.73
193,1993,0.25,0.73,0.78,0.81,0.86,0.79
194,1994,2.06,0.8,0.84,0.87,0.92,0.85
195,1995,0.66,0.85,0.89,0.93,0.98,0.91
196,1996,0.09000000000000002,0.9,0.95,0.99,1.03,0.97
197,1997,0.050000000000000044,0.93,1.01,1.04,1.09,1.03
198,1998,0.66,0.95,1.07,1.1,1.15,1.09
199,1999,1.52,0.99,1.13,1.16,1.21,1.14
200,2000,1.9100000000000001,1.04,1.19,1.22,1.27,1.21
201,2001,1.23,1.1,1.25,1.28,1.33,1.27
202,2002,1.88,1.18,1.32,1.34,1.39,1.33
203,2003,0.8200000000000001,1.25,1.37,1.4,1.45,1.39
204,2004,1.05,1.33,1.43,1.45,1.51,1.45
205,2005,0.6100000000000001,1.38,1.48,1.5,1.55,1.5
206,2006,0.9500000000000001,1.42,1.53,1.55,1.6,1.55
207,2007,2.2600000000000002,1.46,1.58,1.6,1.64,1.6
208,2008,1.92,1.5,1.63,1.64,1.68,1.64
209,2009,1.8900000000000001,1.55,1.68,1.69,1.72,1.69
210,2010,1.4100000000000001,1.62,1.73,1.73,1.76,1.74
211,2011,1.04,1.7,1.78,1.78,1.8,1.78
212,2012,1.7999999999999998,1.78,1.83,1.83,1.83,1.83
213,2013,1.8399999999999999,1.86,1.88,1.88,1.87,1.88
214,2014,2.0100000000000002,1.94,1.93,1.93,1.91,1.93
215,2015,2.31,2.02,1.98,1.97,1.95,1.97
216,2016,1.7800000000000002,2.1,2.02,2.01,1.98,2.01
217,2017,1.7200000000000002,2.18,2.07,2.05,2.01,2.05
218,2018,2.32,2.27,2.11,2.09,2.05,2.09
219,2019,2.73,2.35,2.15,2.13,2.09,2.13
220,2020,2.5,2.43,2.19,2.18,2.12,2.17
221,2021,,,2.22,2.22,2.16,2.22
222,2022,,,2.25,2.25,2.21,2.26
223,2023,,,2.28,2.29,2.25,2.3
224,2024,,,2.3,2.33,2.28,2.35
225,2025,,,2.32,2.36,2.32,2.39
226,2026,,,2.34,2.39,2.36,2.43
227,2027,,,2.36,2.42,2.4,2.48
228,2028,,,2.38,2.46,2.44,2.53
229,2029,,,2.4,2.49,2.48,2.57
230,2030,,,2.42,2.52,2.53,2.62
231,2031,,,2.43,2.55,2.57,2.67
232,2032,,,2.45,2.59,2.61,2.72
233,2033,,,2.46,2.61,2.64,2.77
234,2034,,,2.48,2.64,2.68,2.82
235,2035,,,2.49,2.66,2.72,2.87
236,2036,,,2.52,2.69,2.75,2.92
237,2037,,,2.54,2.72,2.79,2.97
238,2038,,,2.56,2.75,2.83,3.02
239,2039,,,2.59,2.78,2.87,3.07
240,2040,,,2.62,2.81,2.91,3.12
241,2041,,,2.64,2.84,2.97,3.17
242,2042,,,2.66,2.87,3.02,3.21
243,2043,,,2.69,2.9,3.06,3.26
244,2044,,,2.7,2.92,3.11,3.32
245,2045,,,2.72,2.95,3.16,3.37
246,2046,,,2.74,2.97,3.21,3.43
247,2047,,,2.75,3.0,3.25,3.48
248,2048,,,2.76,3.02,3.3,3.54
249,2049,,,2.77,3.05,3.34,3.6
250,2050,,,2.78,3.07,3.39,3.66
251,2051,,,2.79,3.1,3.43,3.72
252,2052,,,2.8,3.13,3.48,3.78
253,2053,,,2.8,3.15,3.52,3.85
254,2054,,,2.81,3.18,3.57,3.91
255,2055,,,2.82,3.2,3.61,3.96
256,2056,,,2.82,3.23,3.64,4.02
257,2057,,,2.83,3.25,3.68,4.09
258,2058,,,2.83,3.27,3.72,4.15
259,2059,,,2.83,3.29,3.75,4.21
260,2060,,,2.84,3.31,3.79,4.26
261,2061,,,2.84,3.33,3.83,4.32
262,2062,,,2.84,3.35,3.87,4.38
263,2063,,,2.85,3.38,3.91,4.44
264,2064,,,2.85,3.4,3.96,4.5
265,2065,,,2.86,3.42,4.0,4.56
266,2066,,,2.86,3.43,4.05,4.62
267,2067,,,2.86,3.45,4.09,4.68
268,2068,,,2.86,3.47,4.14,4.74
269,2069,,,2.86,3.48,4.18,4.8
270,2070,,,2.86,3.49,4.23,4.87
271,2071,,,2.85,3.51,4.28,4.94
272,2072,,,2.85,3.53,4.33,5.0
273,2073,,,2.84,3.55,4.38,5.06
274,2074,,,2.84,3.57,4.43,5.12
275,2075,,,2.83,3.59,4.48,5.18
276,2076,,,2.82,3.61,4.54,5.24
277,2077,,,2.82,3.63,4.59,5.3
278,2078,,,2.81,3.65,4.64,5.36
279,2079,,,2.8,3.67,4.7,5.43
280,2080,,,2.79,3.69,4.75,5.49
281,2081,,,2.79,3.71,4.79,5.55
282,2082,,,2.78,3.73,4.84,5.62
283,2083,,,2.77,3.75,4.88,5.69
284,2084,,,2.77,3.77,4.93,5.76
285,2085,,,2.76,3.78,4.97,5.83
286,2086,,,2.76,3.8,5.02,5.9
287,2087,,,2.76,3.82,5.07,5.97
288,2088,,,2.75,3.83,5.12,6.04
289,2089,,,2.75,3.85,5.17,6.12
290,2090,,,2.76,3.86,5.23,6.18
291,2091,,,2.76,3.88,5.28,6.26
292,2092,,,2.76,3.89,5.33,6.33
293,2093,,,2.76,3.9,5.39,6.39
294,2094,,,2.76,3.92,5.44,6.46
295,2095,,,2.77,3.93,5.49,6.53
296,2096,,,2.77,3.95,5.54,6.6
297,2097,,,2.77,3.96,5.6,6.67
298,2098,,,2.77,3.97,5.65,6.73
299,2099,,,2.77,3.98,5.7,6.79
300,2100,,,2.78,3.99,5.76,6.87
