Finland,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
48,1848,0.34451612903225803,0.21,,,,
49,1849,-0.3354838709677419,0.21,,,,
50,1850,-0.15548387096774197,0.2,0.5,0.57,0.61,0.5
51,1851,0.854516129032258,0.2,0.5,0.57,0.61,0.5
52,1852,-0.23548387096774193,0.22,0.5,0.57,0.61,0.5
53,1853,0.814516129032258,0.23,0.5,0.56,0.6,0.5
54,1854,0.9545161290322581,0.24,0.5,0.56,0.6,0.5
55,1855,-0.5354838709677419,0.24,0.5,0.56,0.59,0.5
56,1856,-1.5154838709677418,0.23,0.5,0.56,0.59,0.49
57,1857,0.19451612903225807,0.21,0.49,0.55,0.59,0.49
58,1858,1.134516129032258,0.18,0.49,0.55,0.58,0.49
59,1859,0.9945161290322581,0.14,0.49,0.55,0.58,0.49
60,1860,-0.23548387096774193,0.1,0.49,0.55,0.58,0.49
61,1861,0.46451612903225803,0.08,0.49,0.54,0.58,0.49
62,1862,-1.345483870967742,0.06,0.49,0.54,0.57,0.48
63,1863,1.6945161290322581,0.05,0.49,0.54,0.57,0.48
64,1864,-0.5854838709677419,0.03,0.48,0.53,0.56,0.48
65,1865,-0.27548387096774196,0.01,0.48,0.53,0.56,0.47
66,1866,-0.11548387096774193,-0.0,0.47,0.52,0.56,0.47
67,1867,-2.235483870967742,-0.01,0.46,0.52,0.55,0.46
68,1868,0.46451612903225803,-0.02,0.45,0.51,0.54,0.46
69,1869,0.854516129032258,-0.02,0.44,0.5,0.54,0.45
70,1870,-0.27548387096774196,-0.02,0.44,0.5,0.53,0.44
71,1871,-1.525483870967742,-0.02,0.43,0.49,0.52,0.43
72,1872,1.024516129032258,-0.02,0.43,0.49,0.52,0.43
73,1873,0.5045161290322581,-0.02,0.42,0.48,0.52,0.42
74,1874,0.724516129032258,-0.01,0.41,0.48,0.51,0.42
75,1875,-1.3954838709677417,-0.0,0.4,0.47,0.49,0.4
76,1876,-0.5954838709677419,0.02,0.39,0.45,0.48,0.39
77,1877,-0.8054838709677419,0.03,0.37,0.44,0.46,0.38
78,1878,1.164516129032258,0.06,0.36,0.42,0.44,0.36
79,1879,0.0445161290322581,0.1,0.34,0.4,0.42,0.35
80,1880,-0.05548387096774199,0.14,0.33,0.39,0.4,0.33
81,1881,-1.155483870967742,0.18,0.31,0.37,0.38,0.31
82,1882,1.0145161290322582,0.25,0.3,0.36,0.37,0.3
83,1883,1.254516129032258,0.33,0.28,0.34,0.35,0.28
84,1884,0.32451612903225807,0.4,0.27,0.32,0.33,0.27
85,1885,-0.28548387096774197,0.44,0.25,0.31,0.31,0.25
86,1886,0.854516129032258,0.47,0.23,0.29,0.29,0.24
87,1887,0.9245161290322581,0.48,0.22,0.27,0.28,0.22
88,1888,-1.615483870967742,0.49,0.2,0.26,0.27,0.21
89,1889,1.124516129032258,0.5,0.19,0.25,0.27,0.2
90,1890,1.444516129032258,0.51,0.19,0.25,0.27,0.19
91,1891,0.544516129032258,0.5,0.19,0.25,0.27,0.19
92,1892,-1.075483870967742,0.49,0.19,0.25,0.28,0.2
93,1893,-1.505483870967742,0.46,0.19,0.26,0.29,0.2
94,1894,1.614516129032258,0.42,0.19,0.26,0.3,0.2
95,1895,0.13451612903225807,0.37,0.2,0.27,0.3,0.21
96,1896,1.064516129032258,0.33,0.2,0.27,0.31,0.21
97,1897,0.864516129032258,0.31,0.2,0.27,0.31,0.21
98,1898,0.444516129032258,0.31,0.2,0.28,0.32,0.22
99,1899,-1.0354838709677419,0.33,0.21,0.29,0.33,0.22
100,1900,-0.685483870967742,0.35,0.21,0.29,0.34,0.23
101,1901,0.8845161290322581,0.36,0.22,0.3,0.34,0.23
102,1902,-1.675483870967742,0.36,0.22,0.3,0.34,0.24
103,1903,1.2045161290322581,0.37,0.22,0.3,0.33,0.23
104,1904,-0.10548387096774192,0.39,0.21,0.29,0.32,0.23
105,1905,0.7845161290322581,0.43,0.2,0.28,0.31,0.22
106,1906,1.134516129032258,0.48,0.19,0.26,0.3,0.2
107,1907,0.25451612903225806,0.53,0.18,0.25,0.28,0.19
108,1908,0.38451612903225807,0.56,0.17,0.24,0.27,0.18
109,1909,0.334516129032258,0.56,0.16,0.23,0.26,0.18
110,1910,1.374516129032258,0.53,0.16,0.23,0.25,0.17
111,1911,0.974516129032258,0.5,0.16,0.23,0.25,0.18
112,1912,-0.445483870967742,0.47,0.16,0.24,0.25,0.18
113,1913,0.8845161290322581,0.45,0.17,0.25,0.26,0.19
114,1914,1.134516129032258,0.44,0.18,0.26,0.26,0.2
115,1915,-1.6254838709677422,0.44,0.19,0.27,0.27,0.21
116,1916,0.31451612903225806,0.44,0.2,0.28,0.28,0.22
117,1917,-0.49548387096774205,0.44,0.22,0.3,0.3,0.24
118,1918,0.584516129032258,0.43,0.24,0.33,0.32,0.26
119,1919,-0.10548387096774192,0.43,0.27,0.35,0.35,0.29
120,1920,2.2445161290322577,0.43,0.3,0.39,0.38,0.32
121,1921,0.854516129032258,0.44,0.33,0.42,0.41,0.35
122,1922,0.274516129032258,0.46,0.37,0.45,0.44,0.38
123,1923,0.09451612903225803,0.5,0.4,0.48,0.47,0.41
124,1924,1.054516129032258,0.55,0.42,0.5,0.49,0.44
125,1925,1.044516129032258,0.6,0.44,0.52,0.52,0.46
126,1926,-0.23548387096774193,0.65,0.46,0.54,0.53,0.47
127,1927,0.11451612903225805,0.71,0.48,0.55,0.55,0.49
128,1928,0.42451612903225805,0.78,0.49,0.56,0.56,0.49
129,1929,0.544516129032258,0.87,0.5,0.57,0.56,0.5
130,1930,1.9545161290322581,0.97,0.5,0.57,0.56,0.5
131,1931,0.454516129032258,1.09,0.5,0.57,0.56,0.5
132,1932,1.7145161290322581,1.19,0.49,0.56,0.55,0.5
133,1933,0.6245161290322581,1.28,0.48,0.56,0.54,0.49
134,1934,2.734516129032258,1.35,0.47,0.55,0.53,0.48
135,1935,1.334516129032258,1.39,0.47,0.54,0.52,0.47
136,1936,1.544516129032258,1.41,0.46,0.54,0.52,0.46
137,1937,2.224516129032258,1.41,0.46,0.53,0.51,0.46
138,1938,3.114516129032258,1.4,0.46,0.53,0.51,0.46
139,1939,1.214516129032258,1.38,0.46,0.54,0.52,0.47
140,1940,-0.36548387096774193,1.35,0.47,0.54,0.52,0.47
141,1941,-1.385483870967742,1.32,0.47,0.55,0.52,0.48
142,1942,-0.8554838709677419,1.28,0.48,0.56,0.53,0.49
143,1943,2.3445161290322583,1.24,0.48,0.57,0.54,0.49
144,1944,1.744516129032258,1.19,0.49,0.58,0.55,0.5
145,1945,0.48451612903225805,1.16,0.5,0.58,0.56,0.51
146,1946,1.164516129032258,1.15,0.51,0.59,0.57,0.52
147,1947,0.30451612903225805,1.17,0.51,0.6,0.57,0.53
148,1948,1.634516129032258,1.18,0.52,0.6,0.58,0.54
149,1949,2.334516129032258,1.15,0.52,0.61,0.58,0.54
150,1950,1.4345161290322581,1.11,0.53,0.61,0.58,0.55
151,1951,0.814516129032258,1.06,0.53,0.62,0.58,0.55
152,1952,0.35451612903225804,1.02,0.53,0.62,0.58,0.55
153,1953,1.9745161290322581,1.0,0.53,0.62,0.58,0.55
154,1954,1.5145161290322582,0.98,0.53,0.62,0.58,0.55
155,1955,-0.985483870967742,0.95,0.53,0.62,0.58,0.55
156,1956,-0.8154838709677419,0.92,0.53,0.61,0.58,0.55
157,1957,1.294516129032258,0.86,0.53,0.61,0.57,0.55
158,1958,-0.16548387096774198,0.81,0.52,0.6,0.57,0.54
159,1959,1.744516129032258,0.76,0.51,0.6,0.56,0.54
160,1960,1.004516129032258,0.71,0.51,0.59,0.56,0.53
161,1961,2.234516129032258,0.66,0.5,0.58,0.55,0.53
162,1962,0.16451612903225804,0.61,0.5,0.58,0.55,0.52
163,1963,0.42451612903225805,0.56,0.49,0.57,0.54,0.52
164,1964,1.074516129032258,0.51,0.49,0.57,0.54,0.51
165,1965,0.08451612903225802,0.47,0.49,0.56,0.54,0.51
166,1966,-1.0654838709677419,0.43,0.49,0.56,0.54,0.51
167,1967,1.1845161290322581,0.42,0.48,0.55,0.54,0.51
168,1968,-0.3354838709677419,0.43,0.48,0.55,0.54,0.51
169,1969,-0.305483870967742,0.45,0.49,0.55,0.55,0.51
170,1970,0.32451612903225807,0.46,0.49,0.55,0.56,0.51
171,1971,0.004516129032258065,0.46,0.5,0.56,0.57,0.52
172,1972,2.074516129032258,0.46,0.51,0.57,0.58,0.53
173,1973,0.814516129032258,0.46,0.52,0.58,0.6,0.54
174,1974,2.584516129032258,0.47,0.53,0.59,0.61,0.55
175,1975,2.144516129032258,0.49,0.54,0.6,0.64,0.56
176,1976,-0.465483870967742,0.53,0.56,0.62,0.66,0.58
177,1977,0.37451612903225806,0.56,0.57,0.64,0.69,0.6
178,1978,-0.705483870967742,0.57,0.6,0.67,0.72,0.62
179,1979,0.6645161290322581,0.55,0.62,0.7,0.75,0.65
180,1980,0.03451612903225809,0.53,0.65,0.73,0.79,0.68
181,1981,0.07451612903225802,0.52,0.68,0.77,0.83,0.71
182,1982,0.9945161290322581,0.57,0.72,0.81,0.87,0.75
183,1983,1.194516129032258,0.66,0.76,0.85,0.92,0.79
184,1984,1.634516129032258,0.78,0.8,0.89,0.96,0.83
185,1985,-1.2754838709677419,0.91,0.84,0.94,1.0,0.87
186,1986,0.38451612903225807,1.02,0.88,0.98,1.04,0.91
187,1987,-0.915483870967742,1.1,0.92,1.03,1.08,0.95
188,1988,1.084516129032258,1.17,0.97,1.08,1.13,1.0
189,1989,2.9145161290322577,1.22,1.02,1.13,1.17,1.04
190,1990,2.164516129032258,1.25,1.08,1.18,1.22,1.1
191,1991,1.604516129032258,1.29,1.14,1.24,1.27,1.15
192,1992,1.874516129032258,1.33,1.2,1.3,1.33,1.21
193,1993,1.044516129032258,1.38,1.25,1.36,1.38,1.27
194,1994,1.024516129032258,1.42,1.31,1.41,1.43,1.33
195,1995,1.594516129032258,1.44,1.37,1.47,1.49,1.38
196,1996,0.9345161290322581,1.44,1.43,1.52,1.54,1.44
197,1997,1.394516129032258,1.45,1.49,1.58,1.59,1.5
198,1998,0.48451612903225805,1.48,1.55,1.64,1.65,1.56
199,1999,1.564516129032258,1.52,1.61,1.7,1.71,1.62
200,2000,2.8345161290322585,1.59,1.68,1.77,1.77,1.69
201,2001,1.334516129032258,1.67,1.74,1.83,1.82,1.75
202,2002,1.444516129032258,1.75,1.8,1.89,1.88,1.82
203,2003,1.7145161290322581,1.82,1.86,1.94,1.93,1.87
204,2004,1.874516129032258,1.88,1.92,2.0,1.99,1.93
205,2005,2.524516129032258,1.94,1.97,2.05,2.03,1.98
206,2006,2.154516129032258,1.99,2.02,2.09,2.08,2.03
207,2007,2.374516129032258,2.05,2.08,2.14,2.13,2.08
208,2008,2.454516129032258,2.11,2.13,2.19,2.17,2.13
209,2009,1.674516129032258,2.18,2.18,2.23,2.21,2.18
210,2010,0.4045161290322581,2.24,2.23,2.27,2.25,2.23
211,2011,2.804516129032258,2.28,2.29,2.31,2.29,2.28
212,2012,1.114516129032258,2.32,2.34,2.35,2.34,2.34
213,2013,2.654516129032258,2.38,2.4,2.4,2.38,2.39
214,2014,2.9145161290322577,2.43,2.46,2.44,2.42,2.45
215,2015,3.2845161290322578,2.5,2.52,2.48,2.47,2.5
216,2016,2.514516129032258,2.56,2.56,2.52,2.52,2.55
217,2017,1.914516129032258,2.63,2.61,2.55,2.57,2.6
218,2018,2.574516129032258,2.69,2.66,2.59,2.62,2.66
219,2019,2.084516129032258,2.76,2.7,2.63,2.67,2.71
220,2020,3.764516129032258,2.83,2.75,2.67,2.72,2.76
221,2021,,,2.79,2.71,2.78,2.81
222,2022,,,2.82,2.75,2.83,2.87
223,2023,,,2.85,2.79,2.87,2.92
224,2024,,,2.88,2.84,2.92,2.97
225,2025,,,2.9,2.88,2.97,3.02
226,2026,,,2.92,2.92,3.03,3.08
227,2027,,,2.94,2.97,3.08,3.14
228,2028,,,2.96,3.02,3.14,3.2
229,2029,,,2.98,3.07,3.19,3.25
230,2030,,,3.0,3.12,3.24,3.31
231,2031,,,3.02,3.17,3.29,3.37
232,2032,,,3.04,3.22,3.33,3.42
233,2033,,,3.07,3.26,3.38,3.48
234,2034,,,3.1,3.31,3.42,3.53
235,2035,,,3.13,3.35,3.47,3.59
236,2036,,,3.15,3.39,3.52,3.65
237,2037,,,3.17,3.43,3.57,3.71
238,2038,,,3.19,3.47,3.62,3.76
239,2039,,,3.21,3.51,3.66,3.82
240,2040,,,3.23,3.55,3.71,3.88
241,2041,,,3.25,3.59,3.76,3.94
242,2042,,,3.27,3.62,3.81,3.99
243,2043,,,3.29,3.66,3.85,4.04
244,2044,,,3.3,3.68,3.89,4.1
245,2045,,,3.31,3.71,3.93,4.15
246,2046,,,3.32,3.73,3.98,4.21
247,2047,,,3.33,3.75,4.03,4.27
248,2048,,,3.33,3.77,4.07,4.33
249,2049,,,3.33,3.79,4.11,4.4
250,2050,,,3.33,3.82,4.16,4.46
251,2051,,,3.34,3.85,4.21,4.52
252,2052,,,3.34,3.88,4.25,4.59
253,2053,,,3.35,3.91,4.3,4.66
254,2054,,,3.35,3.94,4.34,4.72
255,2055,,,3.36,3.96,4.39,4.78
256,2056,,,3.37,3.99,4.43,4.84
257,2057,,,3.37,4.02,4.48,4.92
258,2058,,,3.38,4.04,4.53,4.99
259,2059,,,3.39,4.07,4.58,5.05
260,2060,,,3.4,4.1,4.63,5.11
261,2061,,,3.4,4.13,4.68,5.19
262,2062,,,3.41,4.16,4.74,5.26
263,2063,,,3.42,4.19,4.8,5.32
264,2064,,,3.43,4.22,4.85,5.39
265,2065,,,3.44,4.24,4.91,5.45
266,2066,,,3.45,4.26,4.96,5.51
267,2067,,,3.46,4.28,5.01,5.57
268,2068,,,3.47,4.3,5.07,5.63
269,2069,,,3.47,4.33,5.12,5.69
270,2070,,,3.47,4.35,5.17,5.75
271,2071,,,3.47,4.38,5.23,5.82
272,2072,,,3.47,4.41,5.28,5.88
273,2073,,,3.46,4.44,5.33,5.94
274,2074,,,3.45,4.47,5.37,6.0
275,2075,,,3.43,4.5,5.42,6.07
276,2076,,,3.42,4.51,5.47,6.13
277,2077,,,3.41,4.54,5.51,6.2
278,2078,,,3.39,4.56,5.56,6.27
279,2079,,,3.38,4.58,5.61,6.35
280,2080,,,3.37,4.59,5.66,6.43
281,2081,,,3.36,4.61,5.71,6.5
282,2082,,,3.35,4.63,5.76,6.58
283,2083,,,3.34,4.65,5.81,6.66
284,2084,,,3.34,4.67,5.86,6.73
285,2085,,,3.33,4.69,5.91,6.81
286,2086,,,3.34,4.7,5.97,6.88
287,2087,,,3.34,4.71,6.03,6.95
288,2088,,,3.34,4.73,6.09,7.02
289,2089,,,3.35,4.74,6.16,7.09
290,2090,,,3.36,4.76,6.22,7.16
291,2091,,,3.36,4.78,6.28,7.23
292,2092,,,3.37,4.8,6.34,7.3
293,2093,,,3.37,4.82,6.4,7.36
294,2094,,,3.38,4.84,6.46,7.43
295,2095,,,3.39,4.86,6.52,7.49
296,2096,,,3.39,4.88,6.58,7.56
297,2097,,,3.4,4.9,6.64,7.62
298,2098,,,3.4,4.92,6.69,7.68
299,2099,,,3.41,4.93,6.75,7.74
300,2100,,,3.42,4.95,6.81,7.82
