United States of America,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
58,1858,-0.09193548387096778,-0.04,0.13,0.1,0.16,0.09
59,1859,-0.2519354838709677,-0.03,0.13,0.1,0.16,0.09
60,1860,0.25806451612903225,-0.03,0.12,0.09,0.15,0.09
61,1861,0.3180645161290323,-0.01,0.12,0.09,0.15,0.09
62,1862,-0.08193548387096777,0.0,0.12,0.09,0.14,0.09
63,1863,0.09806451612903228,0.03,0.12,0.09,0.14,0.09
64,1864,0.048064516129032286,0.05,0.12,0.09,0.14,0.09
65,1865,0.09806451612903228,0.06,0.12,0.09,0.14,0.09
66,1866,0.02806451612903227,0.07,0.11,0.09,0.14,0.08
67,1867,0.1780645161290323,0.06,0.11,0.09,0.13,0.08
68,1868,-0.16193548387096773,0.04,0.11,0.09,0.14,0.09
69,1869,0.058064516129032295,0.02,0.12,0.09,0.14,0.09
70,1870,0.4380645161290323,0.01,0.12,0.09,0.14,0.09
71,1871,0.2880645161290323,0.01,0.12,0.1,0.14,0.09
72,1872,-0.42193548387096774,0.01,0.12,0.1,0.14,0.09
73,1873,-0.4019354838709677,0.02,0.12,0.1,0.15,0.09
74,1874,0.33806451612903227,0.02,0.12,0.1,0.15,0.09
75,1875,-0.5319354838709678,0.02,0.12,0.11,0.16,0.09
76,1876,-0.29193548387096774,0.01,0.13,0.11,0.16,0.1
77,1877,0.25806451612903225,-0.0,0.13,0.11,0.16,0.1
78,1878,0.6180645161290322,-0.02,0.13,0.11,0.17,0.1
79,1879,0.33806451612903227,-0.03,0.13,0.11,0.16,0.1
80,1880,-0.29193548387096774,-0.04,0.12,0.1,0.16,0.09
81,1881,0.3080645161290323,-0.05,0.11,0.09,0.15,0.08
82,1882,-0.03193548387096773,-0.05,0.1,0.08,0.13,0.07
83,1883,-0.3419354838709678,-0.05,0.08,0.07,0.12,0.05
84,1884,-0.44193548387096776,-0.06,0.07,0.06,0.11,0.04
85,1885,-0.19193548387096776,-0.07,0.06,0.05,0.1,0.03
86,1886,-0.17193548387096774,-0.08,0.05,0.04,0.09,0.02
87,1887,-0.23193548387096768,-0.09,0.05,0.03,0.08,0.01
88,1888,-0.1219354838709677,-0.09,0.04,0.01,0.07,0.0
89,1889,0.4880645161290323,-0.09,0.03,0.0,0.06,-0.01
90,1890,0.23806451612903226,-0.07,0.02,-0.01,0.04,-0.02
91,1891,-0.04193548387096774,-0.06,0.01,-0.02,0.03,-0.03
92,1892,-0.20193548387096777,-0.03,0.01,-0.02,0.03,-0.03
93,1893,-0.18193548387096775,-0.01,0.01,-0.02,0.03,-0.03
94,1894,0.07806451612903226,0.0,0.02,-0.01,0.04,-0.02
95,1895,-0.4819354838709677,0.01,0.02,-0.0,0.04,-0.01
96,1896,0.07806451612903226,0.02,0.03,-0.0,0.05,-0.01
97,1897,0.15806451612903227,0.02,0.02,-0.0,0.05,-0.01
98,1898,0.06806451612903225,0.02,0.02,-0.01,0.04,-0.02
99,1899,-0.1219354838709677,0.03,0.01,-0.02,0.03,-0.02
100,1900,0.7280645161290322,0.05,0.01,-0.02,0.03,-0.03
101,1901,0.19806451612903225,0.07,-0.0,-0.02,0.03,-0.03
102,1902,0.13806451612903226,0.08,-0.01,-0.03,0.02,-0.04
103,1903,-0.3419354838709678,0.1,-0.01,-0.03,0.02,-0.04
104,1904,-0.1219354838709677,0.11,-0.02,-0.04,0.01,-0.05
105,1905,0.1180645161290323,0.12,-0.03,-0.05,0.0,-0.06
106,1906,0.22806451612903228,0.13,-0.04,-0.06,-0.0,-0.07
107,1907,0.06806451612903225,0.14,-0.05,-0.06,-0.01,-0.07
108,1908,0.4280645161290323,0.14,-0.05,-0.07,-0.02,-0.08
109,1909,-0.10193548387096768,0.15,-0.06,-0.07,-0.02,-0.08
110,1910,0.4180645161290323,0.15,-0.05,-0.07,-0.02,-0.08
111,1911,0.4280645161290323,0.15,-0.05,-0.06,-0.01,-0.07
112,1912,-0.21193548387096778,0.15,-0.04,-0.05,0.0,-0.06
113,1913,0.18806451612903224,0.13,-0.03,-0.04,0.01,-0.05
114,1914,0.49806451612903224,0.13,-0.02,-0.03,0.03,-0.04
115,1915,0.27806451612903227,0.12,-0.01,-0.02,0.04,-0.03
116,1916,-0.21193548387096778,0.12,0.0,-0.01,0.05,-0.02
117,1917,-0.7419354838709677,0.12,0.01,0.0,0.05,-0.02
118,1918,0.09806451612903228,0.13,0.02,0.01,0.06,-0.01
119,1919,0.13806451612903226,0.15,0.02,0.01,0.07,-0.0
120,1920,-0.22193548387096768,0.17,0.03,0.02,0.08,0.0
121,1921,1.1780645161290322,0.19,0.04,0.03,0.09,0.01
122,1922,0.33806451612903227,0.21,0.05,0.04,0.09,0.02
123,1923,0.32806451612903226,0.24,0.06,0.05,0.1,0.03
124,1924,-0.3719354838709677,0.28,0.07,0.06,0.11,0.04
125,1925,0.5880645161290323,0.31,0.07,0.06,0.12,0.04
126,1926,0.7080645161290322,0.35,0.08,0.07,0.12,0.05
127,1927,0.2980645161290323,0.38,0.08,0.07,0.13,0.05
128,1928,0.45806451612903226,0.4,0.09,0.08,0.13,0.06
129,1929,0.008064516129032251,0.42,0.09,0.08,0.13,0.07
130,1930,0.3180645161290323,0.44,0.1,0.09,0.14,0.07
131,1931,1.1180645161290323,0.46,0.1,0.1,0.14,0.08
132,1932,0.09806451612903228,0.49,0.11,0.1,0.15,0.08
133,1933,0.5880645161290323,0.51,0.12,0.11,0.15,0.09
134,1934,1.3880645161290324,0.54,0.12,0.11,0.15,0.09
135,1935,0.2980645161290323,0.57,0.12,0.12,0.16,0.1
136,1936,0.4880645161290323,0.59,0.13,0.12,0.16,0.1
137,1937,0.3080645161290323,0.6,0.13,0.12,0.16,0.1
138,1938,1.0480645161290323,0.61,0.13,0.12,0.16,0.11
139,1939,0.8780645161290322,0.61,0.14,0.13,0.16,0.11
140,1940,0.6580645161290323,0.6,0.14,0.13,0.16,0.11
141,1941,0.8380645161290323,0.59,0.15,0.14,0.17,0.12
142,1942,0.49806451612903224,0.58,0.15,0.14,0.17,0.12
143,1943,0.5680645161290323,0.55,0.16,0.15,0.17,0.13
144,1944,0.4780645161290323,0.53,0.17,0.15,0.18,0.14
145,1945,0.23806451612903226,0.5,0.17,0.16,0.18,0.14
146,1946,0.7680645161290323,0.48,0.18,0.16,0.19,0.15
147,1947,0.4280645161290323,0.47,0.18,0.16,0.19,0.15
148,1948,0.08806451612903227,0.46,0.18,0.17,0.19,0.15
149,1949,0.49806451612903224,0.46,0.18,0.17,0.19,0.15
150,1950,0.25806451612903225,0.46,0.18,0.17,0.2,0.15
151,1951,0.01806451612903226,0.47,0.18,0.17,0.2,0.15
152,1952,0.5980645161290323,0.48,0.17,0.16,0.19,0.15
153,1953,1.1380645161290324,0.48,0.17,0.16,0.19,0.15
154,1954,1.0280645161290323,0.49,0.16,0.15,0.19,0.14
155,1955,0.13806451612903226,0.5,0.15,0.14,0.18,0.13
156,1956,0.33806451612903227,0.51,0.14,0.13,0.17,0.12
157,1957,0.7680645161290323,0.52,0.13,0.12,0.16,0.1
158,1958,0.6180645161290322,0.52,0.11,0.1,0.14,0.09
159,1959,0.4880645161290323,0.5,0.09,0.09,0.12,0.07
160,1960,0.3580645161290323,0.48,0.08,0.07,0.11,0.06
161,1961,0.3180645161290323,0.46,0.06,0.06,0.09,0.04
162,1962,0.6380645161290323,0.44,0.05,0.04,0.08,0.03
163,1963,0.7580645161290323,0.43,0.04,0.03,0.07,0.02
164,1964,0.1780645161290323,0.41,0.03,0.02,0.06,0.01
165,1965,0.32806451612903226,0.39,0.02,0.02,0.05,0.0
166,1966,0.16806451612903228,0.38,0.02,0.01,0.05,-0.01
167,1967,0.5780645161290323,0.37,0.01,0.01,0.05,-0.01
168,1968,0.23806451612903226,0.36,0.01,0.01,0.05,-0.01
169,1969,0.45806451612903226,0.35,0.02,0.01,0.05,-0.01
170,1970,0.3580645161290323,0.35,0.02,0.02,0.06,-0.0
171,1971,0.1180645161290323,0.36,0.03,0.03,0.07,0.01
172,1972,0.1180645161290323,0.37,0.05,0.05,0.09,0.03
173,1973,0.6280645161290322,0.39,0.07,0.06,0.11,0.05
174,1974,0.5080645161290323,0.41,0.09,0.09,0.13,0.07
175,1975,0.1180645161290323,0.43,0.11,0.11,0.15,0.09
176,1976,0.3180645161290323,0.45,0.13,0.13,0.17,0.11
177,1977,0.9380645161290322,0.47,0.15,0.15,0.19,0.13
178,1978,0.4280645161290323,0.5,0.17,0.18,0.22,0.16
179,1979,0.24806451612903227,0.53,0.19,0.2,0.24,0.18
180,1980,0.8180645161290323,0.56,0.22,0.22,0.26,0.2
181,1981,1.3980645161290324,0.6,0.24,0.25,0.29,0.23
182,1982,0.21806451612903227,0.64,0.27,0.28,0.32,0.26
183,1983,0.5780645161290323,0.68,0.3,0.31,0.35,0.29
184,1984,0.4780645161290323,0.72,0.33,0.34,0.37,0.32
185,1985,0.25806451612903225,0.75,0.35,0.37,0.4,0.35
186,1986,1.2180645161290322,0.77,0.38,0.4,0.43,0.38
187,1987,1.2880645161290323,0.8,0.41,0.43,0.45,0.4
188,1988,0.9380645161290322,0.82,0.43,0.46,0.48,0.43
189,1989,0.5380645161290323,0.84,0.47,0.49,0.51,0.46
190,1990,1.2080645161290322,0.87,0.5,0.53,0.54,0.49
191,1991,1.1680645161290322,0.89,0.53,0.56,0.58,0.53
192,1992,0.7380645161290322,0.92,0.57,0.6,0.62,0.57
193,1993,0.5480645161290323,0.95,0.61,0.64,0.66,0.61
194,1994,0.9580645161290322,0.98,0.66,0.68,0.7,0.65
195,1995,1.0180645161290323,1.02,0.7,0.73,0.74,0.7
196,1996,0.4280645161290323,1.06,0.74,0.77,0.78,0.74
197,1997,0.8380645161290323,1.1,0.78,0.81,0.82,0.78
198,1998,1.8080645161290323,1.15,0.82,0.85,0.86,0.82
199,1999,1.2480645161290322,1.2,0.86,0.88,0.9,0.86
200,2000,1.3180645161290323,1.25,0.91,0.92,0.94,0.9
201,2001,1.4480645161290322,1.3,0.95,0.97,0.99,0.94
202,2002,1.4780645161290322,1.33,1.0,1.01,1.04,0.99
203,2003,1.4080645161290322,1.35,1.05,1.06,1.09,1.04
204,2004,1.3380645161290323,1.35,1.09,1.1,1.13,1.09
205,2005,1.5680645161290323,1.35,1.14,1.15,1.18,1.13
206,2006,1.6480645161290322,1.34,1.19,1.2,1.23,1.18
207,2007,1.5080645161290323,1.33,1.24,1.25,1.27,1.23
208,2008,0.6180645161290322,1.34,1.29,1.29,1.31,1.28
209,2009,0.8080645161290323,1.36,1.33,1.34,1.36,1.33
210,2010,1.1680645161290322,1.38,1.38,1.39,1.4,1.38
211,2011,1.2080645161290322,1.41,1.43,1.43,1.44,1.42
212,2012,1.9380645161290322,1.45,1.47,1.48,1.48,1.47
213,2013,0.9080645161290323,1.49,1.52,1.53,1.52,1.52
214,2014,1.1580645161290322,1.52,1.58,1.58,1.56,1.58
215,2015,1.9780645161290322,1.56,1.63,1.63,1.61,1.63
216,2016,2.398064516129032,1.61,1.68,1.67,1.65,1.68
217,2017,2.0280645161290325,1.65,1.72,1.71,1.69,1.73
218,2018,1.6280645161290321,1.7,1.77,1.75,1.74,1.78
219,2019,1.3880645161290324,1.75,1.81,1.79,1.78,1.82
220,2020,1.7580645161290323,1.79,1.86,1.84,1.82,1.87
221,2021,,,1.9,1.88,1.86,1.92
222,2022,,,1.94,1.91,1.9,1.97
223,2023,,,1.98,1.95,1.94,2.01
224,2024,,,2.01,1.99,1.97,2.06
225,2025,,,2.05,2.03,2.01,2.11
226,2026,,,2.08,2.06,2.05,2.16
227,2027,,,2.12,2.1,2.1,2.22
228,2028,,,2.15,2.14,2.14,2.27
229,2029,,,2.19,2.18,2.18,2.33
230,2030,,,2.22,2.22,2.22,2.38
231,2031,,,2.25,2.26,2.26,2.44
232,2032,,,2.29,2.3,2.31,2.49
233,2033,,,2.32,2.34,2.35,2.55
234,2034,,,2.34,2.38,2.39,2.6
235,2035,,,2.37,2.41,2.44,2.66
236,2036,,,2.39,2.45,2.49,2.71
237,2037,,,2.42,2.49,2.54,2.77
238,2038,,,2.44,2.53,2.58,2.82
239,2039,,,2.46,2.57,2.63,2.88
240,2040,,,2.49,2.61,2.68,2.94
241,2041,,,2.51,2.65,2.74,3.0
242,2042,,,2.53,2.69,2.79,3.06
243,2043,,,2.55,2.73,2.83,3.12
244,2044,,,2.56,2.76,2.88,3.18
245,2045,,,2.58,2.79,2.94,3.24
246,2046,,,2.59,2.83,2.99,3.3
247,2047,,,2.6,2.86,3.04,3.36
248,2048,,,2.61,2.9,3.09,3.42
249,2049,,,2.62,2.93,3.13,3.48
250,2050,,,2.63,2.96,3.18,3.55
251,2051,,,2.65,3.0,3.23,3.61
252,2052,,,2.66,3.03,3.28,3.68
253,2053,,,2.67,3.06,3.33,3.75
254,2054,,,2.68,3.09,3.37,3.81
255,2055,,,2.69,3.12,3.42,3.87
256,2056,,,2.69,3.15,3.46,3.94
257,2057,,,2.7,3.18,3.51,4.01
258,2058,,,2.7,3.21,3.56,4.07
259,2059,,,2.71,3.24,3.6,4.13
260,2060,,,2.71,3.26,3.65,4.19
261,2061,,,2.72,3.29,3.7,4.25
262,2062,,,2.72,3.32,3.75,4.32
263,2063,,,2.72,3.34,3.81,4.39
264,2064,,,2.73,3.37,3.86,4.45
265,2065,,,2.74,3.39,3.92,4.52
266,2066,,,2.74,3.42,3.97,4.59
267,2067,,,2.74,3.44,4.02,4.66
268,2068,,,2.74,3.47,4.07,4.73
269,2069,,,2.74,3.49,4.12,4.8
270,2070,,,2.74,3.51,4.17,4.87
271,2071,,,2.74,3.54,4.22,4.95
272,2072,,,2.74,3.57,4.28,5.02
273,2073,,,2.74,3.59,4.33,5.09
274,2074,,,2.73,3.62,4.39,5.16
275,2075,,,2.73,3.64,4.44,5.23
276,2076,,,2.72,3.66,4.5,5.3
277,2077,,,2.72,3.68,4.56,5.37
278,2078,,,2.71,3.71,4.61,5.44
279,2079,,,2.7,3.73,4.66,5.52
280,2080,,,2.69,3.75,4.72,5.59
281,2081,,,2.68,3.77,4.77,5.66
282,2082,,,2.68,3.79,4.83,5.73
283,2083,,,2.67,3.81,4.88,5.81
284,2084,,,2.67,3.83,4.94,5.88
285,2085,,,2.66,3.85,5.0,5.95
286,2086,,,2.66,3.87,5.05,6.02
287,2087,,,2.66,3.89,5.11,6.09
288,2088,,,2.65,3.91,5.16,6.16
289,2089,,,2.65,3.93,5.22,6.23
290,2090,,,2.64,3.94,5.27,6.3
291,2091,,,2.64,3.96,5.32,6.37
292,2092,,,2.63,3.98,5.37,6.43
293,2093,,,2.62,4.0,5.42,6.5
294,2094,,,2.62,4.01,5.47,6.56
295,2095,,,2.61,4.03,5.52,6.63
296,2096,,,2.6,4.04,5.57,6.7
297,2097,,,2.6,4.06,5.62,6.76
298,2098,,,2.59,4.07,5.67,6.82
299,2099,,,2.58,4.08,5.72,6.88
300,2100,,,2.58,4.1,5.78,6.95
