Mongolia,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
93,1893,0.41548387096774186,0.07,0.52,0.5,0.52,0.5
94,1894,0.7054838709677418,0.08,0.53,0.51,0.53,0.51
95,1895,-0.2245161290322581,0.1,0.54,0.52,0.54,0.52
96,1896,0.3054838709677419,0.12,0.54,0.52,0.55,0.52
97,1897,-0.3645161290322581,0.13,0.54,0.53,0.55,0.52
98,1898,0.04548387096774187,0.12,0.54,0.52,0.55,0.52
99,1899,0.6654838709677419,0.11,0.53,0.52,0.55,0.51
100,1900,0.10548387096774187,0.1,0.52,0.51,0.55,0.5
101,1901,0.24548387096774185,0.08,0.51,0.5,0.54,0.49
102,1902,0.5654838709677419,0.05,0.5,0.49,0.53,0.48
103,1903,-0.3145161290322582,0.03,0.48,0.47,0.52,0.47
104,1904,-0.08451612903225819,0.01,0.47,0.46,0.51,0.46
105,1905,-0.29451612903225816,-0.02,0.46,0.45,0.5,0.45
106,1906,-0.1045161290322581,-0.04,0.45,0.44,0.49,0.44
107,1907,0.10548387096774187,-0.06,0.44,0.43,0.48,0.43
108,1908,0.015483870967741842,-0.07,0.44,0.43,0.47,0.42
109,1909,-0.2045161290322582,-0.08,0.43,0.43,0.47,0.42
110,1910,-0.6345161290322583,-0.08,0.44,0.43,0.47,0.42
111,1911,0.39548387096774185,-0.06,0.44,0.44,0.47,0.43
112,1912,-0.8245161290322582,-0.04,0.45,0.44,0.48,0.44
113,1913,0.20548387096774184,-0.02,0.46,0.46,0.49,0.45
114,1914,0.8854838709677418,0.02,0.48,0.47,0.5,0.47
115,1915,-0.2445161290322581,0.05,0.49,0.49,0.52,0.48
116,1916,-0.3645161290322581,0.08,0.51,0.5,0.53,0.5
117,1917,-0.0045161290322581205,0.12,0.52,0.52,0.55,0.51
118,1918,0.25548387096774183,0.16,0.54,0.54,0.57,0.53
119,1919,0.22548387096774186,0.19,0.55,0.55,0.58,0.54
120,1920,0.5754838709677419,0.22,0.56,0.56,0.6,0.56
121,1921,0.6354838709677418,0.25,0.57,0.58,0.61,0.57
122,1922,0.005483870967741833,0.26,0.58,0.59,0.63,0.58
123,1923,-0.0945161290322582,0.25,0.59,0.6,0.64,0.58
124,1924,0.35548387096774187,0.24,0.59,0.6,0.64,0.59
125,1925,0.6254838709677418,0.22,0.6,0.6,0.65,0.59
126,1926,0.8654838709677419,0.19,0.6,0.61,0.65,0.59
127,1927,0.23548387096774184,0.14,0.6,0.61,0.65,0.59
128,1928,0.11548387096774188,0.09,0.61,0.61,0.66,0.59
129,1929,-0.4945161290322581,0.04,0.61,0.61,0.66,0.6
130,1930,-0.08451612903225819,-0.01,0.61,0.62,0.66,0.6
131,1931,-0.3545161290322581,-0.06,0.62,0.63,0.67,0.61
132,1932,0.8654838709677419,-0.09,0.63,0.63,0.68,0.62
133,1933,-0.27451612903225814,-0.09,0.64,0.64,0.69,0.62
134,1934,-0.5545161290322582,-0.08,0.65,0.65,0.69,0.63
135,1935,-0.2245161290322581,-0.04,0.66,0.65,0.7,0.64
136,1936,-1.0545161290322582,-0.0,0.67,0.66,0.71,0.65
137,1937,-0.4645161290322582,0.04,0.68,0.67,0.71,0.66
138,1938,0.3154838709677419,0.07,0.69,0.68,0.72,0.67
139,1939,0.5754838709677419,0.11,0.7,0.69,0.73,0.68
140,1940,0.47548387096774186,0.15,0.71,0.7,0.74,0.69
141,1941,0.7054838709677418,0.2,0.71,0.71,0.75,0.7
142,1942,0.46548387096774185,0.25,0.72,0.71,0.76,0.7
143,1943,0.45548387096774184,0.28,0.72,0.71,0.76,0.7
144,1944,-0.41451612903225815,0.3,0.72,0.71,0.76,0.7
145,1945,0.18548387096774183,0.3,0.72,0.71,0.75,0.7
146,1946,0.6354838709677418,0.28,0.71,0.7,0.74,0.69
147,1947,-0.9945161290322582,0.25,0.7,0.69,0.73,0.68
148,1948,0.6554838709677419,0.21,0.69,0.68,0.72,0.67
149,1949,0.37548387096774183,0.18,0.68,0.67,0.72,0.67
150,1950,0.13548387096774184,0.15,0.67,0.67,0.71,0.66
151,1951,0.35548387096774187,0.14,0.67,0.66,0.7,0.65
152,1952,-0.2545161290322581,0.14,0.66,0.66,0.7,0.65
153,1953,0.39548387096774185,0.14,0.65,0.65,0.69,0.64
154,1954,-0.5945161290322583,0.16,0.64,0.65,0.69,0.63
155,1955,0.47548387096774186,0.19,0.63,0.64,0.68,0.63
156,1956,-0.6945161290322581,0.22,0.62,0.63,0.67,0.62
157,1957,-0.3445161290322582,0.27,0.61,0.62,0.66,0.61
158,1958,0.9054838709677419,0.32,0.6,0.61,0.65,0.59
159,1959,0.25548387096774183,0.37,0.58,0.6,0.64,0.58
160,1960,0.28548387096774186,0.41,0.57,0.58,0.62,0.57
161,1961,0.7654838709677418,0.45,0.55,0.57,0.61,0.55
162,1962,0.8254838709677419,0.46,0.54,0.56,0.6,0.54
163,1963,1.4954838709677418,0.47,0.53,0.55,0.6,0.54
164,1964,0.27548387096774185,0.47,0.53,0.55,0.59,0.53
165,1965,1.1754838709677418,0.47,0.52,0.54,0.59,0.52
166,1966,0.4954838709677418,0.48,0.51,0.54,0.58,0.52
167,1967,0.13548387096774184,0.48,0.51,0.53,0.57,0.51
168,1968,0.04548387096774187,0.48,0.5,0.52,0.57,0.5
169,1969,-0.4745161290322581,0.48,0.5,0.52,0.56,0.5
170,1970,0.06548387096774183,0.48,0.5,0.52,0.56,0.5
171,1971,0.47548387096774186,0.5,0.5,0.52,0.57,0.5
172,1972,0.8554838709677419,0.53,0.51,0.53,0.58,0.51
173,1973,1.2854838709677419,0.58,0.52,0.54,0.59,0.52
174,1974,0.17548387096774187,0.65,0.53,0.56,0.6,0.54
175,1975,1.085483870967742,0.72,0.55,0.57,0.62,0.55
176,1976,0.21548387096774185,0.78,0.56,0.58,0.63,0.57
177,1977,0.8054838709677419,0.83,0.57,0.59,0.64,0.58
178,1978,1.3154838709677419,0.85,0.59,0.61,0.66,0.6
179,1979,1.4754838709677418,0.85,0.61,0.63,0.68,0.62
180,1980,0.7054838709677418,0.86,0.64,0.65,0.71,0.64
181,1981,0.6054838709677419,0.87,0.66,0.68,0.74,0.67
182,1982,1.585483870967742,0.89,0.69,0.71,0.77,0.7
183,1983,0.9954838709677418,0.93,0.73,0.75,0.8,0.73
184,1984,-0.30451612903225816,0.97,0.76,0.78,0.84,0.77
185,1985,0.15548387096774186,1.0,0.8,0.82,0.87,0.8
186,1986,0.9054838709677419,1.03,0.83,0.85,0.9,0.83
187,1987,0.8054838709677419,1.06,0.87,0.88,0.93,0.86
188,1988,1.0154838709677418,1.1,0.9,0.91,0.96,0.9
189,1989,1.8454838709677417,1.16,0.93,0.95,0.99,0.93
190,1990,1.8454838709677417,1.24,0.97,0.98,1.03,0.97
191,1991,1.2854838709677419,1.33,1.01,1.02,1.08,1.01
192,1992,1.2554838709677418,1.43,1.06,1.07,1.12,1.05
193,1993,0.7954838709677419,1.52,1.11,1.11,1.17,1.1
194,1994,1.7454838709677418,1.59,1.15,1.16,1.22,1.15
195,1995,1.825483870967742,1.64,1.2,1.21,1.26,1.19
196,1996,0.9454838709677418,1.69,1.25,1.25,1.31,1.24
197,1997,2.325483870967742,1.72,1.29,1.3,1.35,1.28
198,1998,2.645483870967742,1.75,1.34,1.34,1.4,1.33
199,1999,2.185483870967742,1.78,1.38,1.39,1.45,1.38
200,2000,1.2654838709677418,1.82,1.43,1.44,1.5,1.43
201,2001,1.8654838709677417,1.86,1.49,1.49,1.56,1.48
202,2002,2.205483870967742,1.87,1.54,1.55,1.61,1.53
203,2003,1.135483870967742,1.86,1.59,1.6,1.65,1.58
204,2004,2.295483870967742,1.83,1.64,1.64,1.7,1.63
205,2005,1.095483870967742,1.79,1.68,1.69,1.74,1.68
206,2006,2.015483870967742,1.75,1.73,1.74,1.78,1.73
207,2007,3.0754838709677417,1.74,1.78,1.79,1.82,1.78
208,2008,2.165483870967742,1.76,1.83,1.83,1.86,1.82
209,2009,1.6854838709677418,1.79,1.87,1.87,1.89,1.86
210,2010,0.9154838709677419,1.82,1.91,1.91,1.92,1.9
211,2011,0.9854838709677418,1.86,1.94,1.95,1.95,1.94
212,2012,0.48548387096774187,1.92,1.98,1.99,1.98,1.97
213,2013,1.9354838709677418,1.98,2.02,2.03,2.01,2.02
214,2014,2.1354838709677417,2.04,2.07,2.07,2.05,2.06
215,2015,2.605483870967742,2.1,2.12,2.11,2.08,2.11
216,2016,1.7954838709677419,2.16,2.16,2.15,2.12,2.15
217,2017,2.8454838709677417,2.23,2.2,2.19,2.16,2.2
218,2018,2.1554838709677417,2.31,2.23,2.22,2.2,2.24
219,2019,2.455483870967742,2.38,2.27,2.26,2.24,2.29
220,2020,2.395483870967742,2.46,2.3,2.3,2.28,2.33
221,2021,,,2.33,2.34,2.32,2.37
222,2022,,,2.36,2.37,2.36,2.42
223,2023,,,2.39,2.41,2.41,2.47
224,2024,,,2.42,2.44,2.45,2.51
225,2025,,,2.45,2.47,2.49,2.56
226,2026,,,2.48,2.5,2.53,2.61
227,2027,,,2.51,2.53,2.57,2.66
228,2028,,,2.54,2.57,2.62,2.71
229,2029,,,2.56,2.61,2.66,2.76
230,2030,,,2.59,2.65,2.71,2.81
231,2031,,,2.61,2.69,2.76,2.86
232,2032,,,2.63,2.73,2.8,2.91
233,2033,,,2.66,2.76,2.84,2.96
234,2034,,,2.68,2.8,2.88,3.01
235,2035,,,2.71,2.84,2.92,3.07
236,2036,,,2.74,2.87,2.97,3.12
237,2037,,,2.76,2.91,3.01,3.18
238,2038,,,2.79,2.95,3.05,3.24
239,2039,,,2.81,2.99,3.09,3.3
240,2040,,,2.83,3.03,3.13,3.37
241,2041,,,2.86,3.07,3.18,3.43
242,2042,,,2.88,3.11,3.23,3.5
243,2043,,,2.9,3.14,3.28,3.56
244,2044,,,2.91,3.17,3.33,3.63
245,2045,,,2.93,3.2,3.38,3.69
246,2046,,,2.95,3.23,3.43,3.75
247,2047,,,2.97,3.27,3.48,3.82
248,2048,,,2.98,3.29,3.53,3.88
249,2049,,,2.99,3.32,3.57,3.95
250,2050,,,3.0,3.35,3.62,4.01
251,2051,,,3.01,3.38,3.67,4.08
252,2052,,,3.02,3.41,3.72,4.14
253,2053,,,3.03,3.43,3.77,4.21
254,2054,,,3.04,3.45,3.82,4.27
255,2055,,,3.04,3.48,3.87,4.33
256,2056,,,3.05,3.5,3.91,4.39
257,2057,,,3.05,3.52,3.95,4.46
258,2058,,,3.05,3.54,3.99,4.53
259,2059,,,3.05,3.56,4.04,4.6
260,2060,,,3.06,3.58,4.09,4.66
261,2061,,,3.06,3.61,4.14,4.74
262,2062,,,3.06,3.63,4.19,4.82
263,2063,,,3.06,3.65,4.25,4.9
264,2064,,,3.06,3.68,4.31,4.97
265,2065,,,3.05,3.7,4.37,5.05
266,2066,,,3.04,3.72,4.43,5.13
267,2067,,,3.04,3.75,4.49,5.21
268,2068,,,3.03,3.77,4.55,5.29
269,2069,,,3.04,3.8,4.61,5.37
270,2070,,,3.04,3.83,4.67,5.45
271,2071,,,3.04,3.85,4.73,5.53
272,2072,,,3.04,3.89,4.79,5.6
273,2073,,,3.04,3.91,4.84,5.67
274,2074,,,3.05,3.94,4.9,5.75
275,2075,,,3.05,3.97,4.95,5.82
276,2076,,,3.05,3.99,5.01,5.9
277,2077,,,3.04,4.02,5.06,5.97
278,2078,,,3.04,4.04,5.11,6.04
279,2079,,,3.04,4.06,5.17,6.13
280,2080,,,3.03,4.09,5.23,6.2
281,2081,,,3.03,4.11,5.28,6.28
282,2082,,,3.02,4.13,5.33,6.35
283,2083,,,3.02,4.15,5.39,6.43
284,2084,,,3.01,4.16,5.45,6.51
285,2085,,,3.0,4.18,5.5,6.59
286,2086,,,2.99,4.2,5.56,6.67
287,2087,,,2.98,4.22,5.62,6.75
288,2088,,,2.97,4.23,5.69,6.83
289,2089,,,2.97,4.24,5.75,6.91
290,2090,,,2.97,4.25,5.81,6.99
291,2091,,,2.97,4.26,5.87,7.07
292,2092,,,2.96,4.27,5.93,7.15
293,2093,,,2.96,4.28,5.99,7.23
294,2094,,,2.95,4.29,6.05,7.31
295,2095,,,2.95,4.3,6.1,7.39
296,2096,,,2.95,4.31,6.16,7.47
297,2097,,,2.95,4.31,6.22,7.54
298,2098,,,2.94,4.32,6.28,7.61
299,2099,,,2.94,4.32,6.33,7.69
300,2100,,,2.94,4.33,6.39,7.77
