Togo,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
189,1989,0.54,0.76,0.77,0.77,0.79,0.78
190,1990,1.05,0.76,0.78,0.79,0.81,0.79
191,1991,0.5900000000000001,0.77,0.8,0.8,0.82,0.81
192,1992,0.5,0.79,0.82,0.82,0.84,0.83
193,1993,0.78,0.8,0.84,0.84,0.87,0.85
194,1994,0.73,0.83,0.86,0.87,0.89,0.87
195,1995,0.97,0.86,0.89,0.89,0.91,0.89
196,1996,0.9100000000000001,0.89,0.91,0.91,0.93,0.91
197,1997,0.8700000000000001,0.94,0.93,0.93,0.96,0.93
198,1998,1.4400000000000002,0.99,0.95,0.95,0.98,0.95
199,1999,0.9000000000000001,1.05,0.97,0.98,1.0,0.98
200,2000,0.9300000000000002,1.1,1.0,1.01,1.02,1.0
201,2001,1.09,1.15,1.02,1.03,1.05,1.03
202,2002,1.1700000000000002,1.19,1.05,1.06,1.08,1.06
203,2003,1.4000000000000001,1.23,1.08,1.09,1.11,1.09
204,2004,1.27,1.26,1.11,1.12,1.14,1.12
205,2005,1.4900000000000002,1.29,1.14,1.15,1.16,1.14
206,2006,1.4800000000000002,1.3,1.16,1.18,1.19,1.17
207,2007,1.37,1.31,1.19,1.2,1.22,1.2
208,2008,1.12,1.3,1.21,1.23,1.24,1.22
209,2009,1.22,1.29,1.23,1.25,1.27,1.25
210,2010,1.54,1.28,1.26,1.27,1.29,1.27
211,2011,1.25,1.28,1.28,1.29,1.31,1.29
212,2012,1.03,1.28,1.31,1.32,1.33,1.32
213,2013,1.11,1.3,1.33,1.34,1.35,1.34
214,2014,1.26,1.32,1.37,1.37,1.37,1.37
215,2015,1.32,1.34,1.4,1.4,1.39,1.4
216,2016,1.56,1.36,1.43,1.42,1.41,1.42
217,2017,1.4500000000000002,1.39,1.47,1.45,1.43,1.45
218,2018,1.31,1.41,1.5,1.47,1.45,1.47
219,2019,1.51,1.44,1.52,1.49,1.47,1.5
220,2020,1.4400000000000002,1.46,1.55,1.52,1.49,1.53
221,2021,,,1.58,1.54,1.51,1.55
222,2022,,,1.61,1.57,1.53,1.58
223,2023,,,1.64,1.6,1.55,1.61
224,2024,,,1.67,1.62,1.58,1.64
225,2025,,,1.71,1.65,1.6,1.67
226,2026,,,1.74,1.68,1.63,1.7
227,2027,,,1.77,1.71,1.66,1.73
228,2028,,,1.8,1.74,1.69,1.77
229,2029,,,1.82,1.76,1.72,1.8
230,2030,,,1.85,1.79,1.75,1.83
231,2031,,,1.87,1.82,1.78,1.87
232,2032,,,1.89,1.84,1.81,1.9
233,2033,,,1.91,1.86,1.84,1.93
234,2034,,,1.93,1.89,1.87,1.97
235,2035,,,1.95,1.91,1.9,2.0
236,2036,,,1.97,1.94,1.93,2.04
237,2037,,,1.98,1.96,1.96,2.07
238,2038,,,2.0,1.99,1.99,2.11
239,2039,,,2.01,2.01,2.02,2.15
240,2040,,,2.02,2.04,2.06,2.19
241,2041,,,2.03,2.06,2.09,2.24
242,2042,,,2.04,2.09,2.12,2.28
243,2043,,,2.05,2.12,2.15,2.32
244,2044,,,2.06,2.14,2.19,2.36
245,2045,,,2.07,2.17,2.22,2.41
246,2046,,,2.08,2.2,2.26,2.45
247,2047,,,2.09,2.23,2.29,2.49
248,2048,,,2.1,2.25,2.32,2.54
249,2049,,,2.11,2.28,2.36,2.58
250,2050,,,2.11,2.31,2.39,2.63
251,2051,,,2.12,2.34,2.43,2.67
252,2052,,,2.13,2.37,2.46,2.72
253,2053,,,2.14,2.4,2.5,2.77
254,2054,,,2.14,2.42,2.54,2.82
255,2055,,,2.15,2.45,2.58,2.87
256,2056,,,2.15,2.47,2.61,2.92
257,2057,,,2.16,2.5,2.65,2.97
258,2058,,,2.16,2.52,2.69,3.02
259,2059,,,2.16,2.55,2.72,3.07
260,2060,,,2.17,2.57,2.76,3.11
261,2061,,,2.17,2.6,2.8,3.16
262,2062,,,2.17,2.62,2.84,3.22
263,2063,,,2.18,2.64,2.88,3.27
264,2064,,,2.18,2.67,2.92,3.32
265,2065,,,2.18,2.69,2.96,3.37
266,2066,,,2.18,2.71,3.0,3.42
267,2067,,,2.18,2.73,3.04,3.47
268,2068,,,2.18,2.75,3.08,3.52
269,2069,,,2.18,2.77,3.12,3.57
270,2070,,,2.18,2.79,3.16,3.63
271,2071,,,2.18,2.8,3.2,3.68
272,2072,,,2.18,2.83,3.24,3.73
273,2073,,,2.17,2.85,3.28,3.78
274,2074,,,2.17,2.87,3.32,3.84
275,2075,,,2.17,2.89,3.36,3.9
276,2076,,,2.17,2.9,3.41,3.95
277,2077,,,2.18,2.92,3.45,4.01
278,2078,,,2.17,2.94,3.49,4.06
279,2079,,,2.18,2.95,3.53,4.12
280,2080,,,2.18,2.96,3.57,4.18
281,2081,,,2.18,2.98,3.61,4.23
282,2082,,,2.17,2.99,3.64,4.29
283,2083,,,2.17,3.01,3.68,4.35
284,2084,,,2.17,3.02,3.72,4.41
285,2085,,,2.16,3.04,3.76,4.46
286,2086,,,2.16,3.05,3.8,4.52
287,2087,,,2.15,3.07,3.84,4.57
288,2088,,,2.14,3.08,3.88,4.63
289,2089,,,2.13,3.09,3.92,4.69
290,2090,,,2.13,3.11,3.96,4.75
291,2091,,,2.12,3.12,4.01,4.8
292,2092,,,2.11,3.13,4.05,4.86
293,2093,,,2.1,3.15,4.09,4.91
294,2094,,,2.09,3.16,4.13,4.97
295,2095,,,2.08,3.17,4.18,5.02
296,2096,,,2.07,3.18,4.22,5.08
297,2097,,,2.06,3.19,4.26,5.13
298,2098,,,2.06,3.21,4.3,5.18
299,2099,,,2.05,3.22,4.34,5.23
300,2100,,,2.04,3.23,4.39,5.3
