Djibouti,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
173,1973,0.7211111111111111,0.31,0.68,0.67,0.67,0.65
174,1974,0.07111111111111112,0.36,0.7,0.68,0.69,0.67
175,1975,0.2511111111111111,0.4,0.71,0.7,0.71,0.68
176,1976,0.3111111111111111,0.43,0.73,0.72,0.72,0.7
177,1977,0.5811111111111111,0.46,0.75,0.74,0.74,0.72
178,1978,0.6711111111111111,0.47,0.77,0.75,0.76,0.74
179,1979,0.5311111111111111,0.49,0.78,0.77,0.78,0.75
180,1980,1.051111111111111,0.5,0.8,0.79,0.79,0.77
181,1981,0.4111111111111111,0.51,0.82,0.81,0.81,0.79
182,1982,0.5811111111111111,0.53,0.84,0.83,0.83,0.81
183,1983,0.6911111111111111,0.55,0.85,0.84,0.85,0.83
184,1984,0.19111111111111112,0.57,0.87,0.86,0.87,0.85
185,1985,0.28111111111111114,0.58,0.89,0.88,0.89,0.87
186,1986,0.4111111111111111,0.59,0.9,0.9,0.9,0.88
187,1987,0.7411111111111112,0.6,0.92,0.91,0.92,0.9
188,1988,0.9911111111111112,0.62,0.94,0.93,0.94,0.92
189,1989,0.35111111111111115,0.65,0.95,0.94,0.95,0.93
190,1990,0.8611111111111112,0.69,0.97,0.96,0.97,0.95
191,1991,0.8411111111111111,0.73,0.99,0.98,0.99,0.97
192,1992,0.6811111111111111,0.78,1.02,1.01,1.01,0.99
193,1993,0.40111111111111114,0.83,1.04,1.03,1.04,1.02
194,1994,0.7411111111111112,0.87,1.07,1.06,1.06,1.04
195,1995,1.001111111111111,0.92,1.1,1.08,1.09,1.07
196,1996,0.8811111111111112,0.96,1.12,1.11,1.11,1.09
197,1997,1.1311111111111112,1.01,1.15,1.13,1.14,1.12
198,1998,1.401111111111111,1.06,1.17,1.16,1.16,1.14
199,1999,1.041111111111111,1.11,1.2,1.18,1.19,1.16
200,2000,1.1411111111111112,1.16,1.22,1.21,1.22,1.19
201,2001,1.0711111111111111,1.19,1.25,1.24,1.24,1.22
202,2002,1.401111111111111,1.23,1.28,1.27,1.27,1.25
203,2003,1.431111111111111,1.25,1.31,1.3,1.3,1.27
204,2004,1.191111111111111,1.27,1.34,1.33,1.33,1.3
205,2005,1.411111111111111,1.28,1.37,1.35,1.36,1.33
206,2006,1.361111111111111,1.3,1.39,1.38,1.39,1.36
207,2007,1.3411111111111111,1.32,1.42,1.41,1.42,1.39
208,2008,0.9511111111111111,1.34,1.44,1.44,1.44,1.42
209,2009,1.391111111111111,1.37,1.46,1.46,1.47,1.45
210,2010,1.3211111111111111,1.4,1.49,1.49,1.49,1.47
211,2011,1.371111111111111,1.44,1.51,1.51,1.51,1.5
212,2012,1.301111111111111,1.49,1.53,1.54,1.53,1.53
213,2013,1.501111111111111,1.54,1.56,1.56,1.56,1.56
214,2014,1.3411111111111111,1.6,1.59,1.59,1.59,1.59
215,2015,1.8511111111111112,1.65,1.62,1.62,1.61,1.63
216,2016,1.8111111111111111,1.71,1.64,1.64,1.64,1.66
217,2017,1.881111111111111,1.76,1.67,1.67,1.67,1.69
218,2018,1.611111111111111,1.82,1.69,1.7,1.69,1.72
219,2019,1.951111111111111,1.88,1.72,1.72,1.72,1.75
220,2020,2.0011111111111113,1.94,1.75,1.75,1.75,1.78
221,2021,,,1.78,1.78,1.78,1.81
222,2022,,,1.8,1.8,1.81,1.85
223,2023,,,1.83,1.83,1.84,1.88
224,2024,,,1.86,1.86,1.87,1.91
225,2025,,,1.89,1.88,1.9,1.95
226,2026,,,1.92,1.91,1.94,1.98
227,2027,,,1.95,1.94,1.97,2.02
228,2028,,,1.98,1.97,2.0,2.06
229,2029,,,2.01,2.0,2.03,2.09
230,2030,,,2.04,2.03,2.06,2.13
231,2031,,,2.06,2.05,2.09,2.17
232,2032,,,2.09,2.08,2.12,2.21
233,2033,,,2.11,2.1,2.15,2.24
234,2034,,,2.13,2.12,2.18,2.28
235,2035,,,2.15,2.15,2.21,2.32
236,2036,,,2.17,2.17,2.24,2.36
237,2037,,,2.19,2.2,2.27,2.4
238,2038,,,2.2,2.22,2.3,2.44
239,2039,,,2.22,2.25,2.34,2.48
240,2040,,,2.23,2.27,2.37,2.53
241,2041,,,2.25,2.3,2.41,2.57
242,2042,,,2.26,2.32,2.44,2.61
243,2043,,,2.27,2.35,2.48,2.66
244,2044,,,2.28,2.37,2.51,2.7
245,2045,,,2.29,2.4,2.55,2.75
246,2046,,,2.3,2.43,2.59,2.79
247,2047,,,2.3,2.46,2.62,2.84
248,2048,,,2.31,2.48,2.66,2.89
249,2049,,,2.32,2.51,2.69,2.93
250,2050,,,2.33,2.53,2.72,2.98
251,2051,,,2.34,2.57,2.76,3.03
252,2052,,,2.35,2.59,2.79,3.08
253,2053,,,2.36,2.62,2.83,3.13
254,2054,,,2.37,2.64,2.86,3.18
255,2055,,,2.38,2.67,2.9,3.23
256,2056,,,2.39,2.7,2.93,3.28
257,2057,,,2.39,2.72,2.97,3.34
258,2058,,,2.4,2.75,3.0,3.39
259,2059,,,2.4,2.77,3.04,3.44
260,2060,,,2.41,2.79,3.08,3.49
261,2061,,,2.41,2.82,3.11,3.54
262,2062,,,2.42,2.84,3.15,3.59
263,2063,,,2.42,2.86,3.19,3.65
264,2064,,,2.42,2.88,3.23,3.7
265,2065,,,2.43,2.9,3.27,3.75
266,2066,,,2.42,2.92,3.31,3.8
267,2067,,,2.42,2.94,3.35,3.85
268,2068,,,2.42,2.96,3.39,3.9
269,2069,,,2.42,2.97,3.42,3.95
270,2070,,,2.42,2.99,3.46,4.01
271,2071,,,2.42,3.0,3.5,4.06
272,2072,,,2.42,3.02,3.54,4.11
273,2073,,,2.41,3.04,3.58,4.16
274,2074,,,2.41,3.06,3.62,4.21
275,2075,,,2.41,3.07,3.67,4.27
276,2076,,,2.41,3.08,3.71,4.32
277,2077,,,2.41,3.1,3.75,4.38
278,2078,,,2.4,3.12,3.79,4.43
279,2079,,,2.4,3.13,3.84,4.49
280,2080,,,2.4,3.15,3.89,4.55
281,2081,,,2.39,3.16,3.93,4.6
282,2082,,,2.39,3.18,3.97,4.66
283,2083,,,2.39,3.2,4.02,4.72
284,2084,,,2.38,3.22,4.06,4.78
285,2085,,,2.38,3.23,4.11,4.84
286,2086,,,2.37,3.25,4.15,4.89
287,2087,,,2.37,3.26,4.19,4.95
288,2088,,,2.36,3.28,4.24,5.01
289,2089,,,2.35,3.29,4.28,5.07
290,2090,,,2.35,3.3,4.32,5.12
291,2091,,,2.34,3.31,4.37,5.18
292,2092,,,2.33,3.33,4.41,5.23
293,2093,,,2.33,3.34,4.45,5.29
294,2094,,,2.32,3.35,4.49,5.34
295,2095,,,2.31,3.36,4.53,5.4
296,2096,,,2.31,3.37,4.57,5.45
297,2097,,,2.3,3.38,4.62,5.5
298,2098,,,2.29,3.39,4.66,5.55
299,2099,,,2.29,3.4,4.7,5.6
300,2100,,,2.28,3.41,4.74,5.66
