Jamaica,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
82,1882,-0.3825806451612903,-0.02,0.37,0.36,0.36,0.35
83,1883,0.24741935483870975,-0.05,0.37,0.35,0.36,0.35
84,1884,-0.32258064516129026,-0.07,0.36,0.35,0.35,0.34
85,1885,-0.1125806451612903,-0.09,0.36,0.35,0.35,0.34
86,1886,-0.10258064516129028,-0.09,0.36,0.34,0.35,0.33
87,1887,-0.33258064516129027,-0.1,0.35,0.34,0.34,0.33
88,1888,0.007419354838709702,-0.1,0.35,0.33,0.34,0.33
89,1889,0.28741935483870973,-0.1,0.35,0.33,0.34,0.32
90,1890,-0.20258064516129026,-0.1,0.34,0.33,0.34,0.32
91,1891,0.24741935483870975,-0.08,0.34,0.33,0.33,0.32
92,1892,-0.21258064516129027,-0.05,0.34,0.33,0.33,0.32
93,1893,-0.33258064516129027,-0.02,0.34,0.33,0.34,0.32
94,1894,-0.33258064516129027,0.0,0.35,0.33,0.34,0.32
95,1895,-0.1325806451612903,0.03,0.35,0.34,0.35,0.33
96,1896,0.10741935483870974,0.05,0.35,0.34,0.35,0.33
97,1897,0.4674193548387097,0.07,0.35,0.34,0.35,0.33
98,1898,0.18741935483870975,0.1,0.35,0.34,0.35,0.33
99,1899,0.23741935483870974,0.12,0.35,0.34,0.35,0.33
100,1900,0.5274193548387097,0.15,0.35,0.34,0.35,0.33
101,1901,-0.08258064516129027,0.16,0.35,0.33,0.34,0.33
102,1902,0.1374193548387097,0.16,0.35,0.33,0.34,0.33
103,1903,0.29741935483870974,0.14,0.35,0.33,0.34,0.33
104,1904,-0.06258064516129025,0.12,0.35,0.33,0.34,0.33
105,1905,0.23741935483870974,0.1,0.34,0.33,0.34,0.32
106,1906,0.03741935483870973,0.08,0.34,0.33,0.34,0.32
107,1907,0.12741935483870975,0.07,0.34,0.33,0.34,0.32
108,1908,0.12741935483870975,0.07,0.34,0.33,0.34,0.32
109,1909,-0.20258064516129026,0.07,0.34,0.33,0.34,0.32
110,1910,-0.44258064516129025,0.06,0.34,0.33,0.35,0.33
111,1911,0.2074193548387097,0.05,0.35,0.34,0.35,0.33
112,1912,0.24741935483870975,0.05,0.36,0.35,0.36,0.34
113,1913,-0.1225806451612903,0.05,0.37,0.36,0.37,0.35
114,1914,0.16741935483870973,0.06,0.38,0.37,0.38,0.36
115,1915,0.35741935483870974,0.07,0.38,0.38,0.39,0.37
116,1916,-0.05258064516129024,0.09,0.39,0.39,0.4,0.38
117,1917,-0.3425806451612903,0.12,0.4,0.4,0.41,0.38
118,1918,-0.09258064516129028,0.14,0.41,0.4,0.41,0.39
119,1919,0.3374193548387097,0.16,0.41,0.41,0.42,0.4
120,1920,0.22741935483870973,0.18,0.42,0.42,0.43,0.41
121,1921,0.18741935483870975,0.21,0.43,0.43,0.44,0.42
122,1922,0.2074193548387097,0.25,0.44,0.44,0.44,0.42
123,1923,0.31741935483870976,0.28,0.44,0.44,0.45,0.43
124,1924,0.4574193548387097,0.32,0.45,0.45,0.45,0.44
125,1925,0.2074193548387097,0.34,0.45,0.45,0.46,0.44
126,1926,0.5574193548387097,0.36,0.46,0.46,0.46,0.44
127,1927,0.43741935483870975,0.37,0.46,0.46,0.46,0.45
128,1928,0.3974193548387097,0.37,0.47,0.46,0.47,0.45
129,1929,0.30741935483870975,0.35,0.47,0.47,0.47,0.46
130,1930,0.47741935483870973,0.34,0.47,0.47,0.48,0.46
131,1931,0.5074193548387097,0.31,0.48,0.48,0.48,0.46
132,1932,0.41741935483870973,0.29,0.48,0.48,0.48,0.47
133,1933,0.09741935483870973,0.27,0.49,0.49,0.49,0.47
134,1934,0.057419354838709746,0.25,0.49,0.49,0.49,0.48
135,1935,-0.06258064516129025,0.25,0.5,0.49,0.5,0.48
136,1936,0.32741935483870976,0.25,0.5,0.5,0.5,0.49
137,1937,0.30741935483870975,0.25,0.51,0.5,0.5,0.49
138,1938,-0.05258064516129024,0.26,0.51,0.5,0.5,0.49
139,1939,0.02741935483870972,0.27,0.51,0.5,0.51,0.49
140,1940,0.4674193548387097,0.29,0.52,0.51,0.51,0.5
141,1941,0.6774193548387097,0.31,0.52,0.51,0.51,0.5
142,1942,0.7274193548387098,0.34,0.52,0.51,0.51,0.5
143,1943,0.23741935483870974,0.36,0.52,0.51,0.51,0.5
144,1944,0.24741935483870975,0.37,0.53,0.52,0.52,0.51
145,1945,0.11741935483870974,0.38,0.53,0.52,0.52,0.51
146,1946,0.5174193548387097,0.38,0.53,0.52,0.52,0.51
147,1947,0.5774193548387098,0.38,0.53,0.52,0.52,0.51
148,1948,0.5274193548387097,0.38,0.53,0.52,0.52,0.51
149,1949,0.18741935483870975,0.38,0.53,0.53,0.53,0.52
150,1950,-0.06258064516129025,0.38,0.54,0.53,0.53,0.52
151,1951,0.3874193548387097,0.39,0.54,0.53,0.53,0.52
152,1952,0.5674193548387098,0.4,0.54,0.54,0.53,0.52
153,1953,0.7174193548387098,0.41,0.55,0.54,0.54,0.53
154,1954,0.29741935483870974,0.43,0.55,0.54,0.54,0.53
155,1955,0.22741935483870973,0.46,0.55,0.54,0.54,0.53
156,1956,0.2074193548387097,0.48,0.55,0.54,0.53,0.53
157,1957,0.5274193548387097,0.5,0.55,0.54,0.53,0.53
158,1958,0.7874193548387097,0.51,0.54,0.53,0.52,0.52
159,1959,0.5874193548387098,0.52,0.53,0.53,0.52,0.51
160,1960,0.7474193548387097,0.53,0.53,0.52,0.51,0.51
161,1961,0.5674193548387098,0.54,0.52,0.51,0.5,0.5
162,1962,0.44741935483870976,0.55,0.52,0.51,0.5,0.5
163,1963,0.48741935483870974,0.55,0.51,0.5,0.49,0.49
164,1964,0.7374193548387098,0.55,0.51,0.5,0.49,0.49
165,1965,0.5074193548387097,0.54,0.5,0.5,0.49,0.49
166,1966,0.3774193548387097,0.53,0.5,0.5,0.49,0.48
167,1967,0.48741935483870974,0.53,0.5,0.5,0.49,0.48
168,1968,0.48741935483870974,0.53,0.5,0.5,0.49,0.48
169,1969,0.7874193548387097,0.53,0.5,0.5,0.49,0.48
170,1970,0.3374193548387097,0.54,0.5,0.5,0.49,0.49
171,1971,0.3674193548387097,0.55,0.51,0.51,0.5,0.49
172,1972,0.6874193548387098,0.56,0.52,0.52,0.51,0.5
173,1973,0.6774193548387097,0.57,0.53,0.53,0.53,0.51
174,1974,0.5274193548387097,0.58,0.54,0.54,0.54,0.53
175,1975,0.6474193548387097,0.59,0.55,0.55,0.55,0.54
176,1976,0.48741935483870974,0.6,0.57,0.56,0.56,0.55
177,1977,0.8074193548387097,0.62,0.58,0.57,0.58,0.56
178,1978,0.5874193548387098,0.63,0.59,0.59,0.59,0.57
179,1979,0.31741935483870976,0.64,0.6,0.6,0.6,0.58
180,1980,0.7474193548387097,0.64,0.61,0.61,0.61,0.59
181,1981,0.6574193548387097,0.65,0.62,0.62,0.62,0.61
182,1982,0.7774193548387097,0.67,0.64,0.63,0.64,0.62
183,1983,1.0574193548387099,0.69,0.65,0.64,0.65,0.63
184,1984,0.4574193548387097,0.72,0.66,0.66,0.66,0.65
185,1985,0.3474193548387097,0.75,0.68,0.67,0.68,0.66
186,1986,0.5174193548387097,0.78,0.69,0.68,0.69,0.67
187,1987,1.1774193548387097,0.8,0.7,0.7,0.7,0.69
188,1988,0.9774193548387098,0.83,0.72,0.72,0.72,0.7
189,1989,0.7174193548387098,0.86,0.74,0.73,0.73,0.72
190,1990,0.9274193548387097,0.89,0.76,0.75,0.75,0.74
191,1991,0.9974193548387098,0.93,0.78,0.77,0.77,0.76
192,1992,0.9874193548387098,0.97,0.8,0.79,0.79,0.78
193,1993,0.8674193548387097,0.99,0.82,0.82,0.82,0.8
194,1994,1.1374193548387097,1.0,0.85,0.84,0.84,0.83
195,1995,1.2574193548387096,1.01,0.87,0.86,0.86,0.85
196,1996,0.5174193548387097,1.02,0.89,0.89,0.88,0.88
197,1997,1.1374193548387097,1.03,0.92,0.91,0.91,0.9
198,1998,1.4274193548387097,1.05,0.94,0.93,0.93,0.92
199,1999,0.8374193548387097,1.06,0.96,0.95,0.95,0.94
200,2000,0.7274193548387098,1.07,0.98,0.98,0.98,0.97
201,2001,1.0074193548387096,1.07,1.01,1.0,1.0,0.99
202,2002,1.1974193548387098,1.07,1.03,1.03,1.03,1.02
203,2003,1.3074193548387099,1.07,1.06,1.05,1.05,1.04
204,2004,1.0874193548387097,1.06,1.08,1.08,1.08,1.07
205,2005,1.1574193548387097,1.06,1.1,1.1,1.1,1.09
206,2006,1.1574193548387097,1.06,1.13,1.12,1.13,1.11
207,2007,1.0074193548387096,1.06,1.15,1.15,1.15,1.14
208,2008,0.7974193548387097,1.07,1.17,1.17,1.17,1.16
209,2009,1.0474193548387096,1.09,1.19,1.19,1.19,1.18
210,2010,0.9774193548387098,1.11,1.21,1.21,1.21,1.21
211,2011,0.9474193548387098,1.14,1.23,1.23,1.24,1.23
212,2012,1.0174193548387098,1.17,1.25,1.25,1.26,1.25
213,2013,1.2474193548387098,1.23,1.28,1.28,1.28,1.28
214,2014,1.2774193548387096,1.29,1.3,1.3,1.3,1.3
215,2015,1.5374193548387098,1.35,1.33,1.33,1.33,1.33
216,2016,1.5374193548387098,1.41,1.35,1.35,1.34,1.35
217,2017,1.34741935483871,1.47,1.37,1.37,1.36,1.38
218,2018,1.4474193548387098,1.53,1.39,1.39,1.38,1.4
219,2019,1.61741935483871,1.59,1.41,1.41,1.4,1.42
220,2020,1.6774193548387095,1.65,1.43,1.44,1.42,1.45
221,2021,,,1.45,1.46,1.44,1.48
222,2022,,,1.47,1.49,1.46,1.51
223,2023,,,1.49,1.51,1.48,1.53
224,2024,,,1.51,1.54,1.5,1.56
225,2025,,,1.53,1.56,1.53,1.59
226,2026,,,1.56,1.58,1.55,1.62
227,2027,,,1.58,1.61,1.57,1.65
228,2028,,,1.6,1.63,1.6,1.68
229,2029,,,1.62,1.65,1.62,1.71
230,2030,,,1.64,1.68,1.65,1.74
231,2031,,,1.66,1.7,1.67,1.77
232,2032,,,1.68,1.72,1.7,1.8
233,2033,,,1.7,1.74,1.73,1.83
234,2034,,,1.72,1.75,1.76,1.86
235,2035,,,1.74,1.77,1.78,1.89
236,2036,,,1.75,1.79,1.81,1.92
237,2037,,,1.77,1.81,1.84,1.95
238,2038,,,1.78,1.83,1.87,1.98
239,2039,,,1.79,1.84,1.89,2.01
240,2040,,,1.8,1.86,1.92,2.05
241,2041,,,1.82,1.88,1.95,2.08
242,2042,,,1.83,1.9,1.98,2.12
243,2043,,,1.84,1.92,2.01,2.15
244,2044,,,1.84,1.94,2.04,2.19
245,2045,,,1.85,1.96,2.06,2.22
246,2046,,,1.86,1.97,2.09,2.26
247,2047,,,1.87,2.0,2.12,2.29
248,2048,,,1.87,2.01,2.15,2.33
249,2049,,,1.88,2.03,2.17,2.36
250,2050,,,1.89,2.06,2.2,2.4
251,2051,,,1.89,2.08,2.23,2.44
252,2052,,,1.9,2.1,2.26,2.47
253,2053,,,1.91,2.12,2.29,2.51
254,2054,,,1.91,2.14,2.32,2.55
255,2055,,,1.92,2.17,2.34,2.58
256,2056,,,1.92,2.19,2.37,2.62
257,2057,,,1.92,2.21,2.4,2.66
258,2058,,,1.92,2.23,2.42,2.69
259,2059,,,1.92,2.25,2.45,2.73
260,2060,,,1.93,2.27,2.48,2.76
261,2061,,,1.93,2.29,2.51,2.8
262,2062,,,1.93,2.3,2.54,2.84
263,2063,,,1.93,2.32,2.57,2.88
264,2064,,,1.93,2.33,2.6,2.92
265,2065,,,1.93,2.35,2.63,2.96
266,2066,,,1.93,2.36,2.66,3.0
267,2067,,,1.93,2.37,2.69,3.04
268,2068,,,1.93,2.38,2.72,3.08
269,2069,,,1.93,2.39,2.75,3.11
270,2070,,,1.93,2.4,2.78,3.15
271,2071,,,1.93,2.41,2.81,3.19
272,2072,,,1.93,2.42,2.84,3.23
273,2073,,,1.93,2.43,2.87,3.27
274,2074,,,1.93,2.45,2.9,3.31
275,2075,,,1.93,2.46,2.93,3.35
276,2076,,,1.93,2.46,2.96,3.39
277,2077,,,1.92,2.48,2.99,3.43
278,2078,,,1.92,2.49,3.02,3.47
279,2079,,,1.92,2.5,3.05,3.51
280,2080,,,1.92,2.52,3.08,3.55
281,2081,,,1.92,2.53,3.11,3.59
282,2082,,,1.91,2.54,3.14,3.63
283,2083,,,1.91,2.56,3.17,3.67
284,2084,,,1.91,2.57,3.2,3.7
285,2085,,,1.9,2.58,3.23,3.74
286,2086,,,1.9,2.6,3.26,3.78
287,2087,,,1.9,2.61,3.3,3.82
288,2088,,,1.89,2.62,3.33,3.86
289,2089,,,1.89,2.63,3.36,3.9
290,2090,,,1.89,2.64,3.39,3.94
291,2091,,,1.88,2.64,3.42,3.98
292,2092,,,1.88,2.65,3.45,4.02
293,2093,,,1.87,2.66,3.48,4.06
294,2094,,,1.87,2.67,3.51,4.1
295,2095,,,1.86,2.67,3.54,4.14
296,2096,,,1.86,2.68,3.57,4.18
297,2097,,,1.86,2.68,3.6,4.21
298,2098,,,1.85,2.69,3.63,4.25
299,2099,,,1.85,2.69,3.66,4.29
300,2100,,,1.84,2.7,3.69,4.33
