Ivory Coast,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
108,1908,-0.08777777777777773,-0.06,0.26,0.26,0.26,0.26
109,1909,-0.1777777777777777,-0.03,0.27,0.26,0.27,0.26
110,1910,0.25222222222222224,0.01,0.27,0.27,0.27,0.27
111,1911,-0.6277777777777778,0.03,0.28,0.28,0.28,0.28
112,1912,0.22222222222222227,0.06,0.29,0.28,0.29,0.29
113,1913,0.16222222222222227,0.08,0.29,0.29,0.3,0.29
114,1914,0.25222222222222224,0.1,0.3,0.3,0.3,0.3
115,1915,0.21222222222222226,0.13,0.31,0.3,0.31,0.31
116,1916,-0.037777777777777743,0.16,0.31,0.31,0.31,0.31
117,1917,0.08222222222222225,0.18,0.32,0.31,0.32,0.32
118,1918,-0.07777777777777772,0.2,0.32,0.32,0.32,0.32
119,1919,0.18222222222222226,0.22,0.32,0.32,0.32,0.32
120,1920,0.39222222222222225,0.24,0.33,0.32,0.32,0.33
121,1921,0.39222222222222225,0.27,0.33,0.33,0.33,0.33
122,1922,0.38222222222222224,0.29,0.34,0.33,0.34,0.34
123,1923,0.18222222222222226,0.31,0.34,0.34,0.34,0.34
124,1924,0.4322222222222223,0.32,0.35,0.34,0.35,0.35
125,1925,0.35222222222222227,0.32,0.35,0.35,0.35,0.35
126,1926,0.7222222222222223,0.32,0.36,0.35,0.36,0.36
127,1927,0.35222222222222227,0.31,0.36,0.35,0.36,0.36
128,1928,0.062222222222222234,0.29,0.36,0.36,0.36,0.36
129,1929,0.18222222222222226,0.28,0.37,0.36,0.37,0.37
130,1930,0.3622222222222223,0.27,0.38,0.37,0.37,0.38
131,1931,0.3122222222222223,0.26,0.38,0.38,0.38,0.38
132,1932,-0.1677777777777777,0.25,0.39,0.38,0.39,0.39
133,1933,0.26222222222222225,0.26,0.4,0.39,0.4,0.4
134,1934,0.35222222222222227,0.27,0.41,0.4,0.41,0.41
135,1935,0.21222222222222226,0.29,0.41,0.41,0.41,0.42
136,1936,0.07222222222222224,0.31,0.42,0.42,0.42,0.42
137,1937,0.45222222222222225,0.33,0.43,0.42,0.43,0.43
138,1938,0.4222222222222223,0.35,0.43,0.43,0.44,0.44
139,1939,0.20222222222222225,0.37,0.44,0.44,0.44,0.44
140,1940,0.8922222222222222,0.38,0.45,0.44,0.45,0.45
141,1941,0.8922222222222222,0.39,0.45,0.45,0.46,0.46
142,1942,0.3022222222222223,0.39,0.46,0.46,0.46,0.46
143,1943,0.15222222222222226,0.4,0.46,0.46,0.47,0.47
144,1944,0.6922222222222223,0.39,0.47,0.47,0.48,0.47
145,1945,0.34222222222222226,0.38,0.48,0.48,0.49,0.48
146,1946,0.21222222222222226,0.37,0.48,0.48,0.49,0.49
147,1947,0.5522222222222223,0.35,0.49,0.49,0.5,0.49
148,1948,0.19222222222222227,0.34,0.49,0.5,0.5,0.5
149,1949,0.41222222222222227,0.32,0.5,0.5,0.51,0.5
150,1950,0.20222222222222225,0.31,0.5,0.51,0.51,0.51
151,1951,0.38222222222222224,0.29,0.51,0.51,0.52,0.52
152,1952,0.33222222222222225,0.29,0.51,0.52,0.53,0.52
153,1953,0.34222222222222226,0.29,0.52,0.53,0.53,0.53
154,1954,0.12222222222222223,0.29,0.53,0.54,0.54,0.54
155,1955,0.14222222222222225,0.3,0.54,0.54,0.55,0.55
156,1956,0.08222222222222225,0.31,0.55,0.55,0.55,0.55
157,1957,0.35222222222222227,0.32,0.55,0.55,0.55,0.56
158,1958,0.44222222222222224,0.32,0.55,0.55,0.55,0.55
159,1959,0.4922222222222222,0.33,0.55,0.55,0.55,0.55
160,1960,0.45222222222222225,0.34,0.54,0.54,0.54,0.55
161,1961,0.33222222222222225,0.35,0.54,0.54,0.54,0.54
162,1962,0.28222222222222226,0.36,0.54,0.54,0.54,0.54
163,1963,0.6022222222222222,0.36,0.54,0.54,0.54,0.54
164,1964,0.15222222222222226,0.37,0.54,0.54,0.54,0.54
165,1965,0.17222222222222225,0.38,0.54,0.54,0.54,0.55
166,1966,0.5122222222222222,0.38,0.55,0.54,0.55,0.55
167,1967,0.12222222222222223,0.39,0.55,0.55,0.55,0.55
168,1968,0.3622222222222223,0.4,0.55,0.55,0.55,0.55
169,1969,0.7022222222222223,0.41,0.55,0.55,0.55,0.55
170,1970,0.6322222222222222,0.41,0.55,0.55,0.55,0.55
171,1971,0.20222222222222225,0.43,0.55,0.55,0.56,0.55
172,1972,0.4922222222222222,0.44,0.57,0.56,0.57,0.56
173,1973,0.9222222222222223,0.47,0.58,0.58,0.58,0.58
174,1974,0.29222222222222227,0.49,0.59,0.59,0.6,0.59
175,1975,0.21222222222222226,0.51,0.61,0.61,0.61,0.61
176,1976,0.07222222222222224,0.54,0.62,0.62,0.63,0.62
177,1977,0.6922222222222223,0.56,0.63,0.63,0.64,0.63
178,1978,0.5322222222222223,0.58,0.64,0.64,0.65,0.64
179,1979,0.8222222222222222,0.61,0.65,0.65,0.66,0.66
180,1980,0.8222222222222222,0.64,0.66,0.67,0.68,0.67
181,1981,0.7022222222222223,0.67,0.68,0.68,0.69,0.68
182,1982,0.4822222222222223,0.7,0.69,0.7,0.71,0.7
183,1983,1.0922222222222222,0.73,0.71,0.71,0.73,0.72
184,1984,0.7722222222222223,0.74,0.72,0.73,0.75,0.73
185,1985,0.5322222222222223,0.76,0.74,0.75,0.76,0.75
186,1986,0.5522222222222223,0.76,0.75,0.76,0.78,0.76
187,1987,1.4422222222222223,0.77,0.77,0.77,0.79,0.78
188,1988,0.9122222222222223,0.78,0.78,0.78,0.8,0.79
189,1989,0.7322222222222223,0.8,0.79,0.8,0.81,0.8
190,1990,0.9422222222222223,0.82,0.81,0.81,0.83,0.82
191,1991,0.8222222222222222,0.85,0.83,0.83,0.84,0.83
192,1992,0.6722222222222223,0.88,0.85,0.85,0.86,0.85
193,1993,0.8422222222222222,0.9,0.87,0.88,0.89,0.88
194,1994,0.8522222222222222,0.92,0.9,0.9,0.91,0.9
195,1995,1.0722222222222224,0.94,0.92,0.92,0.93,0.92
196,1996,1.0522222222222224,0.96,0.94,0.95,0.95,0.94
197,1997,0.9822222222222222,1.0,0.96,0.97,0.98,0.96
198,1998,1.6622222222222223,1.04,0.98,0.99,1.0,0.98
199,1999,0.9122222222222223,1.08,1.0,1.01,1.02,1.01
200,2000,0.7622222222222222,1.13,1.03,1.04,1.05,1.03
201,2001,1.1222222222222222,1.16,1.06,1.07,1.08,1.06
202,2002,1.1522222222222223,1.19,1.08,1.09,1.1,1.09
203,2003,1.4022222222222223,1.23,1.11,1.12,1.13,1.11
204,2004,1.3022222222222224,1.26,1.14,1.15,1.16,1.14
205,2005,1.5422222222222222,1.29,1.17,1.18,1.19,1.17
206,2006,1.3622222222222222,1.31,1.19,1.21,1.22,1.2
207,2007,1.4022222222222223,1.32,1.22,1.23,1.24,1.23
208,2008,1.2222222222222223,1.32,1.24,1.26,1.27,1.25
209,2009,1.3522222222222222,1.32,1.26,1.28,1.29,1.27
210,2010,1.5522222222222222,1.32,1.29,1.3,1.31,1.3
211,2011,1.2422222222222223,1.33,1.31,1.33,1.33,1.32
212,2012,1.0222222222222221,1.34,1.34,1.35,1.35,1.35
213,2013,1.2022222222222223,1.36,1.37,1.37,1.38,1.37
214,2014,1.1622222222222223,1.37,1.4,1.4,1.4,1.4
215,2015,1.4122222222222223,1.39,1.44,1.43,1.42,1.43
216,2016,1.7322222222222223,1.4,1.47,1.45,1.45,1.46
217,2017,1.6022222222222222,1.42,1.5,1.48,1.47,1.49
218,2018,1.3622222222222222,1.44,1.53,1.51,1.49,1.52
219,2019,1.4822222222222223,1.46,1.56,1.53,1.51,1.54
220,2020,1.4122222222222223,1.48,1.59,1.56,1.54,1.57
221,2021,,,1.62,1.59,1.56,1.6
222,2022,,,1.65,1.61,1.59,1.63
223,2023,,,1.67,1.64,1.61,1.66
224,2024,,,1.7,1.67,1.64,1.69
225,2025,,,1.73,1.7,1.67,1.73
226,2026,,,1.76,1.73,1.7,1.76
227,2027,,,1.79,1.75,1.73,1.79
228,2028,,,1.81,1.78,1.76,1.83
229,2029,,,1.84,1.81,1.79,1.87
230,2030,,,1.86,1.84,1.82,1.9
231,2031,,,1.88,1.86,1.85,1.94
232,2032,,,1.9,1.89,1.88,1.98
233,2033,,,1.92,1.91,1.91,2.01
234,2034,,,1.94,1.93,1.94,2.05
235,2035,,,1.96,1.96,1.97,2.09
236,2036,,,1.97,1.98,2.0,2.12
237,2037,,,1.99,2.0,2.03,2.16
238,2038,,,2.01,2.03,2.06,2.2
239,2039,,,2.02,2.05,2.09,2.24
240,2040,,,2.03,2.08,2.12,2.28
241,2041,,,2.05,2.1,2.16,2.33
242,2042,,,2.06,2.13,2.19,2.37
243,2043,,,2.07,2.16,2.22,2.41
244,2044,,,2.08,2.18,2.26,2.45
245,2045,,,2.09,2.21,2.29,2.5
246,2046,,,2.1,2.23,2.33,2.54
247,2047,,,2.11,2.26,2.36,2.58
248,2048,,,2.12,2.29,2.4,2.63
249,2049,,,2.13,2.32,2.43,2.67
250,2050,,,2.13,2.35,2.47,2.72
251,2051,,,2.14,2.38,2.5,2.76
252,2052,,,2.15,2.41,2.54,2.81
253,2053,,,2.15,2.44,2.58,2.87
254,2054,,,2.16,2.46,2.61,2.92
255,2055,,,2.17,2.49,2.65,2.96
256,2056,,,2.17,2.51,2.69,3.01
257,2057,,,2.17,2.54,2.72,3.07
258,2058,,,2.18,2.56,2.76,3.12
259,2059,,,2.18,2.58,2.8,3.17
260,2060,,,2.19,2.61,2.84,3.21
261,2061,,,2.19,2.63,2.87,3.27
262,2062,,,2.19,2.65,2.91,3.32
263,2063,,,2.19,2.67,2.95,3.38
264,2064,,,2.2,2.69,2.99,3.43
265,2065,,,2.2,2.71,3.03,3.48
266,2066,,,2.2,2.73,3.07,3.54
267,2067,,,2.2,2.75,3.11,3.59
268,2068,,,2.2,2.77,3.15,3.64
269,2069,,,2.2,2.79,3.19,3.69
270,2070,,,2.2,2.81,3.22,3.74
271,2071,,,2.2,2.83,3.26,3.8
272,2072,,,2.2,2.85,3.31,3.85
273,2073,,,2.19,2.87,3.35,3.9
274,2074,,,2.19,2.89,3.39,3.96
275,2075,,,2.19,2.91,3.43,4.01
276,2076,,,2.19,2.92,3.47,4.07
277,2077,,,2.19,2.94,3.51,4.12
278,2078,,,2.19,2.96,3.55,4.17
279,2079,,,2.19,2.97,3.59,4.23
280,2080,,,2.19,2.99,3.64,4.29
281,2081,,,2.19,3.0,3.68,4.34
282,2082,,,2.18,3.02,3.71,4.39
283,2083,,,2.18,3.03,3.75,4.45
284,2084,,,2.17,3.05,3.79,4.51
285,2085,,,2.17,3.06,3.83,4.56
286,2086,,,2.16,3.07,3.87,4.61
287,2087,,,2.16,3.09,3.91,4.67
288,2088,,,2.15,3.1,3.95,4.72
289,2089,,,2.14,3.11,4.0,4.78
290,2090,,,2.13,3.12,4.04,4.84
291,2091,,,2.13,3.14,4.08,4.89
292,2092,,,2.12,3.15,4.13,4.95
293,2093,,,2.11,3.16,4.17,5.0
294,2094,,,2.1,3.18,4.22,5.05
295,2095,,,2.09,3.19,4.26,5.1
296,2096,,,2.09,3.2,4.3,5.15
297,2097,,,2.08,3.21,4.35,5.21
298,2098,,,2.07,3.22,4.39,5.26
299,2099,,,2.06,3.23,4.43,5.3
300,2100,,,2.05,3.25,4.48,5.36
