Bosnia and Herzegovina,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
127,1927,1.199032258064516,0.37,0.52,0.54,0.6,0.51
128,1928,0.7390322580645161,0.38,0.52,0.54,0.6,0.51
129,1929,-0.5509677419354839,0.4,0.52,0.53,0.59,0.51
130,1930,0.9490322580645161,0.41,0.51,0.53,0.59,0.51
131,1931,0.06903225806451607,0.42,0.51,0.53,0.58,0.5
132,1932,-0.07096774193548394,0.41,0.51,0.53,0.58,0.5
133,1933,-0.7309677419354841,0.4,0.51,0.53,0.57,0.5
134,1934,1.109032258064516,0.36,0.5,0.53,0.57,0.5
135,1935,0.27903225806451604,0.33,0.5,0.53,0.57,0.5
136,1936,0.8190322580645161,0.32,0.51,0.53,0.57,0.5
137,1937,0.849032258064516,0.32,0.51,0.53,0.58,0.5
138,1938,-0.03096774193548396,0.33,0.52,0.54,0.58,0.51
139,1939,0.49903225806451607,0.36,0.53,0.55,0.59,0.52
140,1940,-1.300967741935484,0.4,0.54,0.56,0.6,0.53
141,1941,-0.630967741935484,0.42,0.54,0.56,0.61,0.53
142,1942,-0.16096774193548397,0.45,0.55,0.57,0.61,0.54
143,1943,1.0090322580645161,0.47,0.55,0.57,0.62,0.54
144,1944,0.029032258064516037,0.51,0.56,0.57,0.62,0.54
145,1945,0.619032258064516,0.56,0.56,0.57,0.61,0.54
146,1946,1.169032258064516,0.62,0.55,0.56,0.61,0.54
147,1947,0.9690322580645161,0.67,0.55,0.56,0.61,0.53
148,1948,0.5590322580645161,0.7,0.54,0.55,0.6,0.53
149,1949,0.42903225806451606,0.7,0.54,0.54,0.59,0.52
150,1950,1.569032258064516,0.69,0.53,0.53,0.59,0.52
151,1951,1.559032258064516,0.68,0.52,0.53,0.58,0.51
152,1952,1.0090322580645161,0.66,0.52,0.52,0.57,0.51
153,1953,0.43903225806451607,0.65,0.51,0.51,0.56,0.5
154,1954,-0.300967741935484,0.63,0.5,0.5,0.56,0.49
155,1955,0.33903225806451603,0.6,0.49,0.49,0.55,0.48
156,1956,-0.7009677419354841,0.57,0.48,0.48,0.54,0.47
157,1957,0.619032258064516,0.52,0.47,0.47,0.53,0.46
158,1958,0.899032258064516,0.47,0.45,0.46,0.51,0.45
159,1959,0.37903225806451607,0.43,0.43,0.44,0.5,0.43
160,1960,0.889032258064516,0.41,0.42,0.43,0.49,0.42
161,1961,1.0390322580645162,0.41,0.4,0.42,0.48,0.4
162,1962,-0.03096774193548396,0.41,0.39,0.41,0.47,0.39
163,1963,0.16903225806451605,0.4,0.38,0.4,0.46,0.38
164,1964,-0.010967741935483943,0.38,0.36,0.39,0.45,0.37
165,1965,-0.07096774193548394,0.35,0.35,0.38,0.44,0.36
166,1966,0.789032258064516,0.32,0.34,0.36,0.42,0.35
167,1967,0.4490322580645161,0.3,0.32,0.35,0.41,0.33
168,1968,0.46903225806451604,0.3,0.31,0.34,0.39,0.32
169,1969,0.019032258064516028,0.3,0.3,0.32,0.38,0.31
170,1970,0.23903225806451606,0.31,0.29,0.32,0.37,0.3
171,1971,0.23903225806451606,0.32,0.29,0.31,0.37,0.3
172,1972,0.48903225806451606,0.32,0.29,0.31,0.37,0.3
173,1973,0.08903225806451603,0.31,0.29,0.32,0.38,0.3
174,1974,0.48903225806451606,0.3,0.3,0.32,0.39,0.31
175,1975,0.669032258064516,0.31,0.31,0.33,0.39,0.32
176,1976,-0.28096774193548396,0.31,0.32,0.34,0.4,0.33
177,1977,0.899032258064516,0.32,0.33,0.35,0.41,0.34
178,1978,-0.29096774193548397,0.33,0.34,0.36,0.42,0.35
179,1979,0.7190322580645161,0.34,0.36,0.37,0.44,0.36
180,1980,-0.40096774193548396,0.34,0.38,0.39,0.46,0.38
