Russia,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
129,1929,-0.5516129032258064,0.39,0.28,0.3,0.3,0.25
130,1930,0.3083870967741936,0.41,0.29,0.3,0.3,0.26
131,1931,0.05838709677419357,0.43,0.29,0.3,0.31,0.26
132,1932,1.0783870967741935,0.46,0.29,0.3,0.31,0.26
133,1933,-0.44161290322580643,0.49,0.29,0.3,0.31,0.26
134,1934,1.1383870967741936,0.52,0.28,0.3,0.3,0.25
135,1935,0.5583870967741936,0.55,0.28,0.3,0.3,0.25
136,1936,0.7383870967741937,0.59,0.28,0.3,0.3,0.25
137,1937,0.6383870967741936,0.63,0.29,0.3,0.31,0.26
138,1938,1.2183870967741937,0.65,0.29,0.3,0.31,0.26
139,1939,1.0483870967741935,0.65,0.3,0.31,0.32,0.27
140,1940,0.16838709677419358,0.65,0.31,0.32,0.33,0.27
141,1941,-0.7016129032258065,0.65,0.31,0.32,0.33,0.28
142,1942,0.16838709677419358,0.64,0.32,0.33,0.34,0.29
143,1943,1.6683870967741936,0.63,0.33,0.34,0.35,0.3
144,1944,1.3483870967741935,0.61,0.33,0.35,0.36,0.31
145,1945,0.3783870967741936,0.59,0.34,0.35,0.36,0.31
146,1946,-0.08161290322580639,0.58,0.35,0.36,0.37,0.32
147,1947,0.4083870967741936,0.57,0.35,0.36,0.37,0.32
148,1948,1.4083870967741936,0.56,0.35,0.37,0.38,0.33
149,1949,0.8583870967741936,0.54,0.36,0.37,0.38,0.33
150,1950,0.1883870967741936,0.5,0.36,0.38,0.38,0.34
151,1951,0.7283870967741937,0.47,0.36,0.38,0.38,0.34
152,1952,-0.37161290322580637,0.43,0.36,0.38,0.38,0.34
153,1953,1.0083870967741937,0.4,0.36,0.38,0.38,0.34
154,1954,0.4783870967741936,0.39,0.36,0.38,0.38,0.34
155,1955,0.1483870967741936,0.38,0.36,0.38,0.37,0.34
156,1956,-0.0316129032258064,0.38,0.36,0.38,0.37,0.34
157,1957,0.4183870967741936,0.37,0.35,0.37,0.36,0.34
158,1958,-0.37161290322580637,0.36,0.34,0.36,0.36,0.33
159,1959,0.9383870967741936,0.35,0.33,0.36,0.35,0.32
160,1960,-0.1516129032258064,0.33,0.33,0.35,0.34,0.32
161,1961,0.8283870967741935,0.32,0.32,0.34,0.34,0.31
162,1962,1.3583870967741936,0.3,0.31,0.34,0.33,0.31
163,1963,0.7483870967741936,0.3,0.31,0.33,0.33,0.3
164,1964,-0.0316129032258064,0.3,0.3,0.33,0.32,0.3
165,1965,-0.1516129032258064,0.3,0.3,0.32,0.32,0.29
166,1966,-0.5616129032258064,0.29,0.29,0.32,0.32,0.29
167,1967,1.3783870967741936,0.29,0.29,0.31,0.31,0.28
168,1968,0.1483870967741936,0.28,0.28,0.3,0.31,0.28
169,1969,-1.0216129032258066,0.27,0.28,0.3,0.31,0.27
170,1970,0.2283870967741936,0.27,0.28,0.3,0.31,0.27
171,1971,0.7583870967741936,0.27,0.28,0.3,0.31,0.28
172,1972,0.048387096774193616,0.28,0.29,0.31,0.32,0.28
173,1973,0.8983870967741936,0.31,0.3,0.32,0.34,0.29
174,1974,0.07838709677419359,0.33,0.32,0.33,0.36,0.31
175,1975,1.5983870967741935,0.37,0.34,0.35,0.38,0.33
176,1976,-0.19161290322580643,0.4,0.36,0.37,0.4,0.35
177,1977,0.2283870967741936,0.44,0.38,0.4,0.43,0.37
178,1978,0.49838709677419357,0.47,0.41,0.42,0.46,0.4
179,1979,-0.1616129032258064,0.5,0.44,0.46,0.5,0.43
180,1980,0.3483870967741936,0.53,0.48,0.49,0.54,0.47
181,1981,1.5783870967741935,0.57,0.52,0.54,0.59,0.51
182,1982,0.6383870967741936,0.64,0.56,0.58,0.63,0.55
183,1983,1.7783870967741935,0.72,0.61,0.63,0.68,0.6
184,1984,0.4183870967741936,0.82,0.66,0.68,0.73,0.65
185,1985,0.2183870967741936,0.9,0.7,0.73,0.78,0.69
186,1986,0.8583870967741936,0.96,0.75,0.78,0.82,0.74
187,1987,-0.5416129032258064,1.02,0.8,0.82,0.87,0.79
188,1988,1.4083870967741936,1.06,0.84,0.87,0.91,0.83
189,1989,1.6783870967741936,1.09,0.89,0.91,0.96,0.88
190,1990,1.6683870967741936,1.12,0.93,0.96,1.0,0.92
191,1991,1.5083870967741935,1.15,0.98,1.01,1.05,0.97
192,1992,0.8283870967741935,1.17,1.03,1.06,1.1,1.02
193,1993,1.1083870967741936,1.18,1.08,1.11,1.15,1.07
194,1994,0.8383870967741935,1.18,1.14,1.17,1.21,1.13
195,1995,2.5883870967741935,1.18,1.19,1.22,1.26,1.18
196,1996,0.9383870967741936,1.18,1.24,1.27,1.31,1.23
197,1997,1.4183870967741936,1.19,1.29,1.32,1.36,1.28
198,1998,0.4283870967741936,1.21,1.34,1.37,1.41,1.33
199,1999,0.8783870967741936,1.25,1.39,1.42,1.46,1.39
200,2000,1.1883870967741936,1.3,1.45,1.48,1.51,1.44
201,2001,1.2383870967741937,1.37,1.51,1.54,1.57,1.5
202,2002,1.6183870967741936,1.43,1.57,1.6,1.62,1.56
203,2003,1.9183870967741936,1.49,1.62,1.66,1.68,1.62
204,2004,1.2183870967741937,1.55,1.68,1.71,1.73,1.68
205,2005,2.2183870967741934,1.62,1.74,1.77,1.78,1.73
206,2006,0.9683870967741937,1.68,1.79,1.82,1.83,1.79
207,2007,2.7583870967741935,1.74,1.85,1.88,1.88,1.84
208,2008,2.4283870967741934,1.8,1.9,1.93,1.93,1.9
209,2009,1.1283870967741936,1.86,1.96,1.98,1.98,1.96
210,2010,1.1983870967741936,1.92,2.01,2.04,2.02,2.01
211,2011,2.3483870967741933,1.98,2.07,2.09,2.07,2.07
212,2012,1.7883870967741935,2.06,2.13,2.14,2.13,2.12
213,2013,1.9783870967741934,2.15,2.19,2.19,2.18,2.18
214,2014,1.8183870967741935,2.24,2.25,2.25,2.24,2.25
215,2015,2.6683870967741936,2.34,2.32,2.3,2.3,2.31
216,2016,2.4483870967741934,2.44,2.38,2.35,2.35,2.37
217,2017,2.6883870967741936,2.54,2.43,2.4,2.4,2.43
218,2018,2.0983870967741938,2.65,2.49,2.45,2.46,2.49
219,2019,2.6383870967741934,2.75,2.54,2.5,2.52,2.56
220,2020,3.9383870967741936,2.86,2.6,2.55,2.57,2.62
221,2021,,,2.65,2.6,2.63,2.68
222,2022,,,2.69,2.65,2.68,2.74
223,2023,,,2.73,2.69,2.74,2.81
224,2024,,,2.77,2.74,2.79,2.86
225,2025,,,2.81,2.79,2.84,2.93
226,2026,,,2.84,2.83,2.89,3.0
227,2027,,,2.87,2.88,2.94,3.07
228,2028,,,2.9,2.93,3.0,3.14
229,2029,,,2.93,2.98,3.05,3.21
230,2030,,,2.96,3.04,3.1,3.27
231,2031,,,2.99,3.09,3.16,3.34
232,2032,,,3.02,3.14,3.21,3.41
233,2033,,,3.06,3.19,3.26,3.48
234,2034,,,3.09,3.24,3.31,3.55
235,2035,,,3.12,3.29,3.36,3.62
236,2036,,,3.15,3.33,3.41,3.69
237,2037,,,3.18,3.38,3.46,3.76
238,2038,,,3.21,3.43,3.5,3.83
239,2039,,,3.24,3.49,3.55,3.9
240,2040,,,3.27,3.53,3.6,3.97
241,2041,,,3.3,3.59,3.66,4.04
242,2042,,,3.33,3.64,3.72,4.1
243,2043,,,3.35,3.69,3.77,4.17
244,2044,,,3.37,3.73,3.83,4.23
245,2045,,,3.39,3.77,3.89,4.3
246,2046,,,3.41,3.81,3.96,4.37
247,2047,,,3.43,3.85,4.02,4.45
248,2048,,,3.44,3.89,4.08,4.52
249,2049,,,3.45,3.92,4.14,4.6
250,2050,,,3.47,3.96,4.21,4.68
251,2051,,,3.48,4.01,4.27,4.76
252,2052,,,3.49,4.04,4.34,4.85
253,2053,,,3.5,4.07,4.41,4.93
254,2054,,,3.52,4.11,4.47,5.02
255,2055,,,3.53,4.14,4.53,5.09
256,2056,,,3.54,4.18,4.59,5.18
257,2057,,,3.55,4.21,4.65,5.27
258,2058,,,3.55,4.25,4.71,5.35
259,2059,,,3.56,4.28,4.78,5.44
260,2060,,,3.57,4.31,4.84,5.51
261,2061,,,3.58,4.35,4.9,5.6
262,2062,,,3.59,4.38,4.97,5.69
263,2063,,,3.6,4.41,5.04,5.78
264,2064,,,3.6,4.44,5.11,5.86
265,2065,,,3.61,4.47,5.18,5.94
266,2066,,,3.62,4.5,5.25,6.03
267,2067,,,3.62,4.53,5.32,6.12
268,2068,,,3.62,4.55,5.39,6.2
269,2069,,,3.63,4.58,5.45,6.29
270,2070,,,3.63,4.61,5.52,6.38
271,2071,,,3.63,4.63,5.58,6.47
272,2072,,,3.63,4.67,5.65,6.55
273,2073,,,3.63,4.69,5.72,6.64
274,2074,,,3.63,4.72,5.78,6.73
275,2075,,,3.62,4.75,5.84,6.82
276,2076,,,3.62,4.77,5.91,6.91
277,2077,,,3.61,4.81,5.98,7.0
278,2078,,,3.6,4.84,6.04,7.09
279,2079,,,3.59,4.87,6.1,7.19
280,2080,,,3.58,4.9,6.17,7.28
281,2081,,,3.58,4.93,6.23,7.38
282,2082,,,3.57,4.96,6.3,7.47
283,2083,,,3.56,4.99,6.36,7.57
284,2084,,,3.56,5.02,6.43,7.67
285,2085,,,3.55,5.05,6.5,7.77
286,2086,,,3.55,5.07,6.57,7.86
287,2087,,,3.54,5.1,6.64,7.96
288,2088,,,3.53,5.12,6.72,8.06
289,2089,,,3.53,5.15,6.79,8.15
290,2090,,,3.53,5.17,6.86,8.25
291,2091,,,3.52,5.2,6.93,8.34
292,2092,,,3.51,5.21,7.0,8.43
293,2093,,,3.51,5.24,7.06,8.52
294,2094,,,3.5,5.26,7.13,8.61
295,2095,,,3.49,5.28,7.19,8.71
296,2096,,,3.49,5.3,7.26,8.79
297,2097,,,3.48,5.32,7.33,8.88
298,2098,,,3.47,5.33,7.39,8.96
299,2099,,,3.47,5.35,7.46,9.05
300,2100,,,3.46,5.37,7.53,9.15
