Samoa,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
211,2011,1.032857142857143,1.24,1.32,1.32,1.32,1.31
212,2012,1.1028571428571428,1.27,1.34,1.33,1.34,1.33
213,2013,1.4228571428571428,1.31,1.36,1.35,1.36,1.35
214,2014,1.282857142857143,1.36,1.38,1.37,1.38,1.38
215,2015,1.262857142857143,1.4,1.4,1.39,1.4,1.4
216,2016,1.9528571428571428,1.44,1.42,1.41,1.41,1.42
217,2017,1.612857142857143,1.49,1.43,1.43,1.43,1.44
218,2018,1.4428571428571428,1.54,1.45,1.45,1.45,1.47
219,2019,1.6628571428571428,1.58,1.46,1.47,1.46,1.49
220,2020,1.6028571428571428,1.63,1.48,1.48,1.48,1.51
221,2021,,,1.5,1.5,1.5,1.53
222,2022,,,1.51,1.52,1.52,1.56
223,2023,,,1.53,1.54,1.54,1.58
224,2024,,,1.55,1.56,1.56,1.6
225,2025,,,1.57,1.58,1.58,1.62
226,2026,,,1.58,1.6,1.6,1.65
227,2027,,,1.6,1.62,1.62,1.67
228,2028,,,1.62,1.64,1.64,1.7
229,2029,,,1.63,1.66,1.66,1.72
230,2030,,,1.65,1.68,1.69,1.74
231,2031,,,1.67,1.7,1.71,1.77
232,2032,,,1.68,1.71,1.73,1.79
233,2033,,,1.7,1.73,1.76,1.81
234,2034,,,1.71,1.75,1.78,1.84
235,2035,,,1.73,1.77,1.8,1.86
236,2036,,,1.74,1.79,1.83,1.89
237,2037,,,1.75,1.8,1.86,1.92
238,2038,,,1.76,1.82,1.88,1.94
239,2039,,,1.77,1.84,1.9,1.97
240,2040,,,1.78,1.86,1.93,2.0
241,2041,,,1.79,1.88,1.95,2.03
242,2042,,,1.8,1.9,1.98,2.06
243,2043,,,1.81,1.92,2.0,2.09
244,2044,,,1.82,1.93,2.03,2.12
245,2045,,,1.82,1.95,2.05,2.15
246,2046,,,1.83,1.97,2.08,2.18
247,2047,,,1.83,1.98,2.1,2.21
248,2048,,,1.83,2.0,2.12,2.24
249,2049,,,1.84,2.02,2.14,2.27
250,2050,,,1.84,2.03,2.17,2.3
251,2051,,,1.85,2.05,2.19,2.34
252,2052,,,1.85,2.07,2.22,2.37
253,2053,,,1.86,2.09,2.24,2.41
254,2054,,,1.86,2.11,2.26,2.44
255,2055,,,1.86,2.12,2.29,2.47
256,2056,,,1.86,2.14,2.31,2.51
257,2057,,,1.87,2.15,2.34,2.55
258,2058,,,1.87,2.17,2.36,2.58
259,2059,,,1.87,2.18,2.39,2.61
260,2060,,,1.87,2.19,2.41,2.64
261,2061,,,1.88,2.21,2.44,2.68
262,2062,,,1.88,2.22,2.46,2.71
263,2063,,,1.88,2.24,2.49,2.75
264,2064,,,1.89,2.25,2.52,2.78
265,2065,,,1.89,2.26,2.54,2.81
266,2066,,,1.89,2.27,2.57,2.84
267,2067,,,1.89,2.29,2.59,2.88
268,2068,,,1.89,2.3,2.62,2.91
269,2069,,,1.89,2.31,2.65,2.94
270,2070,,,1.89,2.32,2.67,2.97
271,2071,,,1.89,2.33,2.7,3.01
272,2072,,,1.89,2.35,2.72,3.04
273,2073,,,1.89,2.36,2.75,3.07
274,2074,,,1.89,2.37,2.78,3.11
275,2075,,,1.89,2.38,2.81,3.14
276,2076,,,1.88,2.39,2.84,3.18
277,2077,,,1.88,2.4,2.86,3.21
278,2078,,,1.88,2.41,2.89,3.25
279,2079,,,1.87,2.42,2.92,3.29
280,2080,,,1.87,2.43,2.95,3.33
281,2081,,,1.87,2.44,2.97,3.36
282,2082,,,1.86,2.44,3.0,3.4
283,2083,,,1.86,2.45,3.03,3.44
284,2084,,,1.86,2.46,3.05,3.48
285,2085,,,1.86,2.47,3.08,3.52
286,2086,,,1.85,2.48,3.11,3.56
287,2087,,,1.85,2.49,3.14,3.59
288,2088,,,1.85,2.5,3.17,3.63
289,2089,,,1.84,2.51,3.2,3.67
290,2090,,,1.84,2.52,3.23,3.7
291,2091,,,1.83,2.53,3.26,3.74
292,2092,,,1.83,2.53,3.29,3.77
293,2093,,,1.82,2.54,3.32,3.81
294,2094,,,1.81,2.55,3.34,3.84
295,2095,,,1.81,2.56,3.37,3.87
296,2096,,,1.8,2.56,3.4,3.91
297,2097,,,1.8,2.57,3.42,3.94
298,2098,,,1.79,2.57,3.45,3.97
299,2099,,,1.79,2.58,3.48,4.0
300,2100,,,1.78,2.59,3.51,4.04
