The Gambia,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
217,2017,1.9225,1.63,1.61,1.61,1.61,1.62
218,2018,1.1624999999999999,1.67,1.64,1.63,1.63,1.64
219,2019,1.4725,1.71,1.66,1.66,1.66,1.67
220,2020,2.2125,1.76,1.69,1.69,1.68,1.7
221,2021,,,1.71,1.71,1.7,1.73
222,2022,,,1.74,1.74,1.73,1.76
223,2023,,,1.76,1.76,1.75,1.79
224,2024,,,1.78,1.79,1.77,1.82
225,2025,,,1.81,1.82,1.79,1.85
226,2026,,,1.83,1.85,1.81,1.88
227,2027,,,1.86,1.87,1.84,1.91
228,2028,,,1.88,1.9,1.86,1.94
229,2029,,,1.91,1.93,1.89,1.97
230,2030,,,1.93,1.96,1.91,2.0
231,2031,,,1.96,1.98,1.94,2.03
232,2032,,,1.98,2.01,1.97,2.06
233,2033,,,2.0,2.03,2.0,2.1
234,2034,,,2.02,2.06,2.02,2.13
235,2035,,,2.04,2.08,2.05,2.16
236,2036,,,2.06,2.1,2.08,2.19
237,2037,,,2.08,2.13,2.12,2.22
238,2038,,,2.1,2.15,2.15,2.26
239,2039,,,2.11,2.18,2.18,2.3
240,2040,,,2.13,2.2,2.21,2.33
241,2041,,,2.14,2.22,2.25,2.37
242,2042,,,2.15,2.24,2.28,2.41
243,2043,,,2.17,2.26,2.31,2.45
244,2044,,,2.18,2.29,2.35,2.49
245,2045,,,2.19,2.31,2.38,2.53
246,2046,,,2.2,2.33,2.42,2.57
247,2047,,,2.2,2.35,2.45,2.61
248,2048,,,2.21,2.37,2.48,2.65
249,2049,,,2.21,2.39,2.51,2.69
250,2050,,,2.22,2.42,2.55,2.73
251,2051,,,2.22,2.44,2.58,2.78
252,2052,,,2.23,2.47,2.61,2.82
253,2053,,,2.23,2.49,2.64,2.86
254,2054,,,2.24,2.52,2.68,2.91
255,2055,,,2.24,2.54,2.71,2.95
256,2056,,,2.25,2.57,2.74,2.99
257,2057,,,2.25,2.59,2.78,3.04
258,2058,,,2.26,2.62,2.81,3.08
259,2059,,,2.26,2.64,2.84,3.12
260,2060,,,2.26,2.66,2.88,3.16
261,2061,,,2.27,2.68,2.91,3.2
262,2062,,,2.27,2.7,2.94,3.25
263,2063,,,2.28,2.72,2.97,3.3
264,2064,,,2.28,2.74,3.01,3.34
