Bolivia,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
131,1931,0.22999999999999998,0.33,,,,
132,1932,0.21999999999999997,0.35,,,,
133,1933,0.22999999999999998,0.37,,,,
134,1934,0.14999999999999997,0.4,,,,
135,1935,0.37,0.42,,,,
136,1936,0.7,0.45,,,,
137,1937,0.6599999999999999,0.48,,,,
138,1938,0.43999999999999995,0.51,,,,
139,1939,0.49,0.53,,,,
140,1940,0.7999999999999999,0.55,,,,
141,1941,0.8899999999999999,0.56,,,,
142,1942,0.33999999999999997,0.55,,,,
143,1943,0.32999999999999996,0.53,,,,
144,1944,0.6799999999999999,0.51,,,,
145,1945,0.6599999999999999,0.49,,,,
146,1946,0.62,0.46,,,,
147,1947,0.12,0.45,,,,
148,1948,0.44999999999999996,0.43,,,,
149,1949,0.22999999999999998,0.41,,,,
150,1950,0.37,0.4,,,,
151,1951,0.38999999999999996,0.38,,,,
152,1952,0.22999999999999998,0.37,,,,
153,1953,0.75,0.38,,,,
154,1954,0.45999999999999996,0.39,,,,
155,1955,0.24999999999999994,0.4,,,,
156,1956,-0.21000000000000008,0.42,,,,
157,1957,0.36,0.44,,,,
158,1958,0.5599999999999999,0.46,,,,
159,1959,0.6799999999999999,0.48,,,,
160,1960,0.15999999999999998,0.51,,,,
161,1961,0.8899999999999999,0.54,,,,
162,1962,0.31999999999999995,0.58,,,,
163,1963,0.98,0.62,,,,
164,1964,0.35,0.66,,,,
165,1965,0.6599999999999999,0.69,,,,
166,1966,0.6799999999999999,0.71,,,,
167,1967,0.98,0.72,,,,
168,1968,0.6499999999999999,0.72,,,,
169,1969,1.25,0.72,,,,
170,1970,0.96,0.71,,,,
171,1971,0.18,0.71,,,,
172,1972,0.77,0.71,,,,
173,1973,0.84,0.7,,,,
174,1974,0.38,0.69,,,,
175,1975,0.53,0.68,,,,
176,1976,0.38,0.68,,,,
177,1977,0.86,0.68,,,,
178,1978,0.85,0.69,,,,
179,1979,0.72,0.71,,,,
180,1980,0.7999999999999999,0.74,,,,
181,1981,0.5599999999999999,0.77,,,,
182,1982,0.73,0.79,,,,
183,1983,0.96,0.81,,,,
184,1984,0.75,0.83,,,,
185,1985,0.8799999999999999,0.84,,,,
186,1986,0.84,0.85,,,,
187,1987,1.23,0.87,,,,
188,1988,0.8799999999999999,0.89,,,,
189,1989,0.62,0.92,,,,
190,1990,0.86,0.94,,,,
191,1991,1.1400000000000001,0.97,,,,
192,1992,0.5599999999999999,0.99,,,,
193,1993,0.94,1.0,,,,
194,1994,1.4,1.01,,,,
195,1995,1.3199999999999998,1.01,,,,
196,1996,0.8099999999999999,1.02,,,,
197,1997,1.42,1.03,,,,
198,1998,1.23,1.04,,,,
199,1999,0.6699999999999999,1.05,,,,
200,2000,0.6799999999999999,1.05,,,,
201,2001,0.84,1.04,,,,
202,2002,1.3199999999999998,1.02,,,,
203,2003,0.99,1.02,,,,
204,2004,1.12,1.02,,,,
205,2005,1.1400000000000001,1.04,0.96,0.94,0.97,0.93
206,2006,1.22,1.06,1.0,0.99,1.02,0.98
207,2007,0.84,1.09,1.05,1.03,1.06,1.02
208,2008,0.75,1.12,1.09,1.08,1.1,1.07
209,2009,1.04,1.14,1.13,1.13,1.14,1.12
210,2010,1.17,1.17,1.17,1.17,1.19,1.16
211,2011,1.45,1.2,1.22,1.22,1.23,1.21
212,2012,1.2799999999999998,1.23,1.26,1.26,1.27,1.26
213,2013,0.98,1.27,1.3,1.31,1.31,1.31
214,2014,1.4,1.31,1.34,1.35,1.35,1.35
215,2015,1.87,1.36,1.38,1.39,1.39,1.39
216,2016,1.29,1.4,1.42,1.43,1.42,1.43
217,2017,1.45,1.44,1.46,1.47,1.45,1.48
218,2018,1.0,1.49,1.5,1.51,1.48,1.52
219,2019,1.43,1.53,1.55,1.55,1.51,1.57
220,2020,1.87,1.57,1.59,1.59,1.54,1.62
221,2021,,,1.64,1.63,1.58,1.67
222,2022,,,1.68,1.67,1.63,1.72
223,2023,,,1.73,1.71,1.66,1.77
224,2024,,,1.77,1.75,1.7,1.82
225,2025,,,1.81,1.78,1.73,1.88
226,2026,,,1.85,1.82,1.77,1.93
227,2027,,,1.88,1.86,1.8,1.98
228,2028,,,1.92,1.9,1.84,2.03
229,2029,,,1.95,1.94,1.89,2.08
230,2030,,,1.97,1.97,1.93,2.13
231,2031,,,2.0,2.01,1.98,2.19
232,2032,,,2.03,2.05,2.02,2.24
233,2033,,,2.06,2.09,2.06,2.3
234,2034,,,2.09,2.13,2.1,2.36
235,2035,,,2.11,2.17,2.14,2.41
236,2036,,,2.14,2.2,2.18,2.47
237,2037,,,2.17,2.24,2.23,2.52
238,2038,,,2.2,2.27,2.28,2.58
239,2039,,,2.22,2.3,2.32,2.65
240,2040,,,2.25,2.34,2.37,2.7
241,2041,,,2.28,2.38,2.42,2.76
242,2042,,,2.3,2.42,2.48,2.82
243,2043,,,2.32,2.46,2.54,2.87
244,2044,,,2.34,2.5,2.6,2.93
245,2045,,,2.36,2.54,2.66,2.99
246,2046,,,2.38,2.59,2.72,3.04
247,2047,,,2.39,2.63,2.79,3.1
248,2048,,,2.4,2.67,2.84,3.16
249,2049,,,2.41,2.71,2.9,3.23
250,2050,,,2.41,2.74,2.95,3.3
251,2051,,,2.42,2.78,3.0,3.37
252,2052,,,2.42,2.81,3.05,3.45
253,2053,,,2.43,2.84,3.1,3.52
254,2054,,,2.44,2.87,3.14,3.6
255,2055,,,2.45,2.9,3.19,3.68
256,2056,,,2.46,2.93,3.24,3.77
257,2057,,,2.47,2.96,3.28,3.85
258,2058,,,2.48,2.99,3.33,3.93
259,2059,,,2.49,3.02,3.39,4.01
260,2060,,,2.5,3.05,3.44,4.09
261,2061,,,2.51,3.09,3.49,4.16
262,2062,,,2.52,3.12,3.55,4.24
263,2063,,,2.53,3.15,3.61,4.31
264,2064,,,2.54,3.18,3.67,4.39
265,2065,,,2.54,3.2,3.72,4.47
266,2066,,,2.54,3.23,3.78,4.54
267,2067,,,2.54,3.26,3.83,4.62
268,2068,,,2.54,3.29,3.88,4.7
269,2069,,,2.53,3.32,3.94,4.78
270,2070,,,2.53,3.34,4.0,4.85
271,2071,,,2.53,3.37,4.06,4.93
272,2072,,,2.53,3.39,4.12,5.0
273,2073,,,2.53,3.41,4.17,5.08
274,2074,,,2.52,3.44,4.22,5.16
275,2075,,,2.52,3.46,4.27,5.25
276,2076,,,2.52,3.49,4.33,5.33
277,2077,,,2.52,3.52,4.38,5.41
278,2078,,,2.53,3.54,4.44,5.49
279,2079,,,2.53,3.56,4.5,5.57
280,2080,,,2.53,3.59,4.55,5.66
281,2081,,,2.52,3.61,4.61,5.75
282,2082,,,2.52,3.64,4.66,5.84
283,2083,,,2.51,3.66,4.72,5.93
284,2084,,,2.5,3.68,4.78,6.01
285,2085,,,2.49,3.71,4.85,6.1
286,2086,,,2.49,3.73,4.91,6.19
287,2087,,,2.48,3.75,4.98,6.27
288,2088,,,2.47,3.77,5.04,6.36
289,2089,,,2.45,3.79,5.1,6.44
290,2090,,,2.44,3.81,5.17,6.53
291,2091,,,2.43,3.82,5.23,6.62
292,2092,,,2.42,3.83,5.29,6.7
293,2093,,,2.42,3.84,5.35,6.78
294,2094,,,2.41,3.86,5.42,6.87
295,2095,,,2.41,3.87,5.48,6.95
296,2096,,,2.41,3.88,5.54,7.03
297,2097,,,2.4,3.9,5.6,7.11
298,2098,,,2.4,3.91,5.66,7.2
299,2099,,,2.4,3.92,5.73,7.28
300,2100,,,2.4,3.93,5.79,7.36
