Nigeria,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
246,2046,,,2.3,2.4,2.45,2.66
247,2047,,,2.31,2.44,2.49,2.71
248,2048,,,2.32,2.48,2.53,2.76
249,2049,,,2.33,2.51,2.57,2.82
250,2050,,,2.34,2.55,2.61,2.87
251,2051,,,2.35,2.58,2.66,2.92
252,2052,,,2.36,2.62,2.7,2.97
253,2053,,,2.37,2.66,2.75,3.02
254,2054,,,2.38,2.69,2.79,3.08
255,2055,,,2.39,2.73,2.84,3.14
256,2056,,,2.4,2.76,2.88,3.2
257,2057,,,2.41,2.79,2.92,3.26
258,2058,,,2.41,2.82,2.96,3.32
259,2059,,,2.42,2.85,3.0,3.38
260,2060,,,2.43,2.87,3.04,3.44
261,2061,,,2.44,2.9,3.09,3.5
262,2062,,,2.45,2.93,3.13,3.56
263,2063,,,2.45,2.95,3.18,3.61
264,2064,,,2.46,2.98,3.22,3.67
265,2065,,,2.46,3.0,3.27,3.73
266,2066,,,2.46,3.03,3.31,3.79
267,2067,,,2.46,3.06,3.36,3.85
268,2068,,,2.46,3.08,3.4,3.91
269,2069,,,2.45,3.11,3.45,3.97
270,2070,,,2.45,3.14,3.5,4.03
271,2071,,,2.45,3.16,3.55,4.1
272,2072,,,2.45,3.18,3.6,4.16
273,2073,,,2.44,3.2,3.64,4.22
274,2074,,,2.44,3.22,3.69,4.29
275,2075,,,2.44,3.24,3.73,4.36
276,2076,,,2.44,3.26,3.78,4.43
277,2077,,,2.45,3.28,3.83,4.5
278,2078,,,2.46,3.3,3.88,4.57
279,2079,,,2.46,3.31,3.93,4.64
280,2080,,,2.47,3.33,3.97,4.71
281,2081,,,2.47,3.35,4.02,4.79
282,2082,,,2.47,3.37,4.07,4.87
283,2083,,,2.47,3.38,4.12,4.94
284,2084,,,2.47,3.4,4.17,5.02
285,2085,,,2.46,3.42,4.21,5.09
286,2086,,,2.46,3.44,4.26,5.16
287,2087,,,2.45,3.46,4.31,5.23
288,2088,,,2.44,3.48,4.35,5.3
289,2089,,,2.42,3.49,4.4,5.38
290,2090,,,2.41,3.51,4.44,5.45
291,2091,,,2.4,3.53,4.49,5.53
292,2092,,,2.39,3.55,4.55,5.61
293,2093,,,2.39,3.57,4.6,5.68
294,2094,,,2.39,3.59,4.66,5.76
295,2095,,,2.38,3.61,4.72,5.84
296,2096,,,2.38,3.63,4.77,5.91
297,2097,,,2.37,3.65,4.83,5.99
298,2098,,,2.37,3.67,4.89,6.07
299,2099,,,2.37,3.69,4.95,6.15
300,2100,,,2.37,3.71,5.01,6.23
