Kazakhstan,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
96,1896,-0.45129032258064505,-0.08,,,,
97,1897,-0.33129032258064506,-0.04,,,,
98,1898,-1.001290322580645,-0.01,,,,
99,1899,1.2187096774193549,0.0,,,,
100,1900,-0.10129032258064508,0.02,,,,
101,1901,0.46870967741935493,0.03,,,,
102,1902,0.6187096774193549,0.04,,,,
103,1903,-0.3512903225806451,0.07,,,,
104,1904,0.3087096774193549,0.09,,,,
105,1905,-0.1312903225806451,0.11,,,,
106,1906,0.4987096774193549,0.13,,,,
107,1907,-0.46129032258064506,0.16,,,,
108,1908,-0.7712903225806451,0.19,,,,
109,1909,0.7687096774193549,0.23,,,,
110,1910,0.20870967741935492,0.27,,,,
111,1911,-0.07129032258064505,0.3,,,,
112,1912,0.14870967741935492,0.32,,,,
113,1913,0.7887096774193549,0.33,,,,
114,1914,1.1187096774193548,0.34,,,,
115,1915,1.598709677419355,0.37,,,,
116,1916,0.07870967741935492,0.39,,,,
117,1917,0.7587096774193549,0.42,,,,
118,1918,-0.19129032258064504,0.44,,,,
119,1919,-0.18129032258064504,0.46,,,,
120,1920,-0.7412903225806451,0.45,,,,
121,1921,0.4787096774193549,0.41,,,,
122,1922,1.008709677419355,0.36,,,,
123,1923,0.9387096774193548,0.31,,,,
124,1924,0.3887096774193549,0.27,,,,
125,1925,1.498709677419355,0.24,,,,
126,1926,0.4487096774193549,0.21,,,,
127,1927,0.20870967741935492,0.17,,,,
128,1928,-0.7512903225806451,0.12,,,,
129,1929,-0.891290322580645,0.06,,,,
130,1930,-0.041290322580645133,0.0,,,,
131,1931,-0.44129032258064504,-0.04,,,,
132,1932,0.798709677419355,-0.06,,,,
133,1933,-0.2412903225806451,-0.04,,,,
134,1934,-1.0612903225806452,0.0,,,,
135,1935,0.07870967741935492,0.06,,,,
136,1936,0.28870967741935494,0.12,,,,
137,1937,-0.29129032258064513,0.17,,,,
138,1938,0.4887096774193549,0.2,,,,
139,1939,0.6387096774193549,0.24,,,,
140,1940,1.1187096774193548,0.27,,,,
141,1941,0.4887096774193549,0.3,,,,
142,1942,0.03870967741935494,0.32,,,,
143,1943,-0.18129032258064504,0.32,,,,
144,1944,1.1587096774193548,0.31,,,,
145,1945,-0.5212903225806451,0.28,,,,
146,1946,0.27870967741935493,0.25,,,,
147,1947,0.5087096774193549,0.22,,,,
148,1948,1.1187096774193548,0.2,,,,
149,1949,-0.3512903225806451,0.2,,,,
150,1950,-0.621290322580645,0.2,,,,
151,1951,0.4287096774193549,0.2,,,,
152,1952,-0.011290322580645107,0.2,,,,
153,1953,0.6087096774193549,0.2,,,,
154,1954,-0.871290322580645,0.21,,,,
155,1955,1.1387096774193548,0.25,,,,
156,1956,-0.031290322580645125,0.3,,,,
157,1957,0.5387096774193549,0.38,,,,
158,1958,0.41870967741935494,0.45,,,,
159,1959,-0.4012903225806451,0.51,,,,
160,1960,-0.5712903225806452,0.56,,,,
161,1961,1.378709677419355,0.6,,,,
162,1962,1.588709677419355,0.64,,,,
163,1963,1.6987096774193549,0.67,,,,
164,1964,-0.031290322580645125,0.7,,,,
165,1965,1.2087096774193549,0.72,,,,
166,1966,0.7487096774193549,0.73,,,,
167,1967,0.9187096774193548,0.74,,,,
168,1968,0.3687096774193549,0.72,,,,
169,1969,-1.221290322580645,0.7,,,,
170,1970,0.5287096774193549,0.68,,,,
171,1971,1.288709677419355,0.68,,,,
172,1972,-0.621290322580645,0.69,,,,
173,1973,1.028709677419355,0.71,,,,
174,1974,0.2587096774193549,0.75,,,,
175,1975,1.4787096774193549,0.79,,,,
176,1976,-0.5612903225806452,0.85,,,,
177,1977,1.0987096774193548,0.9,,,,
178,1978,1.018709677419355,0.92,,,,
179,1979,1.1187096774193548,0.93,,,,
180,1980,0.6887096774193548,0.94,,,,
181,1981,1.7187096774193549,0.95,,,,
182,1982,1.2187096774193549,0.97,,,,
183,1983,2.5987096774193548,1.0,,,,
184,1984,-0.17129032258064514,1.03,,,,
185,1985,0.5287096774193549,1.05,,,,
186,1986,0.6987096774193549,1.05,,,,
187,1987,0.4587096774193549,1.05,,,,
188,1988,1.358709677419355,1.04,,,,
189,1989,1.558709677419355,1.05,,,,
190,1990,1.6787096774193548,1.08,,,,
191,1991,1.558709677419355,1.13,,,,
192,1992,0.828709677419355,1.2,,,,
193,1993,-0.32129032258064505,1.27,,,,
194,1994,0.558709677419355,1.33,,,,
195,1995,2.338709677419355,1.38,,,,
196,1996,0.08870967741935493,1.43,,,,
197,1997,2.038709677419355,1.47,,,,
198,1998,1.1787096774193548,1.53,,,,
199,1999,1.9287096774193548,1.61,,,,
200,2000,1.738709677419355,1.69,,,,
201,2001,1.798709677419355,1.77,,,,
202,2002,2.318709677419355,1.83,,,,
203,2003,1.148709677419355,1.86,,,,
204,2004,2.408709677419355,1.87,,,,
205,2005,2.048709677419355,1.87,1.61,1.61,1.67,1.6
206,2006,1.9387096774193548,1.86,1.64,1.64,1.69,1.63
207,2007,2.2687096774193547,1.85,1.67,1.67,1.72,1.67
208,2008,2.1487096774193546,1.84,1.71,1.71,1.74,1.7
209,2009,1.4687096774193549,1.83,1.74,1.74,1.77,1.74
210,2010,1.798709677419355,1.83,1.78,1.78,1.8,1.78
211,2011,0.7787096774193549,1.82,1.81,1.82,1.83,1.81
212,2012,1.258709677419355,1.84,1.85,1.85,1.86,1.85
213,2013,2.688709677419355,1.86,1.89,1.89,1.89,1.89
214,2014,0.818709677419355,1.89,1.93,1.94,1.92,1.94
215,2015,2.338709677419355,1.91,1.98,1.99,1.97,1.99
216,2016,2.218709677419355,1.94,2.04,2.05,2.02,2.05
217,2017,2.008709677419355,1.98,2.11,2.11,2.08,2.11
218,2018,0.7487096774193549,2.01,2.17,2.17,2.12,2.17
219,2019,2.208709677419355,2.05,2.24,2.23,2.17,2.23
220,2020,2.588709677419355,2.09,2.3,2.29,2.22,2.3
221,2021,,,2.36,2.34,2.28,2.35
222,2022,,,2.41,2.39,2.34,2.41
223,2023,,,2.46,2.43,2.39,2.46
224,2024,,,2.5,2.47,2.45,2.51
225,2025,,,2.54,2.51,2.5,2.57
226,2026,,,2.58,2.56,2.56,2.63
227,2027,,,2.61,2.6,2.62,2.69
228,2028,,,2.64,2.64,2.68,2.75
229,2029,,,2.67,2.68,2.73,2.81
230,2030,,,2.7,2.72,2.8,2.88
231,2031,,,2.73,2.75,2.86,2.95
232,2032,,,2.77,2.79,2.91,3.02
233,2033,,,2.8,2.83,2.97,3.09
234,2034,,,2.83,2.87,3.01,3.16
235,2035,,,2.86,2.92,3.06,3.23
236,2036,,,2.89,2.96,3.1,3.3
237,2037,,,2.91,3.01,3.15,3.37
238,2038,,,2.94,3.05,3.19,3.44
239,2039,,,2.96,3.09,3.24,3.51
240,2040,,,2.98,3.13,3.29,3.58
241,2041,,,3.0,3.18,3.34,3.64
242,2042,,,3.01,3.22,3.39,3.71
243,2043,,,3.03,3.27,3.44,3.78
244,2044,,,3.05,3.32,3.5,3.85
245,2045,,,3.08,3.37,3.56,3.93
246,2046,,,3.1,3.41,3.62,4.0
247,2047,,,3.12,3.46,3.69,4.07
248,2048,,,3.14,3.51,3.77,4.14
249,2049,,,3.16,3.55,3.84,4.22
250,2050,,,3.18,3.6,3.9,4.3
251,2051,,,3.21,3.64,3.97,4.38
252,2052,,,3.23,3.68,4.03,4.47
253,2053,,,3.25,3.72,4.08,4.56
254,2054,,,3.26,3.76,4.15,4.65
255,2055,,,3.27,3.8,4.21,4.73
256,2056,,,3.28,3.83,4.27,4.81
257,2057,,,3.29,3.87,4.33,4.9
258,2058,,,3.3,3.9,4.39,4.99
259,2059,,,3.31,3.93,4.45,5.09
260,2060,,,3.32,3.96,4.51,5.18
261,2061,,,3.32,3.98,4.57,5.27
262,2062,,,3.33,4.01,4.64,5.36
263,2063,,,3.33,4.03,4.71,5.44
264,2064,,,3.33,4.04,4.78,5.53
265,2065,,,3.33,4.06,4.84,5.62
266,2066,,,3.34,4.08,4.91,5.7
267,2067,,,3.34,4.1,4.97,5.79
268,2068,,,3.35,4.13,5.03,5.88
269,2069,,,3.36,4.16,5.09,5.96
270,2070,,,3.36,4.18,5.15,6.04
271,2071,,,3.36,4.21,5.21,6.12
272,2072,,,3.37,4.24,5.27,6.2
273,2073,,,3.38,4.27,5.32,6.29
274,2074,,,3.39,4.29,5.37,6.38
275,2075,,,3.4,4.32,5.43,6.47
276,2076,,,3.4,4.35,5.49,6.56
277,2077,,,3.4,4.37,5.55,6.66
278,2078,,,3.4,4.4,5.61,6.76
279,2079,,,3.39,4.43,5.67,6.86
280,2080,,,3.38,4.46,5.74,6.96
281,2081,,,3.37,4.49,5.82,7.07
282,2082,,,3.36,4.52,5.9,7.17
283,2083,,,3.34,4.55,5.98,7.28
284,2084,,,3.32,4.58,6.06,7.38
285,2085,,,3.31,4.61,6.14,7.48
286,2086,,,3.29,4.64,6.22,7.58
287,2087,,,3.28,4.68,6.3,7.68
288,2088,,,3.27,4.71,6.37,7.78
289,2089,,,3.26,4.74,6.44,7.88
290,2090,,,3.26,4.76,6.51,7.98
291,2091,,,3.25,4.79,6.58,8.08
292,2092,,,3.25,4.81,6.64,8.17
293,2093,,,3.26,4.83,6.71,8.27
294,2094,,,3.26,4.86,6.78,8.37
295,2095,,,3.26,4.88,6.85,8.47
296,2096,,,3.26,4.91,6.92,8.56
297,2097,,,3.26,4.94,6.99,8.66
298,2098,,,3.27,4.96,7.06,8.76
299,2099,,,3.27,4.99,7.13,8.86
300,2100,,,3.27,5.01,7.2,8.96
