Brunei,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
134,1934,-0.02499999999999991,0.24,,,,
135,1935,0.16500000000000004,0.24,,,,
136,1936,0.17500000000000004,0.24,,,,
137,1937,0.38500000000000006,0.26,,,,
138,1938,0.16500000000000004,0.27,,,,
139,1939,0.19500000000000006,0.29,,,,
140,1940,0.29500000000000004,0.32,,,,
141,1941,0.8150000000000001,0.35,,,,
142,1942,0.6150000000000001,0.38,,,,
143,1943,0.17500000000000004,0.41,,,,
144,1944,0.25500000000000006,0.43,,,,
145,1945,0.42500000000000004,0.44,,,,
146,1946,0.7150000000000001,0.45,,,,
147,1947,0.7050000000000001,0.46,,,,
148,1948,0.3550000000000001,0.48,,,,
149,1949,0.38500000000000006,0.49,,,,
150,1950,0.37500000000000006,0.49,,,,
151,1951,0.625,0.48,,,,
152,1952,0.5750000000000001,0.48,,,,
153,1953,0.6050000000000001,0.49,,,,
154,1954,0.41500000000000004,0.51,,,,
155,1955,0.17500000000000004,0.53,,,,
156,1956,0.19500000000000006,0.54,,,,
157,1957,0.675,0.54,,,,
158,1958,0.875,0.54,,,,
159,1959,0.555,0.55,,,,
160,1960,0.7050000000000001,0.56,,,,
161,1961,0.6050000000000001,0.57,,,,
162,1962,0.42500000000000004,0.57,,,,
163,1963,0.5050000000000001,0.56,,,,
164,1964,0.5650000000000001,0.56,,,,
165,1965,0.405,0.55,,,,
166,1966,0.7450000000000001,0.55,,,,
167,1967,0.405,0.56,,,,
168,1968,0.5850000000000001,0.57,,,,
169,1969,0.6950000000000001,0.58,,,,
170,1970,0.6150000000000001,0.58,,,,
171,1971,0.25500000000000006,0.59,,,,
172,1972,0.775,0.59,,,,
173,1973,0.8450000000000001,0.59,,,,
174,1974,0.3550000000000001,0.6,,,,
175,1975,0.515,0.61,,,,
176,1976,0.5750000000000001,0.62,,,,
177,1977,0.6150000000000001,0.64,,,,
178,1978,0.6950000000000001,0.66,,,,
179,1979,0.665,0.67,,,,
180,1980,0.7350000000000001,0.69,,,,
181,1981,0.7050000000000001,0.72,,,,
182,1982,0.7550000000000001,0.74,,,,
183,1983,0.9850000000000001,0.76,,,,
184,1984,0.555,0.78,,,,
185,1985,0.775,0.8,,,,
186,1986,0.7150000000000001,0.82,,,,
187,1987,1.0250000000000001,0.83,,,,
188,1988,0.895,0.85,,,,
189,1989,0.645,0.86,,,,
190,1990,1.0350000000000001,0.87,,,,
191,1991,0.935,0.89,,,,
192,1992,0.915,0.9,,,,
193,1993,0.805,0.92,,,,
194,1994,0.925,0.93,,,,
195,1995,0.905,0.94,,,,
196,1996,0.8350000000000001,0.95,,,,
197,1997,1.185,0.97,,,,
198,1998,1.525,0.99,,,,
199,1999,0.885,1.02,,,,
200,2000,0.905,1.05,,,,
201,2001,0.9550000000000001,1.08,,,,
202,2002,1.205,1.1,,,,
203,2003,1.175,1.12,,,,
204,2004,1.135,1.14,,,,
205,2005,1.315,1.16,1.14,1.13,1.16,1.13
206,2006,1.275,1.18,1.16,1.16,1.19,1.16
207,2007,1.1150000000000002,1.2,1.19,1.19,1.21,1.19
208,2008,0.9450000000000001,1.22,1.22,1.21,1.24,1.22
209,2009,1.275,1.23,1.25,1.24,1.26,1.24
210,2010,1.3650000000000002,1.26,1.27,1.27,1.28,1.27
211,2011,1.065,1.28,1.3,1.3,1.31,1.3
212,2012,1.295,1.32,1.33,1.33,1.33,1.33
213,2013,1.395,1.35,1.36,1.36,1.36,1.36
214,2014,1.3050000000000002,1.38,1.38,1.39,1.38,1.39
215,2015,1.525,1.41,1.41,1.42,1.4,1.42
216,2016,1.815,1.44,1.44,1.44,1.43,1.44
217,2017,1.375,1.47,1.47,1.47,1.45,1.47
218,2018,1.405,1.5,1.5,1.5,1.48,1.5
219,2019,1.5750000000000002,1.54,1.53,1.53,1.5,1.53
220,2020,1.525,1.56,1.55,1.56,1.53,1.56
221,2021,,,1.58,1.59,1.55,1.59
222,2022,,,1.61,1.61,1.59,1.62
223,2023,,,1.63,1.64,1.62,1.65
224,2024,,,1.66,1.66,1.65,1.68
225,2025,,,1.68,1.69,1.68,1.71
226,2026,,,1.7,1.71,1.71,1.75
227,2027,,,1.72,1.73,1.74,1.78
228,2028,,,1.74,1.75,1.77,1.81
229,2029,,,1.77,1.77,1.8,1.84
230,2030,,,1.79,1.8,1.83,1.88
231,2031,,,1.81,1.82,1.85,1.91
232,2032,,,1.83,1.84,1.88,1.95
233,2033,,,1.85,1.86,1.91,1.98
234,2034,,,1.87,1.89,1.93,2.02
235,2035,,,1.89,1.91,1.96,2.06
236,2036,,,1.91,1.94,1.99,2.1
237,2037,,,1.92,1.96,2.02,2.14
238,2038,,,1.94,1.99,2.05,2.18
239,2039,,,1.95,2.01,2.08,2.22
240,2040,,,1.97,2.04,2.11,2.27
241,2041,,,1.98,2.06,2.14,2.31
242,2042,,,1.99,2.09,2.17,2.36
243,2043,,,2.0,2.11,2.21,2.4
244,2044,,,2.02,2.14,2.24,2.44
245,2045,,,2.03,2.16,2.28,2.49
246,2046,,,2.05,2.19,2.31,2.53
247,2047,,,2.06,2.21,2.35,2.58
248,2048,,,2.06,2.24,2.39,2.62
249,2049,,,2.07,2.27,2.42,2.66
250,2050,,,2.08,2.3,2.46,2.7
251,2051,,,2.09,2.32,2.5,2.74
252,2052,,,2.1,2.35,2.53,2.78
253,2053,,,2.11,2.37,2.57,2.83
254,2054,,,2.12,2.4,2.6,2.87
255,2055,,,2.12,2.43,2.64,2.92
256,2056,,,2.13,2.45,2.68,2.96
257,2057,,,2.13,2.47,2.71,3.01
258,2058,,,2.14,2.5,2.75,3.05
259,2059,,,2.15,2.52,2.78,3.1
260,2060,,,2.16,2.53,2.82,3.15
261,2061,,,2.16,2.55,2.85,3.2
262,2062,,,2.17,2.57,2.89,3.25
263,2063,,,2.17,2.58,2.93,3.3
264,2064,,,2.17,2.6,2.96,3.35
265,2065,,,2.17,2.61,3.0,3.4
266,2066,,,2.17,2.63,3.04,3.45
267,2067,,,2.17,2.65,3.07,3.51
268,2068,,,2.17,2.67,3.1,3.56
269,2069,,,2.17,2.69,3.14,3.61
270,2070,,,2.17,2.71,3.18,3.67
271,2071,,,2.18,2.73,3.22,3.72
272,2072,,,2.18,2.74,3.25,3.78
273,2073,,,2.18,2.76,3.29,3.83
274,2074,,,2.18,2.78,3.33,3.88
275,2075,,,2.18,2.79,3.37,3.94
276,2076,,,2.18,2.81,3.41,3.99
277,2077,,,2.18,2.82,3.45,4.05
278,2078,,,2.18,2.84,3.49,4.1
279,2079,,,2.18,2.85,3.53,4.16
280,2080,,,2.18,2.86,3.57,4.22
281,2081,,,2.18,2.88,3.62,4.27
282,2082,,,2.18,2.89,3.66,4.33
283,2083,,,2.17,2.91,3.7,4.38
284,2084,,,2.17,2.92,3.74,4.44
285,2085,,,2.16,2.93,3.78,4.49
286,2086,,,2.16,2.95,3.82,4.55
287,2087,,,2.15,2.96,3.86,4.6
288,2088,,,2.15,2.98,3.89,4.66
289,2089,,,2.14,2.99,3.93,4.71
290,2090,,,2.14,3.01,3.97,4.76
291,2091,,,2.13,3.02,4.01,4.82
292,2092,,,2.13,3.03,4.04,4.87
293,2093,,,2.12,3.03,4.08,4.93
294,2094,,,2.12,3.04,4.12,4.98
295,2095,,,2.12,3.05,4.16,5.04
296,2096,,,2.12,3.06,4.2,5.1
297,2097,,,2.11,3.07,4.24,5.15
298,2098,,,2.11,3.08,4.28,5.21
299,2099,,,2.11,3.09,4.31,5.26
300,2100,,,2.11,3.1,4.35,5.32
