Ireland,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
88,1888,-0.5067741935483872,-0.19,,,,
89,1889,0.10322580645161294,-0.17,,,,
90,1890,0.07322580645161292,-0.15,,,,
91,1891,-0.22677419354838707,-0.11,,,,
92,1892,-0.7567741935483869,-0.06,,,,
93,1893,0.7032258064516129,-0.02,,,,
94,1894,0.053225806451612956,0.02,,,,
95,1895,-0.46677419354838706,0.04,,,,
96,1896,0.17322580645161292,0.06,,,,
97,1897,0.17322580645161292,0.06,,,,
98,1898,0.613225806451613,0.07,,,,
99,1899,0.5232258064516129,0.07,,,,
100,1900,0.13322580645161292,0.07,,,,
101,1901,-0.04677419354838708,0.07,,,,
102,1902,-0.32677419354838705,0.06,,,,
103,1903,-0.1267741935483871,0.05,,,,
104,1904,-0.1267741935483871,0.04,,,,
105,1905,0.11322580645161295,0.04,,,,
106,1906,0.12322580645161291,0.04,,,,
107,1907,-0.20677419354838705,0.06,,,,
108,1908,0.3332258064516129,0.08,,,,
109,1909,-0.3767741935483871,0.1,,,,
110,1910,0.17322580645161292,0.12,,,,
111,1911,0.623225806451613,0.12,,,,
112,1912,0.11322580645161295,0.13,,,,
113,1913,0.27322580645161293,0.13,,,,
114,1914,0.5332258064516129,0.13,,,,
115,1915,-0.03677419354838707,0.13,,,,
116,1916,0.08322580645161293,0.12,,,,
117,1917,-0.416774193548387,0.11,,,,
118,1918,0.36322580645161295,0.1,,,,
119,1919,-0.4067741935483871,0.08,,,,
120,1920,0.37322580645161296,0.08,,,,
121,1921,1.163225806451613,0.07,,,,
122,1922,-0.18677419354838704,0.08,,,,
123,1923,-0.006774193548387042,0.08,,,,
124,1924,0.15322580645161293,0.09,,,,
125,1925,-0.10677419354838708,0.1,,,,
126,1926,0.5432258064516129,0.12,,,,
127,1927,0.08322580645161293,0.15,,,,
128,1928,0.22322580645161294,0.19,,,,
129,1929,-0.056774193548387086,0.22,,,,
130,1930,-0.006774193548387042,0.26,,,,
131,1931,0.08322580645161293,0.3,,,,
132,1932,0.4532258064516129,0.33,,,,
133,1933,0.743225806451613,0.36,,,,
134,1934,0.7032258064516129,0.38,,,,
135,1935,0.41322580645161294,0.4,,,,
136,1936,0.36322580645161295,0.43,,,,
137,1937,0.35322580645161294,0.45,,,,
138,1938,0.7532258064516129,0.47,,,,
139,1939,0.663225806451613,0.48,,,,
140,1940,0.21322580645161293,0.49,,,,
141,1941,0.06322580645161291,0.5,,,,
142,1942,0.23322580645161292,0.5,,,,
143,1943,0.873225806451613,0.51,,,,
144,1944,0.5432258064516129,0.51,,,,
145,1945,1.203225806451613,0.5,,,,
146,1946,0.37322580645161296,0.5,,,,
147,1947,0.28322580645161294,0.49,,,,
148,1948,0.873225806451613,0.49,,,,
149,1949,1.383225806451613,0.48,,,,
150,1950,0.29322580645161295,0.48,,,,
151,1951,0.053225806451612956,0.47,,,,
152,1952,0.17322580645161292,0.46,,,,
153,1953,0.7932258064516129,0.46,,,,
154,1954,0.24322580645161293,0.46,,,,
155,1955,0.41322580645161294,0.46,,,,
156,1956,0.19322580645161294,0.45,,,,
157,1957,0.943225806451613,0.44,,,,
158,1958,0.503225806451613,0.43,,,,
159,1959,1.183225806451613,0.42,,,,
160,1960,0.49322580645161296,0.41,,,,
161,1961,0.613225806451613,0.4,,,,
162,1962,-0.16677419354838702,0.39,,,,
163,1963,-0.3967741935483871,0.38,,,,
164,1964,0.603225806451613,0.36,,,,
165,1965,-0.09677419354838707,0.35,,,,
166,1966,0.42322580645161295,0.34,,,,
167,1967,0.3232258064516129,0.34,,,,
168,1968,0.36322580645161295,0.36,,,,
169,1969,0.15322580645161293,0.39,,,,
170,1970,0.4532258064516129,0.42,,,,
171,1971,0.913225806451613,0.45,,,,
172,1972,0.07322580645161292,0.47,,,,
173,1973,0.683225806451613,0.48,,,,
174,1974,0.35322580645161294,0.49,,,,
175,1975,0.933225806451613,0.5,,,,
176,1976,0.7232258064516129,0.52,,,,
177,1977,0.47322580645161294,0.53,,,,
178,1978,0.5232258064516129,0.53,,,,
179,1979,-0.2467741935483871,0.53,,,,
180,1980,0.41322580645161294,0.52,,,,
181,1981,0.46322580645161293,0.52,,,,
182,1982,0.7232258064516129,0.53,,,,
183,1983,0.943225806451613,0.55,,,,
184,1984,0.623225806451613,0.57,,,,
185,1985,-0.04677419354838708,0.6,,,,
186,1986,-0.3967741935483871,0.63,,,,
187,1987,0.3032258064516129,0.66,,,,
188,1988,0.7632258064516129,0.69,,,,
189,1989,1.153225806451613,0.71,,,,
190,1990,1.213225806451613,0.75,,,,
191,1991,0.7132258064516129,0.8,,,,
192,1992,0.6932258064516129,0.86,,,,
193,1993,0.5432258064516129,0.91,,,,
194,1994,0.7832258064516129,0.96,,,,
195,1995,1.393225806451613,1.0,,,,
196,1996,0.46322580645161293,1.03,,,,
197,1997,1.573225806451613,1.07,,,,
198,1998,1.363225806451613,1.11,,,,
199,1999,1.363225806451613,1.16,,,,
200,2000,1.0132258064516129,1.22,,,,
201,2001,0.923225806451613,1.26,,,,
202,2002,1.303225806451613,1.28,,,,
203,2003,1.393225806451613,1.29,,,,
204,2004,1.323225806451613,1.29,,,,
205,2005,1.483225806451613,1.28,1.22,1.26,1.28,1.24
206,2006,1.563225806451613,1.27,1.22,1.26,1.27,1.24
207,2007,1.763225806451613,1.27,1.23,1.26,1.27,1.24
208,2008,1.063225806451613,1.27,1.24,1.25,1.27,1.25
209,2009,1.053225806451613,1.27,1.24,1.25,1.27,1.25
210,2010,0.22322580645161294,1.26,1.25,1.25,1.27,1.25
211,2011,1.2832258064516129,1.26,1.26,1.25,1.27,1.26
212,2012,1.0132258064516129,1.27,1.27,1.25,1.27,1.26
213,2013,1.0132258064516129,1.27,1.28,1.26,1.27,1.27
214,2014,1.683225806451613,1.28,1.29,1.26,1.27,1.28
215,2015,1.0032258064516129,1.29,1.31,1.29,1.28,1.3
216,2016,1.293225806451613,1.31,1.33,1.31,1.3,1.32
217,2017,1.523225806451613,1.32,1.35,1.34,1.31,1.34
218,2018,1.313225806451613,1.34,1.38,1.37,1.33,1.37
219,2019,1.433225806451613,1.35,1.4,1.4,1.36,1.39
220,2020,1.393225806451613,1.37,1.42,1.43,1.38,1.41
221,2021,,,1.45,1.46,1.41,1.44
222,2022,,,1.47,1.49,1.43,1.46
223,2023,,,1.49,1.52,1.45,1.49
224,2024,,,1.52,1.55,1.48,1.52
225,2025,,,1.54,1.57,1.5,1.54
226,2026,,,1.55,1.59,1.53,1.56
227,2027,,,1.57,1.6,1.55,1.58
228,2028,,,1.58,1.62,1.57,1.61
229,2029,,,1.59,1.64,1.59,1.63
230,2030,,,1.6,1.66,1.62,1.66
231,2031,,,1.6,1.68,1.64,1.69
232,2032,,,1.61,1.7,1.66,1.72
233,2033,,,1.61,1.71,1.68,1.75
234,2034,,,1.62,1.72,1.7,1.77
235,2035,,,1.62,1.73,1.73,1.8
236,2036,,,1.63,1.74,1.75,1.83
237,2037,,,1.63,1.75,1.77,1.86
238,2038,,,1.64,1.76,1.8,1.89
239,2039,,,1.65,1.76,1.82,1.92
240,2040,,,1.66,1.76,1.84,1.95
241,2041,,,1.67,1.77,1.87,1.99
242,2042,,,1.68,1.77,1.89,2.02
243,2043,,,1.68,1.78,1.92,2.05
244,2044,,,1.69,1.79,1.95,2.09
245,2045,,,1.69,1.8,1.98,2.13
246,2046,,,1.7,1.82,2.01,2.16
247,2047,,,1.7,1.83,2.04,2.2
248,2048,,,1.7,1.84,2.06,2.23
249,2049,,,1.7,1.86,2.09,2.27
250,2050,,,1.7,1.89,2.11,2.3
251,2051,,,1.7,1.91,2.12,2.33
252,2052,,,1.69,1.93,2.14,2.36
253,2053,,,1.69,1.95,2.17,2.39
254,2054,,,1.68,1.97,2.19,2.42
255,2055,,,1.68,1.99,2.22,2.45
256,2056,,,1.68,2.01,2.24,2.49
257,2057,,,1.68,2.03,2.25,2.52
258,2058,,,1.67,2.05,2.27,2.56
259,2059,,,1.67,2.07,2.28,2.61
260,2060,,,1.66,2.08,2.3,2.65
261,2061,,,1.66,2.09,2.32,2.69
262,2062,,,1.66,2.1,2.34,2.73
263,2063,,,1.66,2.11,2.36,2.77
264,2064,,,1.67,2.12,2.38,2.8
265,2065,,,1.67,2.13,2.39,2.83
266,2066,,,1.67,2.15,2.42,2.87
267,2067,,,1.68,2.16,2.45,2.9
268,2068,,,1.68,2.17,2.48,2.94
269,2069,,,1.68,2.19,2.52,2.98
270,2070,,,1.69,2.2,2.56,3.02
271,2071,,,1.7,2.22,2.61,3.06
272,2072,,,1.7,2.23,2.65,3.1
273,2073,,,1.71,2.25,2.69,3.15
274,2074,,,1.71,2.25,2.73,3.2
275,2075,,,1.72,2.26,2.77,3.26
276,2076,,,1.72,2.26,2.8,3.32
277,2077,,,1.72,2.27,2.83,3.38
278,2078,,,1.72,2.27,2.86,3.43
279,2079,,,1.73,2.28,2.89,3.49
280,2080,,,1.73,2.29,2.93,3.54
281,2081,,,1.73,2.31,2.96,3.59
282,2082,,,1.74,2.32,3.0,3.64
283,2083,,,1.74,2.34,3.03,3.7
284,2084,,,1.74,2.36,3.07,3.75
285,2085,,,1.74,2.37,3.11,3.8
286,2086,,,1.73,2.39,3.15,3.85
287,2087,,,1.73,2.41,3.2,3.9
288,2088,,,1.72,2.42,3.25,3.96
289,2089,,,1.71,2.43,3.3,4.01
290,2090,,,1.7,2.44,3.34,4.06
291,2091,,,1.69,2.45,3.39,4.12
292,2092,,,1.68,2.46,3.43,4.19
293,2093,,,1.67,2.47,3.47,4.25
294,2094,,,1.67,2.48,3.51,4.32
295,2095,,,1.66,2.49,3.55,4.38
296,2096,,,1.65,2.51,3.6,4.45
297,2097,,,1.65,2.52,3.64,4.52
298,2098,,,1.64,2.53,3.68,4.58
299,2099,,,1.63,2.55,3.72,4.65
300,2100,,,1.62,2.56,3.77,4.72
