Bhutan,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
217,2017,1.5614814814814812,1.34,1.42,1.42,1.39,1.42
218,2018,1.3014814814814815,1.36,1.46,1.46,1.42,1.45
219,2019,1.3714814814814813,1.39,1.5,1.49,1.45,1.49
220,2020,1.3614814814814813,1.41,1.53,1.53,1.48,1.52
221,2021,,,1.56,1.56,1.51,1.56
222,2022,,,1.59,1.59,1.55,1.59
223,2023,,,1.63,1.62,1.58,1.63
224,2024,,,1.66,1.65,1.62,1.67
225,2025,,,1.69,1.68,1.66,1.71
226,2026,,,1.72,1.7,1.7,1.74
227,2027,,,1.75,1.73,1.74,1.78
228,2028,,,1.78,1.75,1.78,1.82
229,2029,,,1.81,1.77,1.82,1.86
230,2030,,,1.83,1.8,1.85,1.9
231,2031,,,1.86,1.83,1.89,1.94
232,2032,,,1.89,1.86,1.93,1.98
233,2033,,,1.92,1.89,1.96,2.03
234,2034,,,1.94,1.92,2.0,2.08
235,2035,,,1.97,1.95,2.04,2.13
236,2036,,,1.99,1.99,2.08,2.18
237,2037,,,2.02,2.03,2.12,2.23
238,2038,,,2.05,2.07,2.16,2.28
239,2039,,,2.08,2.11,2.2,2.34
240,2040,,,2.1,2.15,2.25,2.39
241,2041,,,2.12,2.19,2.29,2.45
242,2042,,,2.14,2.22,2.34,2.51
243,2043,,,2.15,2.26,2.38,2.56
244,2044,,,2.17,2.3,2.43,2.62
245,2045,,,2.19,2.34,2.48,2.68
246,2046,,,2.2,2.38,2.52,2.75
247,2047,,,2.22,2.41,2.57,2.81
248,2048,,,2.23,2.45,2.61,2.87
249,2049,,,2.24,2.48,2.65,2.93
250,2050,,,2.25,2.51,2.69,2.99
251,2051,,,2.26,2.54,2.73,3.05
252,2052,,,2.27,2.57,2.77,3.11
253,2053,,,2.29,2.6,2.81,3.17
254,2054,,,2.3,2.64,2.86,3.23
255,2055,,,2.31,2.67,2.9,3.29
256,2056,,,2.32,2.7,2.95,3.35
257,2057,,,2.33,2.73,3.0,3.41
258,2058,,,2.34,2.76,3.05,3.46
259,2059,,,2.35,2.79,3.1,3.52
260,2060,,,2.36,2.81,3.15,3.58
261,2061,,,2.37,2.84,3.21,3.65
262,2062,,,2.38,2.86,3.26,3.71
263,2063,,,2.39,2.89,3.31,3.77
264,2064,,,2.4,2.91,3.36,3.84
265,2065,,,2.4,2.94,3.41,3.91
266,2066,,,2.41,2.96,3.46,3.99
267,2067,,,2.41,2.98,3.51,4.06
268,2068,,,2.42,3.01,3.55,4.13
269,2069,,,2.42,3.03,3.59,4.21
270,2070,,,2.42,3.05,3.64,4.29
271,2071,,,2.42,3.07,3.68,4.37
272,2072,,,2.42,3.09,3.73,4.44
273,2073,,,2.41,3.11,3.77,4.52
274,2074,,,2.41,3.13,3.82,4.6
275,2075,,,2.41,3.15,3.87,4.67
276,2076,,,2.41,3.17,3.93,4.75
277,2077,,,2.4,3.19,3.99,4.82
278,2078,,,2.41,3.22,4.05,4.9
279,2079,,,2.41,3.24,4.11,4.98
280,2080,,,2.41,3.27,4.17,5.05
281,2081,,,2.4,3.29,4.23,5.13
282,2082,,,2.4,3.31,4.29,5.2
283,2083,,,2.4,3.33,4.36,5.28
284,2084,,,2.4,3.36,4.42,5.36
285,2085,,,2.39,3.38,4.48,5.44
286,2086,,,2.39,3.4,4.54,5.51
287,2087,,,2.38,3.42,4.6,5.59
288,2088,,,2.37,3.44,4.66,5.67
289,2089,,,2.35,3.46,4.71,5.74
290,2090,,,2.34,3.48,4.76,5.82
291,2091,,,2.33,3.5,4.81,5.9
292,2092,,,2.33,3.51,4.87,5.98
293,2093,,,2.33,3.53,4.92,6.06
294,2094,,,2.33,3.54,4.98,6.14
295,2095,,,2.33,3.56,5.03,6.22
296,2096,,,2.33,3.57,5.09,6.3
297,2097,,,2.33,3.59,5.14,6.38
298,2098,,,2.33,3.6,5.2,6.46
299,2099,,,2.34,3.61,5.25,6.54
300,2100,,,2.34,3.63,5.31,6.62
