United Arab Emirates,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
135,1935,0.0810714285714286,-0.02,,,,
136,1936,-0.10892857142857143,-0.01,,,,
137,1937,-0.22892857142857143,0.01,,,,
138,1938,-0.0789285714285714,0.04,,,,
139,1939,-0.17892857142857138,0.06,,,,
140,1940,0.2010714285714286,0.1,,,,
141,1941,0.45107142857142857,0.13,,,,
142,1942,0.3910714285714286,0.16,,,,
143,1943,0.07107142857142859,0.19,,,,
144,1944,0.5310714285714286,0.21,,,,
145,1945,0.011071428571428565,0.23,,,,
146,1946,0.1310714285714286,0.24,,,,
147,1947,0.4810714285714286,0.24,,,,
148,1948,0.3410714285714286,0.25,,,,
149,1949,0.09107142857142858,0.25,,,,
150,1950,-0.3389285714285714,0.25,,,,
151,1951,0.3910714285714286,0.25,,,,
152,1952,0.2410714285714286,0.25,,,,
153,1953,0.4910714285714286,0.24,,,,
154,1954,0.44107142857142856,0.23,,,,
155,1955,0.2610714285714286,0.23,,,,
156,1956,0.06107142857142858,0.23,,,,
157,1957,-0.008928571428571397,0.22,,,,
158,1958,0.4310714285714286,0.21,,,,
159,1959,-0.09892857142857142,0.19,,,,
160,1960,0.2510714285714286,0.17,,,,
161,1961,0.2310714285714286,0.16,,,,
162,1962,0.3710714285714286,0.15,,,,
163,1963,0.12107142857142858,0.16,,,,
164,1964,-0.4589285714285714,0.17,,,,
165,1965,0.1110714285714286,0.18,,,,
166,1966,0.3510714285714286,0.19,,,,
167,1967,0.0810714285714286,0.19,,,,
168,1968,-0.1389285714285714,0.19,,,,
169,1969,0.5910714285714286,0.2,,,,
170,1970,0.5810714285714286,0.21,,,,
171,1971,0.2310714285714286,0.23,,,,
172,1972,-0.10892857142857143,0.26,,,,
173,1973,0.3510714285714286,0.3,,,,
174,1974,0.1710714285714286,0.34,,,,
175,1975,0.07107142857142859,0.38,,,,
176,1976,0.1310714285714286,0.41,,,,
177,1977,1.0710714285714287,0.42,,,,
178,1978,0.6310714285714286,0.41,,,,
179,1979,0.8310714285714287,0.41,,,,
180,1980,0.9410714285714286,0.42,,,,
181,1981,0.7510714285714286,0.43,,,,
182,1982,-0.08892857142857141,0.44,,,,
183,1983,-0.1289285714285714,0.43,,,,
184,1984,-0.08892857142857141,0.41,,,,
185,1985,0.2910714285714286,0.38,,,,
186,1986,0.3910714285714286,0.36,,,,
187,1987,0.6010714285714286,0.35,,,,
188,1988,0.6610714285714285,0.37,,,,
189,1989,0.031071428571428583,0.41,,,,
190,1990,0.7710714285714286,0.44,,,,
191,1991,0.1610714285714286,0.48,,,,
192,1992,-0.22892857142857143,0.53,,,,
193,1993,0.5310714285714286,0.59,,,,
194,1994,0.8210714285714287,0.66,,,,
195,1995,0.4310714285714286,0.74,,,,
196,1996,0.7510714285714286,0.83,,,,
197,1997,0.4910714285714286,0.92,,,,
198,1998,1.7110714285714286,1.01,,,,
199,1999,1.6410714285714287,1.1,,,,
200,2000,1.2610714285714286,1.18,,,,
201,2001,1.3210714285714287,1.25,,,,
202,2002,1.3810714285714287,1.32,,,,
203,2003,1.5610714285714287,1.37,,,,
204,2004,1.4410714285714286,1.4,,,,
205,2005,1.3510714285714287,1.42,1.39,1.38,1.38,1.35
206,2006,1.3610714285714287,1.44,1.42,1.41,1.42,1.39
207,2007,1.5210714285714286,1.45,1.45,1.44,1.45,1.42
208,2008,1.0210714285714286,1.47,1.48,1.48,1.48,1.46
209,2009,1.4810714285714286,1.49,1.52,1.51,1.52,1.5
210,2010,1.9910714285714286,1.51,1.55,1.55,1.55,1.54
211,2011,1.5110714285714286,1.55,1.58,1.58,1.59,1.57
212,2012,1.6610714285714288,1.59,1.61,1.61,1.62,1.61
213,2013,1.2110714285714286,1.64,1.64,1.65,1.65,1.65
214,2014,1.3810714285714287,1.68,1.67,1.68,1.68,1.68
215,2015,2.0910714285714285,1.72,1.71,1.71,1.72,1.72
216,2016,1.6210714285714287,1.76,1.75,1.75,1.75,1.77
217,2017,1.9910714285714286,1.8,1.79,1.79,1.79,1.81
218,2018,2.1210714285714287,1.84,1.83,1.84,1.82,1.85
219,2019,1.7810714285714286,1.88,1.87,1.88,1.86,1.9
220,2020,1.7810714285714286,1.93,1.92,1.92,1.89,1.94
221,2021,,,1.96,1.96,1.93,1.99
222,2022,,,2.0,2.0,1.96,2.04
223,2023,,,2.04,2.04,2.0,2.09
224,2024,,,2.09,2.08,2.04,2.14
225,2025,,,2.13,2.12,2.08,2.19
226,2026,,,2.17,2.15,2.12,2.24
227,2027,,,2.21,2.19,2.16,2.28
228,2028,,,2.25,2.22,2.21,2.33
229,2029,,,2.28,2.25,2.26,2.38
230,2030,,,2.32,2.28,2.31,2.43
231,2031,,,2.35,2.32,2.35,2.47
232,2032,,,2.39,2.35,2.4,2.52
233,2033,,,2.42,2.39,2.44,2.57
234,2034,,,2.45,2.43,2.48,2.61
235,2035,,,2.48,2.46,2.53,2.66
236,2036,,,2.5,2.5,2.57,2.71
237,2037,,,2.53,2.54,2.61,2.77
238,2038,,,2.55,2.57,2.65,2.83
239,2039,,,2.57,2.61,2.69,2.88
240,2040,,,2.59,2.64,2.73,2.94
241,2041,,,2.61,2.68,2.77,3.0
242,2042,,,2.62,2.71,2.82,3.06
243,2043,,,2.64,2.75,2.86,3.12
244,2044,,,2.66,2.79,2.91,3.19
245,2045,,,2.67,2.83,2.96,3.25
246,2046,,,2.69,2.87,3.01,3.31
247,2047,,,2.7,2.91,3.07,3.38
248,2048,,,2.71,2.95,3.12,3.44
249,2049,,,2.72,2.99,3.17,3.5
250,2050,,,2.73,3.03,3.23,3.56
251,2051,,,2.74,3.07,3.28,3.62
252,2052,,,2.75,3.1,3.33,3.68
253,2053,,,2.76,3.14,3.38,3.74
254,2054,,,2.76,3.17,3.43,3.81
255,2055,,,2.77,3.19,3.48,3.87
256,2056,,,2.79,3.22,3.53,3.94
257,2057,,,2.8,3.24,3.58,4.01
258,2058,,,2.8,3.27,3.62,4.08
259,2059,,,2.81,3.29,3.67,4.15
260,2060,,,2.82,3.32,3.72,4.22
261,2061,,,2.82,3.35,3.77,4.29
262,2062,,,2.82,3.37,3.82,4.36
263,2063,,,2.82,3.39,3.87,4.43
264,2064,,,2.81,3.42,3.92,4.5
265,2065,,,2.81,3.45,3.97,4.57
266,2066,,,2.81,3.48,4.02,4.64
267,2067,,,2.8,3.5,4.08,4.71
268,2068,,,2.8,3.53,4.13,4.78
269,2069,,,2.8,3.55,4.19,4.85
270,2070,,,2.79,3.57,4.25,4.93
271,2071,,,2.79,3.59,4.31,5.0
272,2072,,,2.79,3.61,4.36,5.07
273,2073,,,2.79,3.63,4.42,5.14
274,2074,,,2.79,3.64,4.47,5.22
275,2075,,,2.79,3.66,4.53,5.29
276,2076,,,2.79,3.68,4.59,5.36
277,2077,,,2.79,3.7,4.65,5.43
278,2078,,,2.79,3.72,4.71,5.5
279,2079,,,2.79,3.74,4.77,5.58
280,2080,,,2.79,3.77,4.83,5.66
281,2081,,,2.79,3.79,4.89,5.74
282,2082,,,2.79,3.81,4.95,5.83
283,2083,,,2.79,3.83,5.01,5.91
284,2084,,,2.79,3.86,5.07,6.0
285,2085,,,2.79,3.88,5.13,6.09
286,2086,,,2.79,3.9,5.19,6.17
287,2087,,,2.78,3.92,5.24,6.26
288,2088,,,2.77,3.93,5.3,6.35
289,2089,,,2.76,3.95,5.36,6.43
290,2090,,,2.74,3.96,5.41,6.52
291,2091,,,2.73,3.97,5.47,6.6
292,2092,,,2.72,3.98,5.52,6.68
293,2093,,,2.71,3.98,5.58,6.76
294,2094,,,2.69,3.99,5.64,6.85
295,2095,,,2.68,4.0,5.7,6.93
296,2096,,,2.67,4.0,5.76,7.01
297,2097,,,2.66,4.01,5.81,7.1
298,2098,,,2.65,4.01,5.87,7.18
299,2099,,,2.64,4.02,5.93,7.26
300,2100,,,2.62,4.02,5.99,7.34
