Somalia,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
238,2038,,,2.24,2.28,2.35,2.46
239,2039,,,2.26,2.31,2.38,2.51
240,2040,,,2.28,2.34,2.42,2.55
241,2041,,,2.29,2.37,2.45,2.6
242,2042,,,2.3,2.4,2.48,2.65
243,2043,,,2.32,2.43,2.52,2.69
244,2044,,,2.33,2.46,2.55,2.74
245,2045,,,2.35,2.49,2.59,2.79
246,2046,,,2.36,2.52,2.63,2.83
247,2047,,,2.37,2.55,2.67,2.88
248,2048,,,2.37,2.58,2.71,2.92
249,2049,,,2.38,2.61,2.74,2.97
250,2050,,,2.38,2.63,2.78,3.02
251,2051,,,2.39,2.66,2.82,3.06
252,2052,,,2.4,2.68,2.86,3.11
253,2053,,,2.41,2.71,2.9,3.16
254,2054,,,2.42,2.73,2.94,3.21
255,2055,,,2.42,2.75,2.98,3.26
256,2056,,,2.43,2.78,3.02,3.31
257,2057,,,2.44,2.8,3.06,3.37
258,2058,,,2.45,2.82,3.1,3.42
259,2059,,,2.45,2.85,3.13,3.47
260,2060,,,2.46,2.87,3.17,3.52
261,2061,,,2.46,2.89,3.21,3.57
262,2062,,,2.47,2.91,3.26,3.62
263,2063,,,2.47,2.94,3.3,3.68
264,2064,,,2.47,2.96,3.34,3.73
265,2065,,,2.47,2.98,3.38,3.79
266,2066,,,2.47,3.0,3.42,3.84
267,2067,,,2.47,3.02,3.46,3.9
268,2068,,,2.47,3.04,3.5,3.95
269,2069,,,2.47,3.07,3.54,4.01
270,2070,,,2.48,3.09,3.58,4.06
271,2071,,,2.48,3.11,3.63,4.12
272,2072,,,2.48,3.13,3.67,4.18
273,2073,,,2.49,3.14,3.7,4.23
274,2074,,,2.49,3.16,3.74,4.29
275,2075,,,2.49,3.17,3.78,4.35
276,2076,,,2.49,3.19,3.83,4.4
277,2077,,,2.49,3.21,3.87,4.46
278,2078,,,2.5,3.22,3.92,4.52
279,2079,,,2.5,3.24,3.97,4.59
280,2080,,,2.51,3.25,4.01,4.65
281,2081,,,2.51,3.27,4.06,4.72
282,2082,,,2.5,3.29,4.1,4.78
283,2083,,,2.5,3.3,4.15,4.84
284,2084,,,2.49,3.32,4.2,4.91
285,2085,,,2.49,3.33,4.25,4.97
286,2086,,,2.48,3.35,4.29,5.03
287,2087,,,2.48,3.36,4.33,5.09
288,2088,,,2.47,3.38,4.37,5.15
289,2089,,,2.46,3.39,4.41,5.21
290,2090,,,2.45,3.4,4.46,5.27
291,2091,,,2.44,3.42,4.5,5.34
292,2092,,,2.44,3.42,4.54,5.4
293,2093,,,2.43,3.43,4.59,5.45
294,2094,,,2.43,3.44,4.63,5.51
295,2095,,,2.42,3.46,4.67,5.57
296,2096,,,2.42,3.47,4.72,5.63
297,2097,,,2.42,3.48,4.76,5.68
298,2098,,,2.41,3.48,4.8,5.74
299,2099,,,2.41,3.49,4.85,5.8
300,2100,,,2.41,3.5,4.89,5.86
