Trinidad and Tobago,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
124,1924,0.04774193548387101,-0.05,,,,
125,1925,-0.11225806451612896,-0.0,,,,
126,1926,0.17774193548387102,0.04,,,,
127,1927,0.29774193548387107,0.08,,,,
128,1928,0.25774193548387103,0.12,,,,
129,1929,-0.012258064516128986,0.14,,,,
130,1930,0.24774193548387102,0.16,,,,
131,1931,0.5677419354838711,0.17,,,,
132,1932,0.357741935483871,0.17,,,,
133,1933,-0.012258064516128986,0.18,,,,
134,1934,0.01774193548387104,0.18,,,,
135,1935,-0.022258064516128995,0.2,,,,
136,1936,0.13774193548387104,0.22,,,,
137,1937,0.29774193548387107,0.24,,,,
138,1938,0.15774193548387105,0.25,,,,
139,1939,0.09774193548387106,0.26,,,,
140,1940,0.727741935483871,0.27,,,,
141,1941,0.747741935483871,0.28,,,,
142,1942,0.6677419354838711,0.29,,,,
143,1943,0.24774193548387102,0.29,,,,
144,1944,0.29774193548387107,0.29,,,,
145,1945,0.06774193548387103,0.29,,,,
146,1946,0.04774193548387101,0.28,,,,
147,1947,0.29774193548387107,0.27,,,,
148,1948,0.26774193548387104,0.26,,,,
149,1949,0.18774193548387103,0.26,,,,
150,1950,0.10774193548387101,0.27,,,,
151,1951,0.377741935483871,0.28,,,,
152,1952,0.637741935483871,0.31,,,,
153,1953,0.46774193548387105,0.34,,,,
154,1954,0.06774193548387103,0.38,,,,
155,1955,0.227741935483871,0.41,,,,
156,1956,0.19774193548387103,0.45,,,,
157,1957,0.427741935483871,0.48,,,,
158,1958,0.937741935483871,0.5,,,,
159,1959,0.647741935483871,0.52,,,,
160,1960,0.647741935483871,0.53,,,,
161,1961,0.6677419354838711,0.55,,,,
162,1962,0.627741935483871,0.56,,,,
163,1963,0.707741935483871,0.56,,,,
164,1964,0.357741935483871,0.54,,,,
165,1965,0.437741935483871,0.52,,,,
166,1966,0.657741935483871,0.51,,,,
167,1967,0.29774193548387107,0.49,,,,
168,1968,0.26774193548387104,0.47,,,,
169,1969,0.977741935483871,0.45,,,,
170,1970,0.597741935483871,0.43,,,,
171,1971,0.10774193548387101,0.43,,,,
172,1972,0.44774193548387103,0.44,,,,
173,1973,0.627741935483871,0.46,,,,
174,1974,0.24774193548387102,0.49,,,,
175,1975,0.14774193548387105,0.52,,,,
176,1976,0.21774193548387105,0.56,,,,
177,1977,0.6677419354838711,0.59,,,,
178,1978,0.7977419354838711,0.62,,,,
179,1979,0.887741935483871,0.64,,,,
180,1980,0.777741935483871,0.66,,,,
181,1981,1.007741935483871,0.68,,,,
182,1982,0.647741935483871,0.69,,,,
183,1983,0.917741935483871,0.7,,,,
184,1984,0.367741935483871,0.71,,,,
185,1985,0.24774193548387102,0.71,,,,
186,1986,0.347741935483871,0.7,,,,
187,1987,1.217741935483871,0.7,,,,
188,1988,0.897741935483871,0.71,,,,
189,1989,0.487741935483871,0.73,,,,
190,1990,0.857741935483871,0.77,,,,
191,1991,0.757741935483871,0.82,,,,
192,1992,0.687741935483871,0.86,,,,
193,1993,0.967741935483871,0.91,,,,
194,1994,0.8477419354838711,0.94,,,,
195,1995,1.287741935483871,0.97,,,,
196,1996,0.977741935483871,1.0,,,,
197,1997,1.047741935483871,1.03,,,,
198,1998,1.6077419354838711,1.07,,,,
199,1999,1.087741935483871,1.1,,,,
200,2000,0.887741935483871,1.12,,,,
201,2001,1.157741935483871,1.14,,,,
202,2002,1.007741935483871,1.15,,,,
203,2003,1.347741935483871,1.17,,,,
204,2004,1.0777419354838709,1.18,,,,
205,2005,1.557741935483871,1.2,1.15,1.16,1.15,1.14
206,2006,1.247741935483871,1.21,1.17,1.18,1.17,1.16
207,2007,1.137741935483871,1.23,1.2,1.2,1.2,1.19
208,2008,1.057741935483871,1.24,1.22,1.23,1.22,1.22
209,2009,1.237741935483871,1.26,1.25,1.25,1.25,1.24
210,2010,1.697741935483871,1.27,1.27,1.27,1.28,1.27
211,2011,1.227741935483871,1.29,1.3,1.3,1.3,1.29
212,2012,1.1877419354838712,1.31,1.32,1.32,1.33,1.32
213,2013,1.227741935483871,1.33,1.35,1.34,1.35,1.35
214,2014,1.297741935483871,1.35,1.37,1.37,1.38,1.37
215,2015,1.4377419354838712,1.38,1.4,1.39,1.4,1.4
216,2016,1.567741935483871,1.41,1.42,1.42,1.43,1.43
217,2017,1.457741935483871,1.43,1.45,1.44,1.45,1.46
218,2018,1.1077419354838711,1.46,1.48,1.47,1.47,1.48
219,2019,1.557741935483871,1.49,1.5,1.5,1.49,1.51
220,2020,1.587741935483871,1.51,1.53,1.53,1.51,1.54
221,2021,,,1.56,1.56,1.53,1.58
222,2022,,,1.59,1.59,1.54,1.61
223,2023,,,1.62,1.62,1.56,1.64
224,2024,,,1.65,1.64,1.58,1.67
225,2025,,,1.67,1.67,1.6,1.71
226,2026,,,1.7,1.7,1.62,1.74
227,2027,,,1.72,1.72,1.64,1.77
228,2028,,,1.74,1.75,1.67,1.8
229,2029,,,1.77,1.77,1.7,1.83
230,2030,,,1.79,1.79,1.73,1.86
231,2031,,,1.81,1.81,1.76,1.89
232,2032,,,1.83,1.84,1.79,1.92
233,2033,,,1.85,1.86,1.82,1.95
234,2034,,,1.86,1.89,1.86,1.97
235,2035,,,1.88,1.91,1.89,2.0
236,2036,,,1.9,1.93,1.92,2.03
237,2037,,,1.91,1.95,1.95,2.07
238,2038,,,1.93,1.97,1.98,2.1
239,2039,,,1.94,1.99,2.0,2.14
240,2040,,,1.96,2.01,2.03,2.18
241,2041,,,1.97,2.03,2.06,2.22
242,2042,,,1.98,2.06,2.08,2.26
243,2043,,,2.0,2.08,2.11,2.29
244,2044,,,2.01,2.1,2.14,2.33
245,2045,,,2.02,2.12,2.17,2.37
246,2046,,,2.04,2.14,2.21,2.41
247,2047,,,2.05,2.17,2.24,2.45
248,2048,,,2.06,2.2,2.28,2.48
249,2049,,,2.07,2.23,2.32,2.52
250,2050,,,2.07,2.26,2.35,2.56
251,2051,,,2.08,2.28,2.39,2.59
252,2052,,,2.09,2.31,2.42,2.63
253,2053,,,2.1,2.34,2.45,2.67
254,2054,,,2.1,2.36,2.49,2.71
255,2055,,,2.11,2.39,2.52,2.75
256,2056,,,2.11,2.41,2.55,2.79
257,2057,,,2.11,2.43,2.59,2.84
258,2058,,,2.12,2.45,2.62,2.88
259,2059,,,2.12,2.47,2.65,2.93
260,2060,,,2.13,2.49,2.68,2.97
261,2061,,,2.13,2.51,2.71,3.02
262,2062,,,2.13,2.52,2.75,3.07
263,2063,,,2.13,2.54,2.78,3.11
264,2064,,,2.14,2.55,2.81,3.16
265,2065,,,2.14,2.57,2.84,3.2
266,2066,,,2.14,2.58,2.87,3.25
267,2067,,,2.14,2.59,2.89,3.29
268,2068,,,2.14,2.6,2.92,3.33
269,2069,,,2.14,2.62,2.95,3.38
270,2070,,,2.15,2.63,2.98,3.42
271,2071,,,2.15,2.65,3.01,3.46
272,2072,,,2.15,2.66,3.05,3.51
273,2073,,,2.15,2.67,3.08,3.55
274,2074,,,2.15,2.69,3.11,3.6
275,2075,,,2.14,2.7,3.14,3.65
276,2076,,,2.14,2.71,3.18,3.7
277,2077,,,2.14,2.72,3.22,3.75
278,2078,,,2.14,2.74,3.25,3.8
279,2079,,,2.14,2.75,3.29,3.85
280,2080,,,2.14,2.76,3.33,3.9
281,2081,,,2.14,2.77,3.37,3.95
282,2082,,,2.14,2.79,3.41,4.0
283,2083,,,2.13,2.8,3.45,4.05
284,2084,,,2.13,2.81,3.49,4.1
285,2085,,,2.13,2.83,3.52,4.15
286,2086,,,2.13,2.84,3.56,4.2
287,2087,,,2.13,2.86,3.6,4.25
288,2088,,,2.13,2.87,3.64,4.3
289,2089,,,2.12,2.89,3.68,4.34
290,2090,,,2.11,2.9,3.71,4.39
291,2091,,,2.11,2.91,3.74,4.44
292,2092,,,2.1,2.92,3.78,4.49
293,2093,,,2.1,2.93,3.82,4.55
294,2094,,,2.09,2.94,3.85,4.6
295,2095,,,2.09,2.94,3.89,4.65
296,2096,,,2.09,2.95,3.92,4.7
297,2097,,,2.08,2.96,3.96,4.75
298,2098,,,2.08,2.97,4.0,4.8
299,2099,,,2.07,2.98,4.03,4.86
300,2100,,,2.07,2.99,4.07,4.91
