Nicaragua,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
117,1917,-0.32612903225806444,0.21,,,,
118,1918,0.1038709677419356,0.24,,,,
119,1919,0.4938709677419356,0.26,,,,
120,1920,0.4438709677419356,0.28,,,,
121,1921,0.3638709677419356,0.3,,,,
122,1922,0.39387096774193564,0.32,,,,
123,1923,0.2238709677419356,0.35,,,,
124,1924,0.2338709677419356,0.37,,,,
125,1925,0.19387096774193563,0.39,,,,
126,1926,0.6838709677419356,0.41,,,,
127,1927,0.39387096774193564,0.42,,,,
128,1928,0.43387096774193556,0.42,,,,
129,1929,0.38387096774193563,0.43,,,,
130,1930,0.6738709677419357,0.43,,,,
131,1931,0.6238709677419356,0.43,,,,
132,1932,0.4238709677419356,0.42,,,,
133,1933,0.3538709677419356,0.41,,,,
134,1934,0.5138709677419356,0.4,,,,
135,1935,0.20387096774193558,0.4,,,,
136,1936,0.4238709677419356,0.4,,,,
137,1937,0.3538709677419356,0.4,,,,
138,1938,-0.1361290322580644,0.4,,,,
139,1939,0.14387096774193558,0.41,,,,
140,1940,0.4638709677419356,0.43,,,,
141,1941,1.0338709677419355,0.45,,,,
142,1942,0.6838709677419356,0.48,,,,
143,1943,0.4438709677419356,0.5,,,,
144,1944,0.2138709677419356,0.53,,,,
145,1945,0.3438709677419356,0.55,,,,
146,1946,0.8738709677419356,0.58,,,,
147,1947,0.9938709677419356,0.59,,,,
148,1948,0.8338709677419356,0.6,,,,
149,1949,0.3738709677419356,0.61,,,,
150,1950,0.2638709677419356,0.62,,,,
151,1951,0.7538709677419356,0.63,,,,
152,1952,0.6138709677419356,0.64,,,,
153,1953,0.8938709677419356,0.65,,,,
154,1954,0.6738709677419357,0.64,,,,
155,1955,0.4038709677419356,0.64,,,,
156,1956,0.3138709677419356,0.63,,,,
157,1957,0.8838709677419356,0.62,,,,
158,1958,1.0438709677419356,0.61,,,,
159,1959,0.7538709677419356,0.6,,,,
160,1960,0.6138709677419356,0.59,,,,
161,1961,0.5138709677419356,0.57,,,,
162,1962,0.3238709677419356,0.56,,,,
163,1963,0.4538709677419356,0.54,,,,
164,1964,0.4938709677419356,0.52,,,,
165,1965,0.6038709677419356,0.51,,,,
166,1966,0.5538709677419356,0.5,,,,
167,1967,0.3738709677419356,0.5,,,,
168,1968,0.2138709677419356,0.5,,,,
169,1969,0.7638709677419356,0.5,,,,
170,1970,0.39387096774193564,0.51,,,,
171,1971,0.2838709677419356,0.53,,,,
172,1972,0.8238709677419356,0.55,,,,
173,1973,0.8238709677419356,0.57,,,,
174,1974,0.3238709677419356,0.6,,,,
175,1975,0.39387096774193564,0.63,,,,
176,1976,0.4238709677419356,0.67,,,,
177,1977,0.8938709677419356,0.7,,,,
178,1978,0.7638709677419356,0.72,,,,
179,1979,0.8538709677419356,0.75,,,,
180,1980,0.9038709677419356,0.77,,,,
181,1981,0.6338709677419356,0.8,,,,
182,1982,0.9838709677419356,0.82,,,,
183,1983,1.4138709677419357,0.85,,,,
184,1984,0.6938709677419356,0.87,,,,
185,1985,0.6238709677419356,0.88,,,,
186,1986,0.7138709677419356,0.9,,,,
187,1987,1.4138709677419357,0.92,,,,
188,1988,1.0438709677419356,0.94,,,,
189,1989,0.6438709677419356,0.96,,,,
190,1990,0.8638709677419356,0.99,,,,
191,1991,1.0538709677419356,1.01,,,,
192,1992,1.1338709677419356,1.03,,,,
193,1993,1.0038709677419355,1.05,,,,
194,1994,1.2338709677419355,1.05,,,,
195,1995,1.3638709677419356,1.05,,,,
196,1996,0.7138709677419356,1.05,,,,
197,1997,1.3938709677419356,1.06,,,,
198,1998,1.8038709677419356,1.08,,,,
199,1999,0.8338709677419356,1.08,,,,
200,2000,0.7338709677419356,1.09,,,,
201,2001,0.8038709677419356,1.08,,,,
202,2002,1.0838709677419356,1.08,,,,
203,2003,1.2738709677419355,1.07,,,,
204,2004,1.1738709677419354,1.07,,,,
205,2005,1.2338709677419355,1.07,1.1,1.08,1.12,1.06
206,2006,1.2138709677419355,1.08,1.12,1.11,1.14,1.09
207,2007,1.1738709677419354,1.1,1.15,1.14,1.17,1.13
208,2008,0.7038709677419356,1.12,1.18,1.17,1.2,1.16
209,2009,1.1238709677419356,1.15,1.21,1.2,1.22,1.19
210,2010,0.9038709677419356,1.17,1.23,1.23,1.25,1.22
211,2011,0.9138709677419357,1.2,1.26,1.26,1.27,1.26
212,2012,1.0738709677419356,1.24,1.29,1.29,1.3,1.29
213,2013,1.2838709677419358,1.29,1.32,1.32,1.33,1.32
214,2014,1.4038709677419356,1.34,1.35,1.35,1.35,1.36
215,2015,1.8038709677419356,1.4,1.38,1.38,1.38,1.39
216,2016,1.5738709677419356,1.45,1.41,1.42,1.4,1.43
217,2017,1.2538709677419355,1.51,1.44,1.45,1.43,1.46
218,2018,1.3038709677419356,1.56,1.48,1.49,1.45,1.5
219,2019,1.7538709677419355,1.62,1.51,1.52,1.47,1.54
220,2020,1.8138709677419356,1.68,1.54,1.56,1.5,1.58
221,2021,,,1.58,1.59,1.53,1.61
222,2022,,,1.61,1.63,1.57,1.65
223,2023,,,1.64,1.66,1.6,1.69
224,2024,,,1.66,1.69,1.63,1.73
225,2025,,,1.69,1.72,1.65,1.76
226,2026,,,1.71,1.75,1.69,1.8
227,2027,,,1.74,1.77,1.72,1.83
228,2028,,,1.76,1.8,1.75,1.87
229,2029,,,1.79,1.82,1.79,1.9
230,2030,,,1.82,1.85,1.83,1.94
231,2031,,,1.84,1.88,1.87,1.98
232,2032,,,1.87,1.91,1.9,2.02
233,2033,,,1.89,1.94,1.94,2.06
234,2034,,,1.91,1.96,1.97,2.1
235,2035,,,1.93,1.99,2.01,2.14
236,2036,,,1.96,2.02,2.04,2.18
237,2037,,,1.98,2.04,2.08,2.23
238,2038,,,1.99,2.07,2.11,2.28
239,2039,,,2.01,2.09,2.14,2.34
240,2040,,,2.02,2.12,2.18,2.39
241,2041,,,2.03,2.15,2.21,2.44
242,2042,,,2.05,2.17,2.24,2.48
243,2043,,,2.06,2.2,2.28,2.53
244,2044,,,2.08,2.23,2.32,2.58
245,2045,,,2.1,2.26,2.36,2.63
246,2046,,,2.11,2.29,2.4,2.68
247,2047,,,2.12,2.32,2.45,2.72
248,2048,,,2.13,2.36,2.49,2.77
249,2049,,,2.14,2.39,2.53,2.82
250,2050,,,2.14,2.42,2.58,2.87
251,2051,,,2.15,2.45,2.62,2.92
252,2052,,,2.17,2.49,2.66,2.97
253,2053,,,2.18,2.52,2.7,3.02
254,2054,,,2.18,2.55,2.74,3.07
255,2055,,,2.19,2.58,2.78,3.12
256,2056,,,2.19,2.61,2.82,3.18
257,2057,,,2.2,2.63,2.86,3.23
258,2058,,,2.21,2.65,2.89,3.29
259,2059,,,2.22,2.68,2.93,3.35
260,2060,,,2.22,2.7,2.97,3.4
261,2061,,,2.23,2.72,3.01,3.45
262,2062,,,2.23,2.73,3.05,3.51
263,2063,,,2.24,2.75,3.09,3.57
264,2064,,,2.24,2.77,3.14,3.62
265,2065,,,2.23,2.78,3.18,3.68
266,2066,,,2.23,2.8,3.23,3.74
267,2067,,,2.23,2.81,3.27,3.8
268,2068,,,2.23,2.83,3.31,3.86
269,2069,,,2.24,2.85,3.36,3.92
270,2070,,,2.24,2.87,3.41,3.98
271,2071,,,2.24,2.88,3.46,4.04
272,2072,,,2.25,2.89,3.5,4.1
273,2073,,,2.25,2.91,3.54,4.16
274,2074,,,2.25,2.92,3.58,4.22
275,2075,,,2.25,2.94,3.62,4.28
276,2076,,,2.25,2.95,3.67,4.34
277,2077,,,2.26,2.97,3.71,4.4
278,2078,,,2.26,2.99,3.76,4.46
279,2079,,,2.27,3.01,3.8,4.51
280,2080,,,2.27,3.03,3.85,4.57
281,2081,,,2.27,3.05,3.89,4.63
282,2082,,,2.27,3.07,3.94,4.69
283,2083,,,2.26,3.09,3.99,4.76
284,2084,,,2.26,3.11,4.04,4.82
285,2085,,,2.25,3.13,4.08,4.88
286,2086,,,2.25,3.15,4.13,4.94
287,2087,,,2.24,3.17,4.17,5.0
288,2088,,,2.23,3.18,4.21,5.07
289,2089,,,2.22,3.19,4.25,5.13
290,2090,,,2.21,3.21,4.3,5.19
291,2091,,,2.21,3.22,4.34,5.26
292,2092,,,2.21,3.23,4.38,5.32
293,2093,,,2.21,3.24,4.43,5.38
294,2094,,,2.21,3.26,4.47,5.44
295,2095,,,2.21,3.27,4.52,5.51
296,2096,,,2.21,3.29,4.57,5.57
297,2097,,,2.21,3.3,4.61,5.63
298,2098,,,2.21,3.32,4.66,5.69
299,2099,,,2.21,3.33,4.71,5.75
300,2100,,,2.22,3.35,4.76,5.82
