Costa Rica,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
227,2027,,,1.72,1.74,1.69,1.81
228,2028,,,1.75,1.76,1.72,1.84
229,2029,,,1.77,1.79,1.75,1.87
230,2030,,,1.79,1.81,1.79,1.91
231,2031,,,1.82,1.84,1.82,1.94
232,2032,,,1.84,1.87,1.85,1.98
233,2033,,,1.86,1.9,1.88,2.01
234,2034,,,1.88,1.92,1.91,2.05
235,2035,,,1.9,1.95,1.95,2.09
236,2036,,,1.92,1.97,1.98,2.13
237,2037,,,1.94,1.99,2.01,2.17
238,2038,,,1.96,2.02,2.04,2.21
239,2039,,,1.97,2.04,2.07,2.26
240,2040,,,1.99,2.06,2.1,2.31
241,2041,,,2.0,2.09,2.13,2.35
242,2042,,,2.02,2.12,2.16,2.4
243,2043,,,2.04,2.14,2.2,2.44
244,2044,,,2.05,2.17,2.23,2.49
245,2045,,,2.07,2.2,2.27,2.53
246,2046,,,2.08,2.23,2.31,2.58
247,2047,,,2.09,2.26,2.35,2.62
248,2048,,,2.1,2.29,2.39,2.66
249,2049,,,2.1,2.32,2.43,2.7
250,2050,,,2.11,2.35,2.47,2.75
251,2051,,,2.12,2.38,2.51,2.79
252,2052,,,2.13,2.41,2.55,2.84
253,2053,,,2.14,2.44,2.59,2.89
254,2054,,,2.15,2.47,2.63,2.94
255,2055,,,2.15,2.5,2.67,2.99
256,2056,,,2.16,2.52,2.71,3.04
257,2057,,,2.16,2.54,2.75,3.09
258,2058,,,2.17,2.56,2.78,3.14
259,2059,,,2.18,2.58,2.82,3.2
260,2060,,,2.19,2.6,2.85,3.25
261,2061,,,2.19,2.62,2.89,3.3
262,2062,,,2.2,2.64,2.93,3.35
263,2063,,,2.2,2.66,2.97,3.4
264,2064,,,2.2,2.67,3.01,3.46
265,2065,,,2.2,2.68,3.05,3.51
266,2066,,,2.2,2.7,3.09,3.57
267,2067,,,2.2,2.72,3.13,3.62
268,2068,,,2.2,2.74,3.17,3.68
269,2069,,,2.2,2.75,3.21,3.73
270,2070,,,2.21,2.77,3.25,3.79
271,2071,,,2.21,2.79,3.29,3.84
272,2072,,,2.21,2.8,3.33,3.9
273,2073,,,2.21,2.81,3.37,3.95
274,2074,,,2.21,2.83,3.41,4.01
275,2075,,,2.21,2.84,3.45,4.06
276,2076,,,2.21,2.86,3.49,4.11
277,2077,,,2.21,2.88,3.53,4.17
278,2078,,,2.22,2.9,3.58,4.22
279,2079,,,2.22,2.91,3.62,4.28
280,2080,,,2.22,2.93,3.66,4.33
281,2081,,,2.22,2.95,3.7,4.39
282,2082,,,2.22,2.96,3.74,4.45
283,2083,,,2.22,2.98,3.79,4.5
284,2084,,,2.22,3.0,3.83,4.56
285,2085,,,2.21,3.01,3.87,4.62
286,2086,,,2.21,3.03,3.91,4.68
287,2087,,,2.2,3.05,3.95,4.74
288,2088,,,2.2,3.06,3.99,4.8
289,2089,,,2.19,3.08,4.03,4.86
290,2090,,,2.18,3.09,4.07,4.92
291,2091,,,2.17,3.11,4.11,4.97
292,2092,,,2.17,3.12,4.15,5.03
293,2093,,,2.17,3.13,4.2,5.09
294,2094,,,2.17,3.14,4.24,5.15
295,2095,,,2.17,3.16,4.29,5.2
296,2096,,,2.17,3.17,4.33,5.26
297,2097,,,2.17,3.18,4.38,5.32
298,2098,,,2.17,3.2,4.42,5.38
299,2099,,,2.17,3.21,4.47,5.43
300,2100,,,2.17,3.22,4.51,5.49
