Taiwan,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
121,1921,-0.2861290322580645,-0.24,,,,
122,1922,-0.026129032258064455,-0.26,,,,
123,1923,-0.23612903225806448,-0.25,,,,
124,1924,-0.19612903225806444,-0.22,,,,
125,1925,-0.5761290322580644,-0.19,,,,
126,1926,-0.2561290322580645,-0.16,,,,
127,1927,-0.44612903225806444,-0.14,,,,
128,1928,0.003870967741935516,-0.12,,,,
129,1929,-0.05612903225806448,-0.09,,,,
130,1930,0.23387096774193553,-0.06,,,,
131,1931,0.28387096774193554,-0.02,,,,
132,1932,-0.23612903225806448,0.02,,,,
133,1933,0.13387096774193552,0.06,,,,
134,1934,-0.2661290322580645,0.09,,,,
135,1935,0.20387096774193553,0.11,,,,
136,1936,-0.08612903225806445,0.13,,,,
137,1937,0.5138709677419355,0.15,,,,
138,1938,0.42387096774193556,0.17,,,,
139,1939,-0.10612903225806447,0.19,,,,
140,1940,-0.016129032258064446,0.21,,,,
141,1941,0.7238709677419355,0.22,,,,
142,1942,0.5238709677419355,0.24,,,,
143,1943,0.07387096774193552,0.25,,,,
144,1944,0.20387096774193553,0.26,,,,
145,1945,-0.1461290322580645,0.27,,,,
146,1946,0.7338709677419355,0.29,,,,
147,1947,-0.1361290322580645,0.32,,,,
148,1948,0.4338709677419355,0.34,,,,
149,1949,0.5138709677419355,0.36,,,,
150,1950,0.18387096774193554,0.38,,,,
151,1951,0.29387096774193555,0.39,,,,
152,1952,0.7238709677419355,0.41,,,,
153,1953,0.5738709677419356,0.42,,,,
154,1954,0.7738709677419355,0.43,,,,
155,1955,0.16387096774193552,0.45,,,,
156,1956,0.3138709677419355,0.45,,,,
157,1957,0.23387096774193553,0.45,,,,
158,1958,0.3838709677419355,0.44,,,,
159,1959,0.6838709677419355,0.43,,,,
160,1960,0.6538709677419355,0.42,,,,
161,1961,0.6038709677419355,0.42,,,,
162,1962,0.14387096774193553,0.41,,,,
163,1963,0.17387096774193553,0.39,,,,
164,1964,0.5538709677419356,0.37,,,,
165,1965,0.3738709677419355,0.34,,,,
166,1966,0.8338709677419356,0.31,,,,
167,1967,0.14387096774193553,0.29,,,,
168,1968,-0.1261290322580645,0.29,,,,
169,1969,0.21387096774193554,0.28,,,,
170,1970,0.28387096774193554,0.28,,,,
171,1971,0.09387096774193554,0.28,,,,
172,1972,0.21387096774193554,0.29,,,,
173,1973,0.5738709677419356,0.31,,,,
174,1974,0.3138709677419355,0.33,,,,
175,1975,0.46387096774193554,0.36,,,,
176,1976,0.023870967741935534,0.38,,,,
177,1977,0.6438709677419355,0.39,,,,
178,1978,0.3838709677419355,0.4,,,,
179,1979,0.47387096774193554,0.4,,,,
180,1980,0.5938709677419356,0.4,,,,
181,1981,0.3238709677419355,0.39,,,,
182,1982,0.33387096774193553,0.39,,,,
183,1983,0.6238709677419355,0.4,,,,
184,1984,0.1138709677419355,0.4,,,,
185,1985,0.27387096774193553,0.41,,,,
186,1986,0.07387096774193552,0.43,,,,
187,1987,0.6638709677419355,0.44,,,,
188,1988,0.4938709677419355,0.47,,,,
189,1989,0.34387096774193554,0.5,,,,
190,1990,0.6538709677419355,0.53,,,,
191,1991,0.8038709677419356,0.56,,,,
192,1992,0.29387096774193555,0.6,,,,
193,1993,0.7038709677419355,0.64,,,,
194,1994,1.0238709677419355,0.68,,,,
195,1995,0.3838709677419355,0.72,,,,
196,1996,0.5638709677419356,0.77,,,,
197,1997,0.6738709677419356,0.82,,,,
198,1998,1.6438709677419356,0.86,,,,
199,1999,0.9038709677419355,0.9,,,,
200,2000,0.9038709677419355,0.94,,,,
201,2001,1.0538709677419356,0.98,,,,
202,2002,1.4138709677419357,1.02,,,,
203,2003,1.1638709677419357,1.06,,,,
204,2004,0.9538709677419356,1.08,,,,
205,2005,0.8138709677419356,1.08,1.08,1.1,1.14,1.1
206,2006,1.3138709677419356,1.07,1.11,1.12,1.16,1.12
207,2007,1.2838709677419355,1.07,1.14,1.15,1.18,1.15
208,2008,0.9438709677419356,1.07,1.16,1.17,1.2,1.17
209,2009,1.1738709677419354,1.08,1.19,1.2,1.22,1.2
210,2010,1.0438709677419356,1.1,1.22,1.23,1.24,1.22
211,2011,0.5238709677419355,1.14,1.25,1.25,1.26,1.25
212,2012,0.9038709677419355,1.18,1.28,1.28,1.28,1.28
213,2013,1.0838709677419356,1.25,1.31,1.31,1.3,1.3
214,2014,1.1638709677419357,1.31,1.34,1.33,1.32,1.33
215,2015,1.4838709677419355,1.38,1.37,1.36,1.34,1.36
216,2016,1.6238709677419356,1.45,1.4,1.39,1.37,1.39
217,2017,1.5838709677419356,1.53,1.43,1.42,1.39,1.42
218,2018,1.4438709677419355,1.61,1.47,1.45,1.43,1.46
219,2019,1.7538709677419355,1.69,1.5,1.49,1.46,1.49
220,2020,1.8638709677419354,1.77,1.54,1.52,1.49,1.53
221,2021,,,1.57,1.55,1.53,1.56
222,2022,,,1.59,1.58,1.56,1.6
223,2023,,,1.62,1.6,1.59,1.63
224,2024,,,1.64,1.63,1.63,1.67
225,2025,,,1.67,1.66,1.66,1.7
226,2026,,,1.69,1.69,1.7,1.73
227,2027,,,1.72,1.71,1.73,1.76
228,2028,,,1.74,1.74,1.76,1.79
229,2029,,,1.76,1.76,1.8,1.82
230,2030,,,1.79,1.79,1.83,1.85
231,2031,,,1.81,1.81,1.86,1.88
232,2032,,,1.83,1.84,1.89,1.92
233,2033,,,1.86,1.86,1.91,1.96
234,2034,,,1.88,1.89,1.94,2.0
235,2035,,,1.9,1.91,1.97,2.04
236,2036,,,1.92,1.94,1.99,2.08
237,2037,,,1.94,1.96,2.02,2.13
238,2038,,,1.95,1.99,2.06,2.17
239,2039,,,1.97,2.02,2.09,2.22
240,2040,,,1.98,2.04,2.12,2.26
241,2041,,,1.99,2.07,2.15,2.31
242,2042,,,2.0,2.1,2.18,2.35
243,2043,,,2.02,2.12,2.21,2.39
244,2044,,,2.03,2.15,2.24,2.42
245,2045,,,2.04,2.17,2.27,2.46
246,2046,,,2.05,2.19,2.31,2.5
247,2047,,,2.06,2.22,2.34,2.54
248,2048,,,2.07,2.24,2.37,2.58
249,2049,,,2.08,2.26,2.4,2.63
250,2050,,,2.09,2.28,2.44,2.67
251,2051,,,2.09,2.31,2.47,2.71
252,2052,,,2.1,2.33,2.51,2.76
253,2053,,,2.11,2.36,2.54,2.8
254,2054,,,2.12,2.38,2.58,2.84
255,2055,,,2.12,2.41,2.62,2.88
256,2056,,,2.13,2.43,2.66,2.92
257,2057,,,2.14,2.45,2.69,2.97
258,2058,,,2.15,2.47,2.72,3.01
259,2059,,,2.16,2.49,2.75,3.05
260,2060,,,2.17,2.5,2.78,3.09
261,2061,,,2.18,2.51,2.81,3.14
262,2062,,,2.18,2.53,2.85,3.19
263,2063,,,2.18,2.54,2.88,3.23
264,2064,,,2.18,2.55,2.91,3.28
265,2065,,,2.19,2.57,2.94,3.33
266,2066,,,2.19,2.58,2.97,3.38
267,2067,,,2.19,2.6,3.0,3.43
268,2068,,,2.19,2.62,3.04,3.48
269,2069,,,2.19,2.63,3.07,3.53
270,2070,,,2.2,2.66,3.11,3.58
271,2071,,,2.2,2.68,3.15,3.63
272,2072,,,2.2,2.7,3.18,3.68
273,2073,,,2.2,2.73,3.22,3.74
274,2074,,,2.2,2.75,3.26,3.79
275,2075,,,2.2,2.76,3.29,3.84
276,2076,,,2.21,2.78,3.33,3.89
277,2077,,,2.21,2.8,3.37,3.94
278,2078,,,2.2,2.82,3.41,3.99
279,2079,,,2.2,2.83,3.45,4.04
280,2080,,,2.2,2.84,3.49,4.1
281,2081,,,2.2,2.85,3.53,4.15
282,2082,,,2.19,2.86,3.57,4.2
283,2083,,,2.19,2.88,3.61,4.25
284,2084,,,2.19,2.89,3.65,4.31
285,2085,,,2.18,2.9,3.69,4.36
286,2086,,,2.18,2.91,3.72,4.42
287,2087,,,2.18,2.92,3.76,4.47
288,2088,,,2.18,2.93,3.8,4.53
289,2089,,,2.17,2.94,3.83,4.59
290,2090,,,2.17,2.96,3.87,4.65
291,2091,,,2.17,2.97,3.9,4.7
292,2092,,,2.17,2.98,3.94,4.76
293,2093,,,2.17,2.99,3.98,4.82
294,2094,,,2.17,3.0,4.02,4.87
295,2095,,,2.17,3.01,4.06,4.93
296,2096,,,2.17,3.02,4.09,4.98
297,2097,,,2.17,3.03,4.13,5.04
298,2098,,,2.17,3.04,4.17,5.1
299,2099,,,2.17,3.05,4.21,5.15
300,2100,,,2.17,3.06,4.25,5.21
