Antarctica,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
228,2028,,,1.79,1.8,1.82,1.82
229,2029,,,1.82,1.83,1.86,1.85
230,2030,,,1.85,1.86,1.9,1.89
231,2031,,,1.87,1.89,1.94,1.93
232,2032,,,1.89,1.91,1.98,1.97
233,2033,,,1.92,1.94,2.02,2.02
234,2034,,,1.94,1.97,2.06,2.06
235,2035,,,1.96,1.99,2.1,2.11
236,2036,,,1.97,2.02,2.14,2.16
237,2037,,,1.99,2.05,2.18,2.21
238,2038,,,2.01,2.08,2.22,2.26
239,2039,,,2.03,2.11,2.26,2.31
240,2040,,,2.05,2.14,2.3,2.37
241,2041,,,2.07,2.17,2.34,2.43
242,2042,,,2.09,2.2,2.38,2.49
243,2043,,,2.11,2.24,2.42,2.55
244,2044,,,2.12,2.28,2.45,2.61
245,2045,,,2.14,2.31,2.48,2.67
246,2046,,,2.15,2.35,2.51,2.73
247,2047,,,2.17,2.39,2.54,2.8
248,2048,,,2.18,2.42,2.58,2.86
249,2049,,,2.19,2.46,2.62,2.92
250,2050,,,2.2,2.49,2.66,2.99
251,2051,,,2.21,2.53,2.71,3.06
252,2052,,,2.22,2.56,2.76,3.13
253,2053,,,2.22,2.6,2.81,3.19
254,2054,,,2.23,2.63,2.87,3.26
255,2055,,,2.24,2.66,2.93,3.33
256,2056,,,2.24,2.7,3.0,3.39
257,2057,,,2.25,2.73,3.06,3.46
258,2058,,,2.26,2.76,3.12,3.52
259,2059,,,2.27,2.78,3.18,3.58
260,2060,,,2.28,2.81,3.24,3.64
261,2061,,,2.3,2.83,3.3,3.7
262,2062,,,2.31,2.86,3.36,3.75
263,2063,,,2.32,2.88,3.42,3.82
264,2064,,,2.34,2.91,3.47,3.88
265,2065,,,2.35,2.94,3.52,3.95
266,2066,,,2.37,2.96,3.57,4.02
267,2067,,,2.38,2.99,3.62,4.08
268,2068,,,2.39,3.02,3.67,4.15
269,2069,,,2.39,3.04,3.73,4.23
270,2070,,,2.39,3.07,3.78,4.31
271,2071,,,2.4,3.1,3.82,4.39
272,2072,,,2.4,3.13,3.87,4.47
273,2073,,,2.41,3.16,3.91,4.55
274,2074,,,2.41,3.18,3.95,4.62
275,2075,,,2.42,3.21,4.0,4.7
276,2076,,,2.42,3.23,4.04,4.78
277,2077,,,2.42,3.26,4.09,4.86
278,2078,,,2.42,3.28,4.14,4.94
279,2079,,,2.42,3.3,4.19,5.02
280,2080,,,2.43,3.32,4.24,5.11
