Fiji,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
240,2040,,,1.88,1.96,2.03,2.14
241,2041,,,1.89,1.98,2.06,2.18
242,2042,,,1.9,2.0,2.09,2.21
243,2043,,,1.91,2.02,2.12,2.25
244,2044,,,1.92,2.04,2.15,2.28
245,2045,,,1.93,2.06,2.18,2.32
246,2046,,,1.94,2.08,2.21,2.35
247,2047,,,1.95,2.1,2.24,2.39
248,2048,,,1.96,2.13,2.27,2.43
249,2049,,,1.97,2.15,2.3,2.46
250,2050,,,1.97,2.17,2.33,2.5
251,2051,,,1.98,2.2,2.36,2.54
252,2052,,,1.98,2.22,2.4,2.58
253,2053,,,1.98,2.24,2.43,2.62
254,2054,,,1.99,2.26,2.46,2.66
255,2055,,,1.99,2.28,2.49,2.7
256,2056,,,2.0,2.31,2.52,2.74
257,2057,,,2.0,2.33,2.55,2.77
258,2058,,,2.01,2.35,2.58,2.81
259,2059,,,2.01,2.36,2.61,2.84
260,2060,,,2.02,2.38,2.64,2.88
261,2061,,,2.02,2.39,2.67,2.92
262,2062,,,2.03,2.41,2.69,2.96
263,2063,,,2.04,2.42,2.72,2.99
264,2064,,,2.05,2.44,2.75,3.03
265,2065,,,2.05,2.45,2.77,3.07
266,2066,,,2.05,2.46,2.8,3.11
267,2067,,,2.06,2.47,2.83,3.16
268,2068,,,2.06,2.49,2.86,3.2
269,2069,,,2.06,2.5,2.89,3.25
270,2070,,,2.06,2.51,2.92,3.29
271,2071,,,2.05,2.53,2.95,3.34
272,2072,,,2.05,2.54,2.98,3.38
273,2073,,,2.04,2.56,3.02,3.43
274,2074,,,2.04,2.58,3.05,3.47
275,2075,,,2.03,2.59,3.08,3.52
276,2076,,,2.03,2.6,3.11,3.57
277,2077,,,2.02,2.62,3.14,3.62
278,2078,,,2.02,2.63,3.18,3.67
279,2079,,,2.01,2.64,3.21,3.72
280,2080,,,2.01,2.65,3.25,3.77
281,2081,,,2.01,2.66,3.28,3.81
282,2082,,,2.01,2.67,3.31,3.86
283,2083,,,2.01,2.68,3.35,3.91
284,2084,,,2.01,2.69,3.38,3.96
285,2085,,,2.01,2.69,3.42,4.01
286,2086,,,2.01,2.7,3.45,4.05
287,2087,,,2.02,2.71,3.49,4.1
288,2088,,,2.02,2.72,3.52,4.15
289,2089,,,2.02,2.73,3.56,4.2
290,2090,,,2.02,2.74,3.59,4.24
291,2091,,,2.02,2.75,3.63,4.29
292,2092,,,2.01,2.76,3.66,4.34
293,2093,,,2.01,2.77,3.7,4.39
294,2094,,,2.0,2.78,3.73,4.44
295,2095,,,2.0,2.79,3.76,4.49
296,2096,,,1.99,2.8,3.8,4.54
297,2097,,,1.98,2.81,3.83,4.59
298,2098,,,1.98,2.82,3.86,4.64
299,2099,,,1.97,2.83,3.89,4.69
300,2100,,,1.96,2.84,3.93,4.74
