Bangladesh,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
155,1955,0.4236666666666666,0.51,,,,
156,1956,0.3536666666666666,0.52,,,,
157,1957,0.6136666666666666,0.52,,,,
158,1958,1.1436666666666666,0.52,,,,
159,1959,0.3236666666666666,0.51,,,,
160,1960,0.7936666666666665,0.51,,,,
161,1961,0.4236666666666666,0.51,,,,
162,1962,0.3536666666666666,0.5,,,,
163,1963,0.4336666666666666,0.49,,,,
164,1964,0.6436666666666666,0.48,,,,
165,1965,0.3736666666666666,0.47,,,,
166,1966,0.8336666666666666,0.46,,,,
167,1967,0.3236666666666666,0.45,,,,
168,1968,0.2636666666666666,0.44,,,,
169,1969,0.5436666666666666,0.44,,,,
170,1970,0.4936666666666666,0.43,,,,
171,1971,-0.1263333333333334,0.42,,,,
172,1972,0.4636666666666666,0.42,,,,
173,1973,0.5636666666666665,0.42,,,,
174,1974,0.2736666666666666,0.43,,,,
175,1975,0.4636666666666666,0.44,,,,
176,1976,0.4936666666666666,0.45,,,,
177,1977,0.33366666666666656,0.45,,,,
178,1978,0.33366666666666656,0.46,,,,
179,1979,1.1036666666666666,0.47,,,,
180,1980,0.7036666666666667,0.49,,,,
181,1981,0.3236666666666666,0.51,,,,
182,1982,0.5036666666666666,0.54,,,,
183,1983,0.4136666666666666,0.56,,,,
184,1984,0.3836666666666666,0.58,,,,
185,1985,0.7236666666666666,0.59,,,,
186,1986,0.6236666666666666,0.6,,,,
187,1987,0.9436666666666667,0.6,,,,
188,1988,0.9836666666666666,0.61,,,,
189,1989,0.5536666666666666,0.63,,,,
190,1990,0.5436666666666666,0.64,,,,
191,1991,0.5336666666666666,0.65,,,,
192,1992,0.5436666666666666,0.66,,,,
193,1993,0.4436666666666666,0.67,,,,
194,1994,0.6736666666666666,0.69,,,,
195,1995,0.8436666666666666,0.71,,,,
196,1996,0.8636666666666666,0.74,,,,
197,1997,0.2836666666666666,0.77,,,,
198,1998,0.9636666666666667,0.8,,,,
199,1999,1.1536666666666666,0.83,,,,
200,2000,0.6136666666666666,0.87,,,,
201,2001,0.9436666666666667,0.9,,,,
202,2002,0.9436666666666667,0.93,,,,
203,2003,0.7836666666666666,0.96,,,,
204,2004,0.8736666666666666,0.99,,,,
205,2005,1.1036666666666666,1.02,0.97,0.99,1.02,0.99
206,2006,1.4036666666666666,1.04,1.0,1.02,1.05,1.02
207,2007,0.9336666666666666,1.06,1.03,1.04,1.07,1.05
208,2008,0.9536666666666667,1.08,1.06,1.07,1.1,1.08
209,2009,1.4936666666666665,1.1,1.09,1.1,1.12,1.1
210,2010,1.5336666666666665,1.13,1.12,1.13,1.14,1.13
211,2011,0.8136666666666665,1.16,1.15,1.16,1.17,1.16
212,2012,0.8836666666666666,1.19,1.18,1.18,1.19,1.19
213,2013,1.0236666666666667,1.21,1.21,1.21,1.21,1.21
214,2014,1.2336666666666667,1.24,1.24,1.24,1.24,1.24
215,2015,1.2636666666666665,1.26,1.27,1.27,1.26,1.27
216,2016,1.7736666666666667,1.28,1.3,1.3,1.28,1.3
217,2017,1.4636666666666667,1.3,1.33,1.32,1.3,1.32
218,2018,1.1736666666666666,1.33,1.36,1.35,1.31,1.34
219,2019,1.4936666666666665,1.36,1.39,1.37,1.33,1.36
220,2020,1.2236666666666665,1.38,1.42,1.39,1.35,1.38
221,2021,,,1.46,1.41,1.37,1.41
222,2022,,,1.49,1.43,1.4,1.43
223,2023,,,1.52,1.46,1.43,1.45
224,2024,,,1.55,1.48,1.46,1.48
225,2025,,,1.58,1.5,1.48,1.5
226,2026,,,1.61,1.52,1.51,1.53
227,2027,,,1.64,1.54,1.54,1.55
228,2028,,,1.66,1.56,1.56,1.58
229,2029,,,1.69,1.58,1.59,1.62
230,2030,,,1.72,1.61,1.63,1.65
231,2031,,,1.75,1.63,1.66,1.69
232,2032,,,1.78,1.66,1.69,1.73
233,2033,,,1.81,1.69,1.72,1.78
234,2034,,,1.84,1.71,1.76,1.82
235,2035,,,1.87,1.74,1.79,1.87
236,2036,,,1.91,1.77,1.83,1.91
237,2037,,,1.94,1.81,1.86,1.96
238,2038,,,1.97,1.84,1.9,2.02
239,2039,,,2.0,1.88,1.93,2.07
240,2040,,,2.03,1.92,1.96,2.13
241,2041,,,2.05,1.96,1.99,2.19
242,2042,,,2.07,2.0,2.02,2.24
243,2043,,,2.08,2.03,2.04,2.3
244,2044,,,2.1,2.07,2.07,2.36
245,2045,,,2.12,2.11,2.1,2.42
246,2046,,,2.13,2.15,2.13,2.48
247,2047,,,2.14,2.19,2.17,2.54
248,2048,,,2.15,2.23,2.2,2.59
249,2049,,,2.16,2.26,2.24,2.65
250,2050,,,2.18,2.29,2.28,2.7
251,2051,,,2.19,2.32,2.32,2.76
252,2052,,,2.21,2.36,2.36,2.82
253,2053,,,2.23,2.39,2.41,2.87
254,2054,,,2.25,2.43,2.45,2.93
255,2055,,,2.26,2.46,2.5,2.98
256,2056,,,2.28,2.49,2.55,3.04
257,2057,,,2.29,2.52,2.6,3.09
258,2058,,,2.31,2.55,2.65,3.15
259,2059,,,2.32,2.58,2.7,3.22
260,2060,,,2.33,2.61,2.75,3.28
261,2061,,,2.35,2.63,2.79,3.34
262,2062,,,2.35,2.65,2.84,3.41
263,2063,,,2.36,2.68,2.89,3.47
264,2064,,,2.36,2.7,2.93,3.53
265,2065,,,2.37,2.72,2.97,3.6
266,2066,,,2.37,2.74,3.01,3.67
267,2067,,,2.38,2.76,3.04,3.73
268,2068,,,2.39,2.78,3.08,3.8
269,2069,,,2.39,2.8,3.11,3.87
270,2070,,,2.4,2.82,3.15,3.94
271,2071,,,2.4,2.84,3.18,4.01
272,2072,,,2.41,2.86,3.22,4.08
273,2073,,,2.41,2.88,3.26,4.15
274,2074,,,2.41,2.9,3.3,4.23
275,2075,,,2.41,2.91,3.35,4.3
276,2076,,,2.41,2.93,3.4,4.37
277,2077,,,2.41,2.96,3.45,4.44
278,2078,,,2.41,2.98,3.51,4.52
279,2079,,,2.41,3.01,3.57,4.59
280,2080,,,2.41,3.03,3.63,4.67
281,2081,,,2.41,3.06,3.7,4.74
282,2082,,,2.41,3.08,3.76,4.81
283,2083,,,2.4,3.11,3.83,4.88
284,2084,,,2.4,3.14,3.9,4.96
285,2085,,,2.39,3.16,3.96,5.03
286,2086,,,2.39,3.19,4.02,5.1
287,2087,,,2.38,3.21,4.08,5.18
288,2088,,,2.36,3.23,4.13,5.25
289,2089,,,2.35,3.25,4.19,5.33
290,2090,,,2.34,3.27,4.24,5.41
291,2091,,,2.33,3.28,4.29,5.49
292,2092,,,2.33,3.29,4.34,5.57
293,2093,,,2.34,3.3,4.39,5.64
294,2094,,,2.34,3.31,4.45,5.72
295,2095,,,2.35,3.31,4.5,5.8
296,2096,,,2.35,3.32,4.55,5.87
297,2097,,,2.35,3.33,4.61,5.95
298,2098,,,2.36,3.33,4.66,6.03
299,2099,,,2.37,3.34,4.72,6.11
300,2100,,,2.37,3.34,4.77,6.19
