Afghanistan,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
123,1923,-0.3151612903225806,0.09,,,,
124,1924,-0.03516129032258064,0.06,,,,
125,1925,0.32483870967741935,0.03,,,,
126,1926,0.08483870967741935,0.01,,,,
127,1927,0.14483870967741935,-0.03,,,,
128,1928,-0.12516129032258067,-0.06,,,,
129,1929,-0.25516129032258067,-0.09,,,,
130,1930,-0.35516129032258065,-0.12,,,,
131,1931,-0.3051612903225806,-0.13,,,,
132,1932,-0.09516129032258064,-0.13,,,,
133,1933,0.12483870967741939,-0.1,,,,
134,1934,-0.4451612903225806,-0.06,,,,
135,1935,-0.47516129032258064,0.01,,,,
136,1936,0.20483870967741938,0.08,,,,
137,1937,-0.2751612903225806,0.14,,,,
138,1938,0.4448387096774194,0.2,,,,
139,1939,0.3548387096774194,0.25,,,,
140,1940,0.9348387096774193,0.31,,,,
141,1941,1.7948387096774194,0.37,,,,
142,1942,0.6748387096774193,0.43,,,,
143,1943,-0.09516129032258064,0.46,,,,
144,1944,0.5448387096774194,0.47,,,,
145,1945,0.0748387096774194,0.45,,,,
146,1946,0.8148387096774194,0.43,,,,
147,1947,1.2448387096774194,0.42,,,,
148,1948,0.5648387096774194,0.42,,,,
149,1949,-0.4351612903225806,0.43,,,,
150,1950,-0.7151612903225806,0.44,,,,
151,1951,0.2648387096774194,0.45,,,,
152,1952,0.45483870967741935,0.46,,,,
153,1953,0.9148387096774193,0.47,,,,
154,1954,0.014838709677419404,0.47,,,,
155,1955,0.9848387096774194,0.49,,,,
156,1956,0.5648387096774194,0.5,,,,
157,1957,-0.8051612903225807,0.51,,,,
158,1958,1.0248387096774194,0.51,,,,
159,1959,0.5348387096774194,0.49,,,,
160,1960,0.3148387096774194,0.48,,,,
161,1961,0.4448387096774194,0.45,,,,
162,1962,0.14483870967741935,0.42,,,,
163,1963,1.3748387096774193,0.39,,,,
164,1964,-0.5651612903225807,0.38,,,,
165,1965,0.40483870967741936,0.38,,,,
166,1966,0.7048387096774194,0.39,,,,
167,1967,0.034838709677419366,0.41,,,,
168,1968,0.17483870967741938,0.41,,,,
169,1969,0.0748387096774194,0.4,,,,
170,1970,1.0948387096774195,0.4,,,,
171,1971,1.2348387096774194,0.41,,,,
172,1972,-1.0351612903225806,0.44,,,,
173,1973,0.7248387096774194,0.48,,,,
174,1974,-0.20516129032258063,0.52,,,,
175,1975,0.024838709677419357,0.56,,,,
176,1976,0.14483870967741935,0.59,,,,
177,1977,1.1948387096774193,0.6,,,,
178,1978,0.7048387096774194,0.62,,,,
179,1979,0.6248387096774194,0.65,,,,
180,1980,1.2248387096774194,0.7,,,,
181,1981,1.1448387096774193,0.74,,,,
182,1982,0.034838709677419366,0.78,,,,
183,1983,0.9048387096774193,0.8,,,,
184,1984,0.5048387096774194,0.8,,,,
185,1985,1.0848387096774195,0.79,,,,
186,1986,0.3748387096774194,0.77,,,,
187,1987,1.1248387096774193,0.74,,,,
188,1988,1.5048387096774194,0.73,,,,
189,1989,0.23483870967741938,0.72,,,,
190,1990,1.1148387096774193,0.73,,,,
191,1991,0.4448387096774194,0.73,,,,
192,1992,0.1348387096774194,0.75,,,,
193,1993,0.5648387096774194,0.78,,,,
194,1994,0.8748387096774194,0.83,,,,
195,1995,0.9048387096774193,0.91,,,,
196,1996,0.5248387096774194,1.0,,,,
197,1997,0.9048387096774193,1.1,,,,
198,1998,1.3148387096774194,1.2,,,,
199,1999,1.5248387096774194,1.29,,,,
200,2000,1.6648387096774193,1.37,,,,
201,2001,1.9948387096774194,1.44,,,,
202,2002,1.7348387096774194,1.49,,,,
203,2003,1.1148387096774193,1.52,,,,
204,2004,2.0048387096774194,1.55,,,,
205,2005,1.0648387096774194,1.55,1.32,1.3,1.36,1.32
206,2006,2.0748387096774192,1.55,1.36,1.34,1.39,1.35
207,2007,1.2848387096774194,1.53,1.39,1.38,1.42,1.39
208,2008,1.3348387096774195,1.52,1.43,1.42,1.45,1.42
209,2009,1.3548387096774195,1.51,1.47,1.46,1.48,1.46
210,2010,1.9448387096774193,1.53,1.5,1.49,1.51,1.5
211,2011,1.6048387096774193,1.56,1.54,1.53,1.55,1.54
212,2012,0.6748387096774193,1.6,1.57,1.57,1.58,1.57
213,2013,1.8248387096774192,1.62,1.61,1.61,1.61,1.61
214,2014,0.9948387096774194,1.63,1.65,1.65,1.64,1.65
215,2015,1.6848387096774193,1.64,1.69,1.69,1.68,1.69
216,2016,2.4048387096774193,1.65,1.73,1.74,1.72,1.74
217,2017,1.8548387096774193,1.67,1.78,1.79,1.76,1.78
218,2018,2.1348387096774193,1.68,1.82,1.84,1.8,1.83
219,2019,1.5648387096774192,1.7,1.87,1.89,1.84,1.88
220,2020,0.8148387096774194,1.71,1.91,1.94,1.88,1.93
221,2021,,,1.96,1.99,1.93,1.98
222,2022,,,2.0,2.04,1.98,2.03
223,2023,,,2.05,2.08,2.03,2.08
224,2024,,,2.1,2.12,2.08,2.14
225,2025,,,2.15,2.17,2.12,2.2
226,2026,,,2.19,2.21,2.17,2.25
227,2027,,,2.24,2.25,2.22,2.31
228,2028,,,2.28,2.28,2.27,2.37
229,2029,,,2.31,2.31,2.32,2.42
230,2030,,,2.35,2.34,2.37,2.48
231,2031,,,2.38,2.37,2.42,2.53
232,2032,,,2.41,2.4,2.47,2.59
233,2033,,,2.44,2.44,2.51,2.65
234,2034,,,2.47,2.48,2.56,2.7
235,2035,,,2.49,2.52,2.61,2.76
236,2036,,,2.51,2.56,2.66,2.82
237,2037,,,2.53,2.59,2.71,2.88
238,2038,,,2.55,2.63,2.76,2.94
239,2039,,,2.57,2.67,2.81,3.01
240,2040,,,2.6,2.71,2.86,3.08
241,2041,,,2.63,2.75,2.92,3.15
242,2042,,,2.66,2.79,2.98,3.22
243,2043,,,2.68,2.84,3.04,3.29
244,2044,,,2.71,2.89,3.1,3.38
245,2045,,,2.74,2.94,3.16,3.46
246,2046,,,2.76,2.99,3.22,3.55
247,2047,,,2.78,3.04,3.27,3.63
248,2048,,,2.8,3.09,3.33,3.72
249,2049,,,2.82,3.14,3.39,3.79
250,2050,,,2.83,3.19,3.44,3.87
251,2051,,,2.84,3.23,3.49,3.95
252,2052,,,2.85,3.28,3.55,4.03
253,2053,,,2.86,3.32,3.6,4.1
254,2054,,,2.87,3.35,3.66,4.18
255,2055,,,2.88,3.38,3.71,4.26
256,2056,,,2.89,3.41,3.77,4.33
257,2057,,,2.9,3.44,3.84,4.4
258,2058,,,2.91,3.47,3.89,4.48
259,2059,,,2.92,3.5,3.95,4.56
260,2060,,,2.92,3.54,4.01,4.64
261,2061,,,2.93,3.57,4.06,4.72
262,2062,,,2.93,3.61,4.12,4.8
263,2063,,,2.93,3.65,4.18,4.89
264,2064,,,2.93,3.69,4.24,4.97
265,2065,,,2.93,3.73,4.31,5.05
266,2066,,,2.93,3.76,4.37,5.14
267,2067,,,2.93,3.8,4.43,5.22
268,2068,,,2.93,3.83,4.5,5.31
269,2069,,,2.93,3.85,4.56,5.4
270,2070,,,2.93,3.88,4.63,5.48
271,2071,,,2.93,3.89,4.7,5.57
272,2072,,,2.94,3.91,4.77,5.65
273,2073,,,2.94,3.92,4.83,5.74
274,2074,,,2.95,3.93,4.89,5.82
275,2075,,,2.95,3.94,4.95,5.91
276,2076,,,2.96,3.95,5.02,5.99
277,2077,,,2.96,3.97,5.08,6.08
278,2078,,,2.96,3.99,5.15,6.17
279,2079,,,2.96,4.02,5.21,6.26
280,2080,,,2.96,4.04,5.28,6.35
281,2081,,,2.96,4.07,5.35,6.45
282,2082,,,2.96,4.1,5.42,6.55
283,2083,,,2.96,4.12,5.49,6.65
284,2084,,,2.96,4.14,5.56,6.75
285,2085,,,2.95,4.17,5.63,6.86
286,2086,,,2.94,4.19,5.7,6.96
287,2087,,,2.93,4.21,5.77,7.06
288,2088,,,2.92,4.23,5.83,7.17
289,2089,,,2.91,4.25,5.9,7.27
290,2090,,,2.9,4.27,5.96,7.37
291,2091,,,2.89,4.28,6.02,7.47
292,2092,,,2.88,4.3,6.08,7.57
293,2093,,,2.87,4.31,6.15,7.66
294,2094,,,2.85,4.32,6.23,7.76
295,2095,,,2.84,4.34,6.3,7.86
296,2096,,,2.83,4.35,6.37,7.96
297,2097,,,2.82,4.37,6.44,8.06
298,2098,,,2.8,4.38,6.51,8.16
299,2099,,,2.79,4.4,6.58,8.26
300,2100,,,2.78,4.41,6.66,8.36
