Senegal,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
140,1940,0.4422727272727272,0.39,,,,
141,1941,0.7622727272727272,0.4,,,,
142,1942,0.47227272727272723,0.41,,,,
143,1943,0.1922727272727272,0.4,,,,
144,1944,0.6722727272727272,0.38,,,,
145,1945,0.6622727272727272,0.36,,,,
146,1946,0.23227272727272721,0.32,,,,
147,1947,0.3822727272727272,0.28,,,,
148,1948,-0.027727272727272767,0.25,,,,
149,1949,0.3222727272727272,0.21,,,,
150,1950,-0.007727272727272805,0.18,,,,
151,1951,0.1222727272727272,0.16,,,,
152,1952,-0.1377272727272728,0.15,,,,
153,1953,0.15227272727272723,0.15,,,,
154,1954,0.07227272727272721,0.16,,,,
155,1955,0.29227272727272724,0.18,,,,
156,1956,0.04227272727272724,0.21,,,,
157,1957,0.1222727272727272,0.25,,,,
158,1958,0.5922727272727273,0.28,,,,
159,1959,0.2622727272727272,0.31,,,,
160,1960,0.34227272727272723,0.33,,,,
161,1961,0.4022727272727272,0.34,,,,
162,1962,0.4922727272727272,0.34,,,,
163,1963,0.5522727272727272,0.35,,,,
164,1964,0.3822727272727272,0.37,,,,
165,1965,-0.047727272727272785,0.38,,,,
166,1966,0.5422727272727272,0.4,,,,
167,1967,-0.10772727272727278,0.42,,,,
168,1968,0.09227272727272723,0.43,,,,
169,1969,1.0322727272727272,0.43,,,,
170,1970,0.9022727272727272,0.43,,,,
171,1971,0.23227272727272721,0.45,,,,
172,1972,0.6322727272727272,0.49,,,,
173,1973,0.8622727272727272,0.54,,,,
174,1974,-0.10772727272727278,0.58,,,,
175,1975,0.15227272727272723,0.63,,,,
176,1976,0.07227272727272721,0.67,,,,
177,1977,0.9922727272727272,0.7,,,,
178,1978,0.6422727272727272,0.73,,,,
179,1979,1.0922727272727273,0.77,,,,
180,1980,1.082272727272727,0.81,,,,
181,1981,1.082272727272727,0.85,,,,
182,1982,0.4422727272727272,0.89,,,,
183,1983,1.542272727272727,0.92,,,,
184,1984,0.7922727272727272,0.94,,,,
185,1985,0.7122727272727272,0.95,,,,
186,1986,0.5822727272727273,0.96,,,,
187,1987,1.4522727272727272,0.97,,,,
188,1988,0.9822727272727272,0.99,,,,
189,1989,0.9322727272727273,1.02,,,,
190,1990,1.3222727272727273,1.05,,,,
191,1991,1.0122727272727272,1.1,,,,
192,1992,1.0322727272727272,1.14,,,,
193,1993,1.2022727272727272,1.18,,,,
194,1994,0.8322727272727273,1.2,,,,
195,1995,1.2022727272727272,1.23,,,,
196,1996,1.5522727272727272,1.25,,,,
197,1997,1.5322727272727272,1.27,,,,
198,1998,1.792272727272727,1.29,,,,
199,1999,0.7022727272727272,1.31,,,,
200,2000,1.0322727272727272,1.33,,,,
201,2001,1.522272727272727,1.34,,,,
202,2002,1.4822727272727274,1.34,,,,
203,2003,1.122272727272727,1.33,,,,
204,2004,1.2622727272727272,1.33,,,,
205,2005,1.5522727272727272,1.33,1.25,1.25,1.23,1.24
206,2006,1.2922727272727272,1.34,1.27,1.28,1.26,1.27
207,2007,1.4022727272727273,1.34,1.3,1.31,1.3,1.3
208,2008,1.3822727272727273,1.34,1.33,1.34,1.33,1.33
209,2009,0.9522727272727273,1.35,1.36,1.37,1.36,1.36
210,2010,1.772272727272727,1.36,1.39,1.39,1.4,1.39
211,2011,1.332272727272727,1.38,1.42,1.42,1.43,1.42
212,2012,1.0722727272727273,1.4,1.45,1.45,1.46,1.45
213,2013,1.392272727272727,1.44,1.48,1.48,1.49,1.48
214,2014,1.3022727272727272,1.48,1.51,1.51,1.52,1.51
215,2015,1.392272727272727,1.52,1.54,1.54,1.55,1.54
216,2016,1.8222727272727273,1.56,1.58,1.57,1.58,1.57
217,2017,1.852272727272727,1.6,1.61,1.6,1.61,1.61
218,2018,1.2722727272727272,1.65,1.64,1.64,1.64,1.64
219,2019,1.6322727272727273,1.7,1.68,1.68,1.67,1.68
220,2020,1.9722727272727272,1.75,1.72,1.71,1.7,1.72
221,2021,,,1.76,1.75,1.73,1.76
222,2022,,,1.8,1.79,1.76,1.8
223,2023,,,1.83,1.82,1.79,1.84
224,2024,,,1.87,1.85,1.82,1.88
225,2025,,,1.9,1.89,1.85,1.92
226,2026,,,1.93,1.92,1.87,1.97
227,2027,,,1.97,1.95,1.91,2.01
228,2028,,,2.0,1.99,1.94,2.05
229,2029,,,2.03,2.02,1.97,2.08
230,2030,,,2.07,2.05,2.01,2.12
231,2031,,,2.09,2.08,2.05,2.16
232,2032,,,2.12,2.11,2.08,2.2
233,2033,,,2.15,2.14,2.12,2.24
234,2034,,,2.17,2.18,2.16,2.29
235,2035,,,2.19,2.21,2.2,2.33
236,2036,,,2.22,2.25,2.24,2.37
237,2037,,,2.24,2.28,2.28,2.42
238,2038,,,2.26,2.31,2.32,2.47
239,2039,,,2.28,2.34,2.36,2.52
240,2040,,,2.29,2.37,2.4,2.57
241,2041,,,2.31,2.4,2.44,2.63
242,2042,,,2.32,2.43,2.48,2.68
243,2043,,,2.34,2.46,2.52,2.74
244,2044,,,2.35,2.49,2.56,2.79
245,2045,,,2.37,2.52,2.6,2.85
246,2046,,,2.38,2.55,2.65,2.91
247,2047,,,2.39,2.59,2.7,2.96
248,2048,,,2.4,2.62,2.76,3.02
249,2049,,,2.41,2.66,2.81,3.07
250,2050,,,2.42,2.69,2.85,3.12
251,2051,,,2.43,2.73,2.9,3.18
252,2052,,,2.44,2.77,2.95,3.23
253,2053,,,2.45,2.8,3.0,3.29
254,2054,,,2.46,2.84,3.05,3.35
255,2055,,,2.46,2.87,3.1,3.41
256,2056,,,2.47,2.91,3.15,3.47
257,2057,,,2.48,2.94,3.19,3.53
258,2058,,,2.49,2.97,3.24,3.6
259,2059,,,2.5,2.99,3.28,3.67
260,2060,,,2.5,3.02,3.32,3.73
261,2061,,,2.51,3.04,3.37,3.8
262,2062,,,2.52,3.07,3.42,3.86
263,2063,,,2.52,3.09,3.46,3.93
264,2064,,,2.53,3.11,3.51,3.99
265,2065,,,2.53,3.13,3.55,4.06
266,2066,,,2.54,3.15,3.59,4.13
267,2067,,,2.54,3.17,3.64,4.19
268,2068,,,2.54,3.19,3.68,4.26
269,2069,,,2.54,3.21,3.73,4.33
270,2070,,,2.54,3.24,3.79,4.4
271,2071,,,2.54,3.26,3.85,4.47
272,2072,,,2.54,3.28,3.9,4.54
273,2073,,,2.54,3.3,3.95,4.61
274,2074,,,2.54,3.32,4.0,4.68
275,2075,,,2.54,3.34,4.05,4.76
276,2076,,,2.54,3.36,4.1,4.83
277,2077,,,2.54,3.39,4.15,4.9
278,2078,,,2.54,3.41,4.21,4.97
279,2079,,,2.55,3.43,4.26,5.05
280,2080,,,2.56,3.46,4.31,5.12
281,2081,,,2.56,3.48,4.36,5.19
282,2082,,,2.56,3.5,4.41,5.26
283,2083,,,2.56,3.52,4.47,5.34
284,2084,,,2.56,3.54,4.52,5.41
285,2085,,,2.55,3.55,4.58,5.48
286,2086,,,2.55,3.57,4.63,5.55
287,2087,,,2.54,3.58,4.69,5.62
288,2088,,,2.53,3.6,4.74,5.69
289,2089,,,2.52,3.61,4.79,5.76
290,2090,,,2.5,3.63,4.84,5.83
291,2091,,,2.48,3.64,4.89,5.9
292,2092,,,2.47,3.66,4.94,5.98
293,2093,,,2.46,3.68,5.0,6.05
294,2094,,,2.45,3.7,5.06,6.12
295,2095,,,2.43,3.72,5.11,6.2
296,2096,,,2.42,3.74,5.17,6.27
297,2097,,,2.41,3.75,5.23,6.34
298,2098,,,2.4,3.77,5.29,6.42
299,2099,,,2.39,3.79,5.35,6.49
300,2100,,,2.37,3.81,5.41,6.56
