Azerbaijan,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
191,1991,0.7709677419354838,0.73,,,,
192,1992,-0.4690322580645162,0.8,,,,
193,1993,-0.6290322580645162,0.87,,,,
194,1994,0.3109677419354838,0.94,,,,
195,1995,1.5609677419354837,1.0,,,,
196,1996,0.9609677419354838,1.05,,,,
197,1997,0.7109677419354838,1.09,,,,
198,1998,1.7609677419354839,1.14,,,,
199,1999,1.6109677419354838,1.18,,,,
200,2000,1.3509677419354837,1.22,,,,
201,2001,1.7909677419354837,1.25,,,,
202,2002,1.1009677419354837,1.26,,,,
203,2003,0.5709677419354838,1.27,,,,
204,2004,1.2809677419354837,1.27,,,,
205,2005,1.3709677419354838,1.27,1.24,1.25,1.29,1.25
206,2006,1.3909677419354838,1.28,1.29,1.3,1.34,1.3
207,2007,1.1309677419354838,1.3,1.35,1.35,1.38,1.35
208,2008,1.020967741935484,1.33,1.4,1.4,1.43,1.4
209,2009,1.2409677419354836,1.37,1.45,1.46,1.47,1.45
210,2010,2.6909677419354834,1.42,1.51,1.51,1.52,1.51
211,2011,0.5109677419354838,1.48,1.56,1.56,1.57,1.56
212,2012,1.7509677419354839,1.55,1.61,1.61,1.61,1.61
213,2013,1.4609677419354838,1.62,1.66,1.66,1.66,1.66
214,2014,1.9209677419354838,1.7,1.71,1.7,1.7,1.71
215,2015,1.8509677419354837,1.77,1.76,1.75,1.74,1.76
216,2016,1.3909677419354838,1.84,1.8,1.8,1.78,1.81
217,2017,1.7309677419354839,1.92,1.85,1.85,1.83,1.85
218,2018,2.5209677419354835,1.99,1.91,1.9,1.87,1.9
219,2019,2.1809677419354836,2.07,1.96,1.95,1.92,1.95
220,2020,2.020967741935484,2.15,2.01,2.0,1.96,2.0
221,2021,,,2.05,2.04,2.0,2.04
222,2022,,,2.1,2.09,2.04,2.09
223,2023,,,2.14,2.13,2.08,2.13
224,2024,,,2.18,2.17,2.12,2.17
225,2025,,,2.23,2.21,2.17,2.22
226,2026,,,2.27,2.24,2.21,2.27
227,2027,,,2.3,2.28,2.25,2.33
228,2028,,,2.34,2.31,2.29,2.38
229,2029,,,2.37,2.33,2.33,2.43
230,2030,,,2.39,2.36,2.37,2.48
231,2031,,,2.42,2.39,2.42,2.54
232,2032,,,2.45,2.42,2.46,2.59
233,2033,,,2.47,2.45,2.5,2.65
234,2034,,,2.49,2.48,2.53,2.7
235,2035,,,2.51,2.51,2.57,2.76
236,2036,,,2.52,2.54,2.6,2.82
237,2037,,,2.54,2.58,2.64,2.87
238,2038,,,2.56,2.61,2.68,2.93
239,2039,,,2.57,2.64,2.72,2.99
240,2040,,,2.59,2.68,2.77,3.05
241,2041,,,2.61,2.72,2.82,3.11
242,2042,,,2.63,2.75,2.87,3.16
243,2043,,,2.65,2.79,2.92,3.23
244,2044,,,2.68,2.82,2.98,3.29
245,2045,,,2.7,2.86,3.03,3.35
246,2046,,,2.73,2.9,3.09,3.41
247,2047,,,2.75,2.94,3.14,3.47
248,2048,,,2.77,2.98,3.2,3.53
249,2049,,,2.79,3.02,3.25,3.6
250,2050,,,2.81,3.06,3.3,3.66
251,2051,,,2.83,3.09,3.35,3.73
252,2052,,,2.84,3.13,3.4,3.8
253,2053,,,2.84,3.16,3.44,3.87
254,2054,,,2.85,3.19,3.49,3.94
255,2055,,,2.85,3.23,3.53,4.01
256,2056,,,2.86,3.26,3.58,4.08
257,2057,,,2.87,3.28,3.64,4.15
258,2058,,,2.88,3.31,3.69,4.23
259,2059,,,2.89,3.33,3.73,4.31
260,2060,,,2.89,3.35,3.78,4.38
261,2061,,,2.89,3.37,3.83,4.46
262,2062,,,2.89,3.39,3.88,4.53
263,2063,,,2.89,3.41,3.93,4.6
264,2064,,,2.89,3.43,3.98,4.67
265,2065,,,2.89,3.45,4.03,4.74
266,2066,,,2.9,3.47,4.07,4.82
267,2067,,,2.91,3.49,4.12,4.89
268,2068,,,2.91,3.51,4.17,4.95
269,2069,,,2.91,3.54,4.23,5.02
270,2070,,,2.91,3.56,4.28,5.08
271,2071,,,2.92,3.58,4.33,5.14
272,2072,,,2.92,3.61,4.37,5.21
273,2073,,,2.93,3.63,4.41,5.28
274,2074,,,2.94,3.65,4.46,5.36
275,2075,,,2.94,3.67,4.5,5.43
276,2076,,,2.94,3.69,4.56,5.5
277,2077,,,2.93,3.72,4.61,5.57
278,2078,,,2.93,3.75,4.67,5.64
279,2079,,,2.92,3.77,4.73,5.72
280,2080,,,2.92,3.8,4.79,5.81
281,2081,,,2.93,3.83,4.85,5.9
282,2082,,,2.93,3.85,4.92,5.99
283,2083,,,2.93,3.88,4.99,6.08
284,2084,,,2.93,3.91,5.05,6.16
285,2085,,,2.92,3.93,5.12,6.24
286,2086,,,2.92,3.96,5.18,6.33
287,2087,,,2.91,3.98,5.24,6.42
288,2088,,,2.9,4.0,5.3,6.51
289,2089,,,2.88,4.02,5.35,6.6
290,2090,,,2.86,4.03,5.4,6.69
291,2091,,,2.84,4.04,5.44,6.77
292,2092,,,2.83,4.05,5.49,6.85
293,2093,,,2.82,4.06,5.54,6.93
294,2094,,,2.81,4.07,5.6,7.02
295,2095,,,2.8,4.07,5.66,7.1
296,2096,,,2.79,4.08,5.71,7.19
297,2097,,,2.78,4.09,5.77,7.27
298,2098,,,2.77,4.09,5.82,7.36
299,2099,,,2.77,4.1,5.88,7.44
300,2100,,,2.76,4.1,5.93,7.53
