Paraguay,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
125,1925,0.3209999999999999,0.13,,,,
126,1926,0.841,0.16,,,,
127,1927,0.2109999999999999,0.19,,,,
128,1928,0.30099999999999993,0.23,,,,
129,1929,0.2609999999999999,0.26,,,,
130,1930,0.7809999999999999,0.29,,,,
131,1931,-0.32900000000000007,0.31,,,,
132,1932,0.35099999999999987,0.32,,,,
133,1933,0.3209999999999999,0.32,,,,
134,1934,0.17099999999999987,0.32,,,,
135,1935,0.2609999999999999,0.32,,,,
136,1936,0.6709999999999999,0.31,,,,
137,1937,0.42099999999999993,0.3,,,,
138,1938,0.2109999999999999,0.29,,,,
139,1939,0.3809999999999999,0.3,,,,
140,1940,0.4009999999999999,0.3,,,,
141,1941,0.1509999999999999,0.3,,,,
142,1942,-0.2490000000000001,0.31,,,,
143,1943,0.06099999999999989,0.31,,,,
144,1944,1.271,0.31,,,,
145,1945,0.9209999999999998,0.32,,,,
146,1946,0.2109999999999999,0.33,,,,
147,1947,0.0009999999999998899,0.36,,,,
148,1948,0.7109999999999999,0.38,,,,
149,1949,0.2909999999999999,0.4,,,,
150,1950,0.4409999999999999,0.4,,,,
151,1951,0.4109999999999999,0.39,,,,
152,1952,0.2609999999999999,0.37,,,,
153,1953,0.831,0.36,,,,
154,1954,0.5109999999999999,0.35,,,,
155,1955,0.2909999999999999,0.35,,,,
156,1956,-0.6090000000000002,0.34,,,,
157,1957,0.040999999999999925,0.34,,,,
158,1958,0.2709999999999999,0.34,,,,
159,1959,0.5609999999999999,0.34,,,,
160,1960,0.05099999999999988,0.35,,,,
161,1961,1.021,0.38,,,,
162,1962,-0.07900000000000007,0.42,,,,
163,1963,1.3609999999999998,0.46,,,,
164,1964,0.1509999999999999,0.5,,,,
165,1965,0.5409999999999999,0.53,,,,
166,1966,0.5909999999999999,0.55,,,,
167,1967,0.9909999999999999,0.57,,,,
168,1968,0.4709999999999999,0.58,,,,
169,1969,0.7509999999999999,0.57,,,,
170,1970,0.841,0.57,,,,
171,1971,-0.009000000000000119,0.57,,,,
172,1972,0.7509999999999999,0.58,,,,
173,1973,0.581,0.59,,,,
174,1974,0.22099999999999992,0.6,,,,
175,1975,0.5109999999999999,0.61,,,,
176,1976,0.11099999999999988,0.62,,,,
177,1977,1.291,0.63,,,,
178,1978,1.2209999999999999,0.65,,,,
179,1979,0.5109999999999999,0.68,,,,
180,1980,0.7109999999999999,0.71,,,,
181,1981,0.7709999999999999,0.74,,,,
182,1982,0.841,0.75,,,,
183,1983,0.24099999999999988,0.74,,,,
184,1984,0.8009999999999999,0.73,,,,
185,1985,1.081,0.71,,,,
186,1986,1.161,0.7,,,,
187,1987,0.5309999999999999,0.7,,,,
188,1988,0.5109999999999999,0.71,,,,
189,1989,0.34099999999999986,0.71,,,,
190,1990,0.6309999999999999,0.72,,,,
191,1991,1.0909999999999997,0.73,,,,
192,1992,0.030999999999999917,0.74,,,,
193,1993,0.6909999999999998,0.74,,,,
194,1994,1.4709999999999999,0.76,,,,
195,1995,0.9809999999999999,0.79,,,,
196,1996,0.4709999999999999,0.83,,,,
197,1997,1.4509999999999998,0.87,,,,
198,1998,0.4709999999999999,0.91,,,,
199,1999,0.6209999999999999,0.95,,,,
200,2000,0.6309999999999999,0.98,,,,
201,2001,1.2209999999999999,1.0,,,,
202,2002,1.861,1.03,,,,
203,2003,1.3609999999999998,1.05,,,,
204,2004,0.9509999999999998,1.08,,,,
205,2005,1.101,1.11,1.05,1.0,1.07,0.98
206,2006,1.561,1.14,1.09,1.05,1.11,1.03
207,2007,0.7509999999999999,1.16,1.14,1.1,1.15,1.08
208,2008,0.9409999999999998,1.17,1.18,1.15,1.19,1.14
209,2009,1.4409999999999998,1.19,1.22,1.2,1.23,1.19
210,2010,0.831,1.22,1.27,1.25,1.27,1.24
211,2011,1.1109999999999998,1.25,1.31,1.3,1.31,1.29
212,2012,1.571,1.29,1.35,1.35,1.36,1.34
213,2013,0.9109999999999999,1.34,1.39,1.4,1.4,1.39
214,2014,1.7109999999999999,1.39,1.43,1.45,1.44,1.44
215,2015,1.9809999999999999,1.44,1.46,1.49,1.47,1.49
216,2016,0.7209999999999999,1.5,1.49,1.53,1.49,1.53
217,2017,1.6709999999999998,1.55,1.52,1.56,1.52,1.57
218,2018,0.9509999999999998,1.6,1.56,1.6,1.54,1.62
219,2019,1.6809999999999998,1.66,1.6,1.63,1.57,1.67
220,2020,1.9609999999999999,1.71,1.65,1.67,1.6,1.71
221,2021,,,1.69,1.7,1.64,1.76
222,2022,,,1.74,1.74,1.67,1.8
223,2023,,,1.78,1.78,1.71,1.85
224,2024,,,1.83,1.81,1.75,1.89
225,2025,,,1.88,1.85,1.79,1.94
226,2026,,,1.92,1.88,1.84,1.98
227,2027,,,1.96,1.91,1.88,2.03
228,2028,,,1.99,1.95,1.92,2.08
229,2029,,,2.02,1.98,1.96,2.12
230,2030,,,2.04,2.02,2.0,2.18
231,2031,,,2.06,2.06,2.04,2.23
232,2032,,,2.09,2.09,2.07,2.29
233,2033,,,2.11,2.13,2.11,2.35
234,2034,,,2.14,2.16,2.14,2.41
235,2035,,,2.16,2.19,2.17,2.47
236,2036,,,2.19,2.21,2.2,2.52
237,2037,,,2.21,2.24,2.24,2.57
238,2038,,,2.23,2.28,2.27,2.62
239,2039,,,2.25,2.31,2.31,2.66
240,2040,,,2.28,2.35,2.35,2.71
241,2041,,,2.3,2.39,2.4,2.75
242,2042,,,2.32,2.43,2.46,2.79
243,2043,,,2.33,2.48,2.52,2.83
244,2044,,,2.35,2.52,2.58,2.88
245,2045,,,2.36,2.56,2.65,2.92
246,2046,,,2.36,2.6,2.71,2.97
247,2047,,,2.37,2.63,2.77,3.03
248,2048,,,2.38,2.66,2.82,3.09
249,2049,,,2.38,2.69,2.87,3.16
250,2050,,,2.38,2.71,2.92,3.24
251,2051,,,2.38,2.73,2.96,3.31
252,2052,,,2.39,2.75,3.01,3.39
253,2053,,,2.4,2.77,3.05,3.47
254,2054,,,2.41,2.79,3.08,3.55
255,2055,,,2.41,2.81,3.11,3.63
256,2056,,,2.42,2.84,3.14,3.71
257,2057,,,2.43,2.87,3.17,3.79
258,2058,,,2.44,2.9,3.21,3.87
259,2059,,,2.45,2.94,3.26,3.94
260,2060,,,2.46,2.98,3.3,4.01
261,2061,,,2.47,3.01,3.35,4.07
262,2062,,,2.48,3.05,3.4,4.13
263,2063,,,2.49,3.09,3.45,4.19
264,2064,,,2.48,3.12,3.5,4.25
265,2065,,,2.48,3.15,3.55,4.31
266,2066,,,2.48,3.18,3.6,4.37
267,2067,,,2.48,3.21,3.65,4.44
268,2068,,,2.48,3.24,3.71,4.5
269,2069,,,2.48,3.27,3.76,4.57
270,2070,,,2.48,3.29,3.82,4.63
271,2071,,,2.47,3.31,3.88,4.7
272,2072,,,2.47,3.33,3.94,4.77
273,2073,,,2.46,3.35,4.0,4.84
274,2074,,,2.46,3.37,4.05,4.91
275,2075,,,2.47,3.4,4.1,4.98
276,2076,,,2.47,3.42,4.15,5.06
277,2077,,,2.48,3.45,4.19,5.13
278,2078,,,2.48,3.47,4.24,5.2
279,2079,,,2.48,3.49,4.28,5.27
280,2080,,,2.48,3.51,4.32,5.35
281,2081,,,2.48,3.54,4.35,5.43
282,2082,,,2.48,3.56,4.39,5.52
283,2083,,,2.48,3.58,4.43,5.61
284,2084,,,2.47,3.61,4.47,5.69
285,2085,,,2.47,3.63,4.52,5.78
286,2086,,,2.47,3.65,4.57,5.86
287,2087,,,2.46,3.67,4.63,5.95
288,2088,,,2.45,3.69,4.69,6.03
289,2089,,,2.44,3.71,4.75,6.12
290,2090,,,2.43,3.72,4.82,6.2
291,2091,,,2.42,3.73,4.89,6.29
292,2092,,,2.4,3.73,4.95,6.38
293,2093,,,2.39,3.73,5.02,6.46
294,2094,,,2.38,3.73,5.08,6.54
295,2095,,,2.37,3.73,5.14,6.62
296,2096,,,2.36,3.73,5.2,6.7
297,2097,,,2.34,3.72,5.26,6.78
298,2098,,,2.33,3.72,5.31,6.86
299,2099,,,2.32,3.71,5.37,6.94
300,2100,,,2.31,3.71,5.43,7.02
