Saint Vincent and the Grenadines,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
189,1989,0.5506451612903227,0.72,,,,
190,1990,0.7706451612903227,0.76,,,,
191,1991,0.7506451612903227,0.81,,,,
192,1992,0.7106451612903226,0.86,,,,
193,1993,0.9306451612903226,0.9,,,,
194,1994,0.8406451612903227,0.94,,,,
195,1995,1.2006451612903226,0.97,,,,
196,1996,0.9306451612903226,1.0,,,,
197,1997,1.2706451612903227,1.03,,,,
198,1998,1.6106451612903228,1.06,,,,
199,1999,1.0506451612903227,1.09,,,,
200,2000,0.8006451612903227,1.12,,,,
201,2001,1.1306451612903228,1.14,,,,
202,2002,1.1006451612903225,1.15,,,,
203,2003,1.2706451612903227,1.16,,,,
204,2004,0.9906451612903227,1.17,,,,
205,2005,1.4706451612903226,1.18,1.14,1.14,1.13,1.13
206,2006,1.3106451612903227,1.19,1.16,1.16,1.16,1.15
207,2007,1.2406451612903227,1.2,1.18,1.18,1.18,1.18
208,2008,0.9206451612903226,1.21,1.21,1.21,1.2,1.2
209,2009,1.1406451612903226,1.22,1.23,1.23,1.23,1.22
210,2010,1.7006451612903226,1.24,1.25,1.25,1.25,1.25
211,2011,1.1406451612903226,1.25,1.27,1.27,1.28,1.27
212,2012,1.1806451612903226,1.26,1.3,1.29,1.3,1.29
213,2013,1.2006451612903226,1.29,1.32,1.32,1.33,1.32
214,2014,1.1506451612903228,1.32,1.34,1.34,1.35,1.34
215,2015,1.4706451612903226,1.35,1.37,1.36,1.37,1.37
216,2016,1.5506451612903227,1.38,1.39,1.38,1.39,1.39
217,2017,1.4006451612903228,1.41,1.41,1.41,1.41,1.41
218,2018,1.1006451612903225,1.44,1.43,1.43,1.43,1.44
219,2019,1.4906451612903227,1.47,1.45,1.46,1.45,1.46
220,2020,1.6606451612903226,1.51,1.47,1.49,1.46,1.49
221,2021,,,1.5,1.51,1.48,1.52
222,2022,,,1.53,1.54,1.5,1.55
223,2023,,,1.55,1.57,1.52,1.58
224,2024,,,1.58,1.59,1.54,1.61
225,2025,,,1.6,1.62,1.56,1.64
226,2026,,,1.63,1.65,1.58,1.67
227,2027,,,1.65,1.67,1.6,1.7
228,2028,,,1.68,1.69,1.63,1.72
229,2029,,,1.7,1.71,1.65,1.75
230,2030,,,1.72,1.74,1.68,1.78
231,2031,,,1.74,1.76,1.71,1.81
232,2032,,,1.76,1.78,1.74,1.84
233,2033,,,1.78,1.8,1.77,1.86
234,2034,,,1.8,1.82,1.8,1.89
235,2035,,,1.81,1.84,1.83,1.92
236,2036,,,1.83,1.86,1.85,1.95
237,2037,,,1.84,1.88,1.88,1.98
238,2038,,,1.86,1.9,1.9,2.01
239,2039,,,1.87,1.91,1.93,2.04
240,2040,,,1.88,1.93,1.95,2.08
241,2041,,,1.89,1.95,1.98,2.11
242,2042,,,1.91,1.97,2.0,2.15
243,2043,,,1.92,1.99,2.03,2.18
244,2044,,,1.93,2.01,2.05,2.22
245,2045,,,1.94,2.02,2.08,2.25
246,2046,,,1.95,2.05,2.11,2.29
247,2047,,,1.96,2.07,2.15,2.32
248,2048,,,1.97,2.09,2.18,2.36
249,2049,,,1.98,2.12,2.21,2.39
250,2050,,,1.98,2.15,2.24,2.43
251,2051,,,1.99,2.17,2.28,2.46
252,2052,,,1.99,2.19,2.31,2.5
253,2053,,,2.0,2.22,2.34,2.53
254,2054,,,2.0,2.24,2.37,2.57
255,2055,,,2.0,2.26,2.4,2.61
256,2056,,,2.01,2.29,2.43,2.65
257,2057,,,2.01,2.31,2.46,2.69
258,2058,,,2.01,2.32,2.49,2.73
259,2059,,,2.01,2.34,2.52,2.77
260,2060,,,2.02,2.36,2.54,2.81
261,2061,,,2.02,2.38,2.57,2.85
262,2062,,,2.02,2.39,2.6,2.89
263,2063,,,2.02,2.41,2.63,2.93
264,2064,,,2.03,2.42,2.66,2.97
265,2065,,,2.03,2.43,2.69,3.01
266,2066,,,2.03,2.44,2.71,3.05
267,2067,,,2.03,2.45,2.74,3.09
268,2068,,,2.03,2.46,2.76,3.13
269,2069,,,2.03,2.48,2.79,3.17
270,2070,,,2.03,2.49,2.82,3.21
271,2071,,,2.04,2.51,2.85,3.25
272,2072,,,2.04,2.52,2.87,3.29
273,2073,,,2.04,2.53,2.9,3.33
274,2074,,,2.04,2.54,2.93,3.38
275,2075,,,2.03,2.55,2.96,3.42
276,2076,,,2.03,2.56,2.99,3.47
277,2077,,,2.03,2.58,3.02,3.51
278,2078,,,2.03,2.59,3.06,3.56
279,2079,,,2.03,2.6,3.09,3.6
280,2080,,,2.03,2.61,3.13,3.65
281,2081,,,2.03,2.62,3.16,3.69
282,2082,,,2.03,2.64,3.2,3.74
283,2083,,,2.02,2.65,3.23,3.78
284,2084,,,2.02,2.66,3.27,3.82
285,2085,,,2.02,2.68,3.3,3.87
286,2086,,,2.02,2.69,3.34,3.91
287,2087,,,2.02,2.71,3.38,3.95
288,2088,,,2.02,2.72,3.41,4.0
289,2089,,,2.01,2.74,3.45,4.04
290,2090,,,2.01,2.75,3.48,4.08
291,2091,,,2.0,2.76,3.51,4.12
292,2092,,,2.0,2.76,3.54,4.17
293,2093,,,1.99,2.77,3.58,4.22
294,2094,,,1.99,2.77,3.61,4.27
295,2095,,,1.98,2.78,3.64,4.31
296,2096,,,1.98,2.79,3.67,4.36
297,2097,,,1.97,2.79,3.71,4.41
298,2098,,,1.97,2.8,3.74,4.46
299,2099,,,1.97,2.8,3.77,4.5
300,2100,,,1.96,2.81,3.81,4.55
