Mauritania,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
106,1906,-0.019677419354838688,0.07,,,,
107,1907,-0.5096774193548386,0.06,,,,
108,1908,0.15032258064516132,0.06,,,,
109,1909,0.21032258064516135,0.08,,,,
110,1910,0.20032258064516134,0.09,,,,
111,1911,-0.19967741935483868,0.1,,,,
112,1912,0.22032258064516133,0.11,,,,
113,1913,0.29032258064516137,0.1,,,,
114,1914,0.5903225806451613,0.09,,,,
115,1915,0.28032258064516136,0.09,,,,
116,1916,-0.06967741935483868,0.08,,,,
117,1917,-0.2196774193548387,0.08,,,,
118,1918,-0.30967741935483867,0.08,,,,
119,1919,0.17032258064516134,0.09,,,,
120,1920,-0.12967741935483867,0.1,,,,
121,1921,-0.03967741935483865,0.11,,,,
122,1922,0.23032258064516134,0.13,,,,
123,1923,0.38032258064516133,0.15,,,,
124,1924,0.3503225806451613,0.17,,,,
125,1925,0.17032258064516134,0.19,,,,
126,1926,0.7503225806451613,0.2,,,,
127,1927,0.23032258064516134,0.21,,,,
128,1928,-0.009677419354838679,0.21,,,,
129,1929,-0.2296774193548387,0.2,,,,
130,1930,0.13032258064516133,0.19,,,,
131,1931,0.4903225806451613,0.19,,,,
132,1932,0.32032258064516134,0.2,,,,
133,1933,0.030322580645161357,0.22,,,,
134,1934,0.030322580645161357,0.25,,,,
135,1935,0.24032258064516132,0.29,,,,
136,1936,0.10032258064516134,0.32,,,,
137,1937,0.7203225806451614,0.35,,,,
138,1938,0.42032258064516137,0.38,,,,
139,1939,0.33032258064516135,0.41,,,,
140,1940,0.5603225806451613,0.43,,,,
141,1941,0.7203225806451614,0.44,,,,
142,1942,0.5803225806451613,0.45,,,,
143,1943,0.05032258064516132,0.44,,,,
144,1944,0.5603225806451613,0.41,,,,
145,1945,0.7803225806451614,0.37,,,,
146,1946,0.12032258064516133,0.34,,,,
147,1947,0.4703225806451613,0.3,,,,
148,1948,0.17032258064516134,0.26,,,,
149,1949,0.28032258064516136,0.22,,,,
150,1950,-0.019677419354838688,0.2,,,,
151,1951,0.07032258064516134,0.17,,,,
152,1952,-0.09967741935483865,0.16,,,,
153,1953,0.3503225806451613,0.16,,,,
154,1954,-0.15967741935483865,0.18,,,,
155,1955,0.7903225806451613,0.21,,,,
156,1956,-0.04967741935483866,0.24,,,,
157,1957,-0.12967741935483867,0.28,,,,
158,1958,0.7303225806451613,0.31,,,,
159,1959,0.34032258064516135,0.34,,,,
160,1960,0.3603225806451613,0.37,,,,
161,1961,0.6703225806451614,0.38,,,,
162,1962,0.5103225806451613,0.39,,,,
163,1963,0.40032258064516135,0.4,,,,
164,1964,0.5403225806451614,0.4,,,,
165,1965,-0.05967741935483867,0.39,,,,
166,1966,0.8303225806451613,0.37,,,,
167,1967,-0.05967741935483867,0.34,,,,
168,1968,0.20032258064516134,0.3,,,,
169,1969,0.7903225806451613,0.27,,,,
170,1970,0.9203225806451614,0.25,,,,
171,1971,-0.10967741935483866,0.25,,,,
172,1972,-0.13967741935483868,0.28,,,,
173,1973,0.45032258064516134,0.32,,,,
174,1974,-0.30967741935483867,0.37,,,,
175,1975,-0.05967741935483867,0.43,,,,
176,1976,-0.6196774193548387,0.48,,,,
177,1977,0.7703225806451613,0.54,,,,
178,1978,0.6503225806451614,0.61,,,,
179,1979,1.0603225806451613,0.67,,,,
180,1980,0.9403225806451614,0.72,,,,
181,1981,1.1203225806451613,0.76,,,,
182,1982,0.32032258064516134,0.78,,,,
183,1983,1.7003225806451612,0.81,,,,
184,1984,0.7003225806451614,0.83,,,,
185,1985,0.7203225806451614,0.84,,,,
186,1986,0.27032258064516135,0.85,,,,
187,1987,1.9303225806451614,0.85,,,,
188,1988,0.8003225806451613,0.87,,,,
189,1989,1.1703225806451614,0.89,,,,
190,1990,1.3903225806451613,0.94,,,,
191,1991,0.8903225806451613,0.99,,,,
192,1992,0.7703225806451613,1.05,,,,
193,1993,0.7603225806451613,1.11,,,,
194,1994,1.0003225806451614,1.15,,,,
195,1995,1.2903225806451613,1.19,,,,
196,1996,1.6303225806451613,1.22,,,,
197,1997,1.3303225806451613,1.26,,,,
198,1998,1.8103225806451613,1.3,,,,
199,1999,0.6803225806451614,1.35,,,,
200,2000,1.2903225806451613,1.38,,,,
201,2001,1.5703225806451613,1.39,,,,
202,2002,1.4403225806451614,1.39,,,,
203,2003,1.3003225806451613,1.39,,,,
204,2004,1.5403225806451613,1.38,,,,
205,2005,1.5003225806451612,1.39,1.25,1.22,1.22,1.23
206,2006,1.3703225806451613,1.39,1.28,1.26,1.26,1.27
207,2007,1.1803225806451614,1.39,1.32,1.3,1.3,1.31
208,2008,1.2403225806451614,1.4,1.35,1.34,1.34,1.34
209,2009,1.3703225806451613,1.41,1.39,1.38,1.38,1.38
210,2010,2.390322580645161,1.43,1.42,1.41,1.42,1.42
211,2011,1.6103225806451613,1.45,1.46,1.45,1.46,1.45
212,2012,1.0003225806451614,1.47,1.49,1.49,1.5,1.49
213,2013,1.5603225806451613,1.5,1.53,1.53,1.54,1.53
214,2014,1.4003225806451614,1.53,1.56,1.57,1.58,1.56
215,2015,1.5803225806451613,1.56,1.6,1.61,1.61,1.6
216,2016,1.8603225806451613,1.59,1.63,1.64,1.64,1.63
217,2017,2.0203225806451615,1.62,1.66,1.68,1.68,1.67
218,2018,1.1203225806451613,1.65,1.7,1.72,1.71,1.72
219,2019,1.4603225806451612,1.68,1.74,1.76,1.75,1.76
220,2020,1.8603225806451613,1.71,1.78,1.81,1.78,1.81
221,2021,,,1.83,1.85,1.82,1.86
222,2022,,,1.87,1.89,1.86,1.91
223,2023,,,1.92,1.93,1.9,1.96
224,2024,,,1.96,1.97,1.94,2.01
225,2025,,,2.0,2.0,1.98,2.07
226,2026,,,2.04,2.04,2.02,2.12
227,2027,,,2.08,2.08,2.06,2.17
228,2028,,,2.12,2.12,2.11,2.22
229,2029,,,2.16,2.15,2.15,2.26
230,2030,,,2.19,2.19,2.19,2.31
231,2031,,,2.22,2.22,2.24,2.36
232,2032,,,2.25,2.26,2.28,2.41
233,2033,,,2.28,2.3,2.33,2.46
234,2034,,,2.31,2.34,2.38,2.51
235,2035,,,2.33,2.37,2.42,2.56
236,2036,,,2.35,2.41,2.47,2.62
237,2037,,,2.37,2.44,2.52,2.67
238,2038,,,2.39,2.48,2.57,2.74
239,2039,,,2.41,2.51,2.61,2.8
240,2040,,,2.43,2.54,2.66,2.87
241,2041,,,2.45,2.58,2.7,2.93
242,2042,,,2.47,2.62,2.75,3.0
243,2043,,,2.49,2.66,2.8,3.07
244,2044,,,2.52,2.69,2.84,3.13
245,2045,,,2.54,2.73,2.89,3.2
246,2046,,,2.56,2.76,2.95,3.26
247,2047,,,2.58,2.8,3.0,3.33
248,2048,,,2.59,2.84,3.06,3.39
249,2049,,,2.6,2.88,3.12,3.44
250,2050,,,2.6,2.92,3.17,3.5
251,2051,,,2.61,2.96,3.23,3.56
252,2052,,,2.62,3.0,3.28,3.62
253,2053,,,2.63,3.04,3.33,3.68
254,2054,,,2.63,3.08,3.39,3.74
255,2055,,,2.63,3.11,3.44,3.81
256,2056,,,2.63,3.15,3.5,3.88
257,2057,,,2.64,3.19,3.56,3.96
258,2058,,,2.64,3.23,3.61,4.03
259,2059,,,2.65,3.26,3.67,4.11
260,2060,,,2.66,3.29,3.72,4.19
261,2061,,,2.67,3.32,3.77,4.26
262,2062,,,2.67,3.34,3.83,4.34
263,2063,,,2.67,3.37,3.89,4.41
264,2064,,,2.67,3.38,3.95,4.49
265,2065,,,2.67,3.4,4.0,4.57
266,2066,,,2.67,3.42,4.05,4.65
267,2067,,,2.66,3.43,4.11,4.73
268,2068,,,2.66,3.45,4.16,4.81
269,2069,,,2.66,3.47,4.22,4.89
270,2070,,,2.66,3.49,4.28,4.97
271,2071,,,2.66,3.51,4.34,5.05
272,2072,,,2.66,3.53,4.39,5.14
273,2073,,,2.66,3.55,4.45,5.22
274,2074,,,2.66,3.57,4.49,5.31
275,2075,,,2.65,3.6,4.55,5.39
276,2076,,,2.65,3.62,4.6,5.47
277,2077,,,2.66,3.64,4.66,5.55
278,2078,,,2.66,3.67,4.71,5.63
279,2079,,,2.66,3.69,4.77,5.71
280,2080,,,2.66,3.72,4.83,5.8
281,2081,,,2.65,3.74,4.89,5.88
282,2082,,,2.65,3.76,4.95,5.96
283,2083,,,2.65,3.79,5.02,6.04
284,2084,,,2.65,3.81,5.09,6.12
285,2085,,,2.65,3.83,5.16,6.2
286,2086,,,2.64,3.85,5.23,6.28
287,2087,,,2.64,3.87,5.3,6.36
288,2088,,,2.62,3.89,5.36,6.45
289,2089,,,2.61,3.91,5.42,6.53
290,2090,,,2.59,3.93,5.48,6.61
291,2091,,,2.58,3.94,5.54,6.7
292,2092,,,2.56,3.96,5.6,6.78
293,2093,,,2.55,3.97,5.66,6.86
294,2094,,,2.54,3.99,5.72,6.95
295,2095,,,2.53,4.01,5.79,7.03
296,2096,,,2.52,4.02,5.85,7.11
297,2097,,,2.52,4.04,5.92,7.2
298,2098,,,2.51,4.06,5.98,7.28
299,2099,,,2.5,4.07,6.05,7.36
300,2100,,,2.49,4.09,6.11,7.45
