The Bahamas,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
94,1894,0.07032258064516134,0.09,,,,
95,1895,-0.05967741935483872,0.1,,,,
96,1896,0.11032258064516132,0.1,,,,
97,1897,0.45032258064516134,0.1,,,,
98,1898,0.2903225806451613,0.1,,,,
99,1899,0.4103225806451613,0.1,,,,
100,1900,0.28032258064516136,0.11,,,,
101,1901,-0.36967741935483867,0.12,,,,
102,1902,-0.029677419354838697,0.12,,,,
103,1903,-0.08967741935483864,0.11,,,,
104,1904,-0.13967741935483868,0.11,,,,
105,1905,0.4203225806451613,0.1,,,,
106,1906,0.00032258064516133,0.1,,,,
107,1907,0.27032258064516135,0.11,,,,
108,1908,0.27032258064516135,0.12,,,,
109,1909,0.0303225806451613,0.12,,,,
110,1910,-0.5896774193548387,0.12,,,,
111,1911,0.3603225806451613,0.12,,,,
112,1912,0.4903225806451613,0.12,,,,
113,1913,0.12032258064516133,0.11,,,,
114,1914,0.06032258064516133,0.11,,,,
115,1915,0.0903225806451613,0.11,,,,
116,1916,-0.12967741935483867,0.11,,,,
117,1917,-0.22967741935483865,0.12,,,,
118,1918,0.06032258064516133,0.14,,,,
119,1919,0.3403225806451613,0.16,,,,
120,1920,0.13032258064516133,0.19,,,,
121,1921,0.31032258064516133,0.23,,,,
122,1922,0.0303225806451613,0.26,,,,
123,1923,0.10032258064516131,0.29,,,,
124,1924,0.5803225806451613,0.32,,,,
125,1925,0.6203225806451613,0.35,,,,
126,1926,0.7003225806451613,0.36,,,,
127,1927,0.4103225806451613,0.38,,,,
128,1928,0.18032258064516132,0.38,,,,
129,1929,0.6003225806451613,0.39,,,,
130,1930,0.3003225806451613,0.39,,,,
131,1931,0.18032258064516132,0.39,,,,
132,1932,0.4703225806451613,0.38,,,,
133,1933,0.5303225806451614,0.37,,,,
134,1934,0.1603225806451613,0.36,,,,
135,1935,0.11032258064516132,0.36,,,,
136,1936,0.4303225806451613,0.35,,,,
137,1937,0.5703225806451613,0.35,,,,
138,1938,0.4303225806451613,0.35,,,,
139,1939,0.5003225806451613,0.36,,,,
140,1940,-0.05967741935483872,0.37,,,,
141,1941,0.3503225806451613,0.39,,,,
142,1942,0.4703225806451613,0.41,,,,
143,1943,0.17032258064516131,0.43,,,,
144,1944,0.2903225806451613,0.44,,,,
145,1945,0.2903225806451613,0.44,,,,
146,1946,0.8303225806451613,0.45,,,,
147,1947,0.7303225806451613,0.45,,,,
148,1948,1.1803225806451612,0.45,,,,
149,1949,0.7603225806451613,0.45,,,,
150,1950,0.1503225806451613,0.45,,,,
151,1951,0.24032258064516132,0.45,,,,
152,1952,0.4103225806451613,0.44,,,,
153,1953,0.6603225806451614,0.44,,,,
154,1954,0.25032258064516133,0.43,,,,
155,1955,0.07032258064516134,0.43,,,,
156,1956,0.10032258064516131,0.43,,,,
157,1957,0.7003225806451613,0.44,,,,
158,1958,0.3703225806451613,0.45,,,,
159,1959,0.9603225806451613,0.45,,,,
160,1960,0.4703225806451613,0.46,,,,
161,1961,0.6403225806451613,0.46,,,,
162,1962,0.38032258064516133,0.46,,,,
163,1963,0.4303225806451613,0.46,,,,
164,1964,0.7103225806451613,0.45,,,,
165,1965,0.4203225806451613,0.45,,,,
166,1966,0.1603225806451613,0.45,,,,
167,1967,0.5203225806451613,0.45,,,,
168,1968,0.10032258064516131,0.46,,,,
169,1969,0.3503225806451613,0.47,,,,
170,1970,0.2203225806451613,0.49,,,,
171,1971,0.5803225806451613,0.5,,,,
172,1972,0.9103225806451614,0.52,,,,
173,1973,0.5803225806451613,0.55,,,,
174,1974,0.6103225806451613,0.57,,,,
175,1975,0.9603225806451613,0.6,,,,
176,1976,0.40032258064516135,0.62,,,,
177,1977,0.5603225806451613,0.64,,,,
178,1978,0.6403225806451613,0.65,,,,
179,1979,0.7103225806451613,0.66,,,,
180,1980,0.7303225806451613,0.67,,,,
181,1981,0.3203225806451613,0.68,,,,
182,1982,1.0403225806451615,0.7,,,,
183,1983,0.7303225806451613,0.72,,,,
184,1984,0.4703225806451613,0.75,,,,
185,1985,0.6903225806451614,0.78,,,,
186,1986,0.8703225806451613,0.82,,,,
187,1987,0.8103225806451613,0.85,,,,
188,1988,0.6803225806451614,0.88,,,,
189,1989,0.9603225806451613,0.91,,,,
190,1990,1.3203225806451613,0.94,,,,
191,1991,1.2503225806451614,0.97,,,,
192,1992,0.8203225806451613,1.0,,,,
193,1993,0.9203225806451614,1.02,,,,
194,1994,1.3303225806451613,1.03,,,,
195,1995,1.0203225806451615,1.04,,,,
196,1996,0.6003225806451613,1.05,,,,
197,1997,1.3303225806451613,1.05,,,,
198,1998,1.4303225806451612,1.05,,,,
199,1999,0.8803225806451613,1.06,,,,
200,2000,0.7303225806451613,1.06,,,,
201,2001,0.8303225806451613,1.06,,,,
202,2002,1.3603225806451613,1.06,,,,
203,2003,1.4403225806451614,1.06,,,,
204,2004,0.9903225806451613,1.06,,,,
205,2005,0.9603225806451613,1.06,1.15,1.15,1.17,1.14
206,2006,0.8903225806451613,1.07,1.17,1.18,1.19,1.16
207,2007,1.2103225806451614,1.09,1.2,1.2,1.21,1.19
208,2008,1.1303225806451613,1.12,1.22,1.22,1.24,1.21
209,2009,1.0503225806451613,1.15,1.24,1.25,1.26,1.24
210,2010,0.5403225806451614,1.18,1.27,1.27,1.28,1.27
211,2011,1.2703225806451615,1.22,1.29,1.29,1.3,1.29
212,2012,1.0703225806451613,1.27,1.32,1.32,1.32,1.32
213,2013,1.2803225806451612,1.32,1.34,1.34,1.34,1.34
214,2014,1.3703225806451613,1.38,1.36,1.37,1.36,1.37
215,2015,1.8503225806451615,1.43,1.39,1.39,1.38,1.4
216,2016,1.5203225806451615,1.49,1.42,1.41,1.4,1.42
217,2017,1.4803225806451614,1.55,1.44,1.44,1.43,1.45
218,2018,1.4103225806451614,1.6,1.47,1.46,1.45,1.47
219,2019,1.7603225806451612,1.66,1.5,1.49,1.47,1.5
220,2020,1.7503225806451614,1.72,1.53,1.53,1.5,1.54
221,2021,,,1.55,1.56,1.53,1.57
222,2022,,,1.58,1.59,1.56,1.6
223,2023,,,1.6,1.62,1.59,1.63
224,2024,,,1.62,1.66,1.62,1.66
225,2025,,,1.64,1.69,1.65,1.69
226,2026,,,1.66,1.72,1.68,1.72
227,2027,,,1.68,1.75,1.71,1.75
228,2028,,,1.71,1.78,1.74,1.78
229,2029,,,1.73,1.81,1.77,1.81
230,2030,,,1.76,1.83,1.79,1.84
231,2031,,,1.78,1.85,1.82,1.87
232,2032,,,1.81,1.87,1.85,1.91
233,2033,,,1.83,1.89,1.88,1.94
234,2034,,,1.86,1.91,1.91,1.98
235,2035,,,1.88,1.93,1.93,2.01
236,2036,,,1.9,1.96,1.96,2.05
237,2037,,,1.92,1.98,1.99,2.09
238,2038,,,1.93,2.0,2.02,2.13
239,2039,,,1.95,2.02,2.06,2.17
240,2040,,,1.95,2.04,2.09,2.21
241,2041,,,1.96,2.06,2.12,2.25
242,2042,,,1.97,2.08,2.15,2.3
243,2043,,,1.98,2.11,2.18,2.34
244,2044,,,1.98,2.13,2.22,2.38
245,2045,,,1.99,2.15,2.25,2.42
246,2046,,,2.0,2.17,2.28,2.46
247,2047,,,2.01,2.2,2.31,2.5
248,2048,,,2.01,2.22,2.34,2.54
249,2049,,,2.01,2.24,2.37,2.57
250,2050,,,2.02,2.26,2.4,2.61
251,2051,,,2.02,2.28,2.43,2.65
252,2052,,,2.03,2.3,2.46,2.69
253,2053,,,2.04,2.32,2.49,2.72
254,2054,,,2.04,2.34,2.52,2.77
255,2055,,,2.05,2.36,2.55,2.81
256,2056,,,2.05,2.38,2.58,2.85
257,2057,,,2.06,2.4,2.61,2.89
258,2058,,,2.06,2.42,2.64,2.93
259,2059,,,2.07,2.44,2.67,2.98
260,2060,,,2.07,2.46,2.7,3.02
261,2061,,,2.08,2.48,2.74,3.06
262,2062,,,2.08,2.5,2.77,3.11
263,2063,,,2.09,2.52,2.81,3.15
264,2064,,,2.09,2.54,2.85,3.19
265,2065,,,2.09,2.55,2.88,3.24
266,2066,,,2.1,2.57,2.92,3.29
267,2067,,,2.1,2.58,2.96,3.34
268,2068,,,2.1,2.59,3.0,3.39
269,2069,,,2.11,2.61,3.04,3.44
270,2070,,,2.11,2.62,3.07,3.49
271,2071,,,2.11,2.63,3.11,3.54
272,2072,,,2.12,2.64,3.15,3.6
273,2073,,,2.12,2.65,3.18,3.65
274,2074,,,2.12,2.67,3.22,3.71
275,2075,,,2.12,2.68,3.25,3.76
276,2076,,,2.12,2.7,3.28,3.81
277,2077,,,2.12,2.71,3.31,3.86
278,2078,,,2.12,2.73,3.35,3.91
279,2079,,,2.12,2.74,3.38,3.95
280,2080,,,2.13,2.76,3.41,4.0
281,2081,,,2.12,2.78,3.44,4.04
282,2082,,,2.12,2.79,3.48,4.09
283,2083,,,2.12,2.81,3.51,4.13
284,2084,,,2.11,2.82,3.55,4.17
285,2085,,,2.11,2.84,3.59,4.22
286,2086,,,2.1,2.85,3.62,4.26
287,2087,,,2.1,2.86,3.66,4.31
288,2088,,,2.09,2.87,3.7,4.36
289,2089,,,2.08,2.88,3.74,4.41
290,2090,,,2.07,2.89,3.78,4.46
291,2091,,,2.07,2.9,3.81,4.51
292,2092,,,2.07,2.9,3.85,4.56
293,2093,,,2.06,2.91,3.89,4.61
294,2094,,,2.06,2.91,3.93,4.66
295,2095,,,2.06,2.92,3.97,4.71
296,2096,,,2.06,2.93,4.01,4.76
297,2097,,,2.06,2.93,4.05,4.81
298,2098,,,2.05,2.94,4.08,4.86
299,2099,,,2.05,2.94,4.12,4.91
300,2100,,,2.05,2.94,4.16,4.96
